data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7893253769153333,0.421094200607308,0.3330141382379943,0.35472014694452747,0.1301565430233889,0.09749859756784128,0.13561711412762825,0.8544682529805352,0.7783040804843487,-0.004368976140951002,0.00534890643849784,-0.03811851655978694,0.07616417249618637,0.021045619527949755,0.03389276408789787,0.03855945288923018,0.8215108445284124,0.2818613066322096,0.03848585571254192,0.004729682182692758,0.22510693758859146,0.004729682182692758,0.0047296821826927704,0.22510693758859146,0.04923204960858298,0.03389276408789787,0.021045619527949755,4.914335143831228e+18,0.07956168381368886,0.050594859209700034,0.11786073238329912,0.6841553129548218,0.44313099190402083
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8073396458338459,0.6532751873095545,0.5001711880575879,0.5415051658618613,0.19271063450579234,0.1333208597756597,0.20272681024194977,0.859667172010491,0.7985254574071835,-0.026705039118862562,-0.025685984747178325,-0.06940595046629006,0.06114171460330759,0.03438629625396665,0.05027777677149644,0.06940595046629006,0.6582531007654033,0.55388984157583,0.0447559210448896,0.008567889893684962,0.4294371436526509,0.008567889893684962,0.008567889893684977,0.4294371436526509,0.08700095702650135,0.05027777677149644,0.03438629625396665,4.914335143831228e+18,0.11984586401414694,0.07286477049164543,0.1197955836745086,0.687493781819699,0.44607026504193265
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7998735502947819,0.5704872575431587,0.4492563053636017,0.47871372531436224,0.17601649195140134,0.1307214777918577,0.1836615726811607,0.8554005696050556,0.7905236396674684,-0.007095076526949717,0.005169746012512702,-0.05294009488930296,0.0648769299375871,0.02649205648914481,0.04538715169095301,0.05305341623161851,0.754252764917801,0.3693102923476556,0.04610279227052102,0.006552674022151815,0.29944494793024434,0.006552674022151815,0.006552674022151829,0.29944494793024434,0.06843251119628949,0.04538715169095301,0.02649205648914481,4.914335143831228e+18,0.10776574496741939,0.06825074698398195,0.11793082832382798,0.6830718498664462,0.4458342195015339
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.8049015842586165,0.6321060302332742,0.4954487080349835,0.5294585814646042,0.1929278027812516,0.1485906407640619,0.20041406715066448,0.8548734295556798,0.7965024249961336,3.499575359177262e-05,0.015727090064083,-0.051823426386602554,0.05837100455954617,0.032690804769864024,0.05603409116171735,0.052605909044463,0.766247490824472,0.3605834488387812,0.06656368111994639,0.006498126986154708,0.2946823669237573,0.006498126986154708,0.006498126986154721,0.2946823669237573,0.06731183703642415,0.05603409116171735,0.032690804769864024,4.914335143831228e+18,0.11873541736426178,0.07419238541698982,0.11788784595815603,0.6843611561910611,0.44592989297733876
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8061896167889264,0.6509328640664289,0.4994597399357065,0.5397787110087536,0.19348623548957536,0.14589832507254982,0.20153285914004418,0.8533654893964054,0.7982276483945387,-0.008953723173272917,-0.0018375241826043703,-0.0556345340674943,0.0551378410018667,0.03283974876092507,0.055141573947674265,0.05619992131013978,0.7279942096156841,0.42013652283377423,0.05889753401678931,0.0069470353397875625,0.336744947218521,0.0069470353397875625,0.006947035339787576,0.336744947218521,0.07096038286093154,0.055141573947674265,0.03283974876092507,4.914335143831228e+18,0.11965864998357864,0.07382758550599673,0.1199827977050769,0.6865309668053478,0.443724200833474
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.800559288543892,0.5695534868443912,0.44724797978832065,0.47804343216088985,0.1736875494111316,0.1268183350913145,0.18160983376378118,0.8558447737260987,0.7912495384384753,-0.012256193067637625,-0.004549495274546562,-0.05479149867246667,0.06459523528762334,0.03160082106110611,0.0518239765048789,0.05555384277611735,0.7422729659865696,0.47227042883422465,0.048945236151778114,0.006868615825626155,0.3357377645687637,0.006868615825626155,0.006868615825626165,0.3357377645687637,0.07041896744284643,0.0518239765048789,0.03160082106110611,4.914335143831228e+18,0.10694414282183962,0.066743406589292,0.11727731723126254,0.6849118626060599,0.44781980746201555
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8067990430331954,0.6545566045198055,0.49340367266361934,0.5379681566470855,0.19009231256398704,0.1328950113461735,0.199730811049706,0.8595787032415474,0.797913978722981,-0.02315748025390973,-0.019987135805688318,-0.06683579970353241,0.06166472451856627,0.0345900048493101,0.0518980669568499,0.06688693502423766,0.67050374293199,0.5260954598765099,0.04567798198455936,0.008252039183137754,0.41168308490009586,0.008252039183137754,0.008252039183137765,0.41168308490009586,0.0838889275054232,0.0518980669568499,0.03459000484931011,4.924267828942597e+18,0.11829641956605161,0.07179589299793543,0.12140506396886917,0.6885026234671437,0.44315631812679246
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8043278433009904,0.6029089651102577,0.46876427642009755,0.5040482849795195,0.180764443536987,0.13036271593257348,0.18926051666456906,0.8580785823995845,0.7952650103132651,-0.01409023335796103,-0.006445280833202026,-0.05889780073199552,0.06281357208631945,0.027435805591065742,0.04411419491227077,0.05889780073199552,0.7166705915723076,0.434155749742516,0.048105294672591656,0.007267987395022986,0.34713557651956617,0.007267987395022986,0.007267987395022997,0.34713557651956617,0.07434530761836997,0.04411419491227077,0.027435805591065753,4.924267828942597e+18,0.1123968851864491,0.06836755835053791,0.11814460929726832,0.686177371583703,0.449728809706044
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8068026090147301,0.6509269038366927,0.5041691642593494,0.5425085034711724,0.1951861388871356,0.1484317891670625,0.2030888393786338,0.8542309015147092,0.7988062895036095,-0.00505769740341293,0.00562244612912942,-0.054657050211571245,0.05542461201109965,0.033461608195954735,0.05593416028573596,0.054952690216724186,0.7420590649304337,0.3955443863469606,0.06755431079026782,0.006793889844994696,0.3189973550062741,0.006793889844994696,0.006793889844994708,0.3189973550062741,0.06946381711558082,0.05593416028573596,0.033461608195954735,4.914335143831228e+18,0.12081509779526058,0.074371041091875,0.11882634989339495,0.6859875112194694,0.44622920637681773
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8066860014185474,0.650920351089991,0.5022780847678153,0.5413929441598754,0.1944447713260851,0.1476590069946888,0.20232506503245204,0.855131522515617,0.7985323850142072,-0.004384659661608047,0.007586965793585858,-0.0546660580377632,0.056599137501409866,0.02772708216596687,0.04857367846595717,0.05516006177199784,0.7450724604272901,0.38158833535752307,0.06516225037683505,0.006803431610138801,0.3140584500435172,0.006803431610138801,0.006803431610138816,0.3140584500435172,0.070069085185545,0.04857367846595717,0.027727082165966865,4.914335143831228e+18,0.12038611021664404,0.07405866110944102,0.11925533747201147,0.6862998912019034,0.4452530251907347
