data,ML method,sensitive attrs,bias mitigation,other,index,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC,acc * sf
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",2294.9246342263677,0.08936215115488812,0.41335486803873317,0.3976395276721754,0.38506656319733157,0.6410610654720296,1.0459915254911512,1.4614040046516033,0.6061196757192143,0.5094314734372618,0.10858195423225046,0.12327931107208227,0.08904173272142302,0.0979641576058326,7.73583195387645,0.596789346770606,8.887159375109194,1.7886755844030007,0.24191072212867842,0.12471657410790842,3.463283725913168,0.8114802251165766,7.624046116872219,0.5393032121822633,8.739007283492347,1.6234361056291648,0.20155528583363072,0.10642852983102802,0.3858959659777354,0.9387036396188834,0.16512457659437557,0.0549526909685425,,,0.2015553132953043,0.10642852640448701,0.19812021237854804,0.0925761332319742,0.11597778336461369,0.11597778336461369,0.1321757725625276,0.20081779060499555,1.185355927260562,0.8548286710069853,2.4376597004588636e+18,0.06354544489763643,0.10846667151437643,0.03324804944110598,0.11841062589894537,0.06154157983078829,0.28403914794096646
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",2301.0397757404357,0.026289381597723985,0.0784977919300058,0.12816328534283652,0.11978799861491296,0.16464081015862977,0.3121590450497662,0.5436161596843319,0.15947864703689815,0.134189514368899,0.037787359557613046,0.062098649161726326,0.03023752729067195,0.050459063275458585,8.570320322213348,0.6364266817406812,10.368951682975625,67.74207508939577,0.222395988058263,0.13515009010128673,1.1510220391358972,0.4737565164694744,8.429541576426185,0.4827890055685716,10.14453076554718,67.66586275176326,0.1740277158818138,0.10635609495964546,0.29435437281248816,1.2690695742590206,0.16461506938734988,0.06441170596755874,,,0.17402771950011137,0.10635608938306786,0.18479309688883808,0.11118747157483032,0.09984812161404753,0.09984812161404753,0.12041443478759618,0.10726472121372059,1.1082198316295673,0.6929343662004617,2.438399672142976e+18,0.03162241908981791,0.04719547378383921,0.03067170688795514,0.04893372280610933,0.06680485497241995,0.25015105766281154
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",2296.9164482496085,0.031566796903961206,0.2515444663818776,0.24778075544586348,0.25242469192908884,0.30646087168868497,0.4939757586778625,0.7908200818206944,0.2937180556947304,0.2521824772770202,0.03500272658276136,0.056841089829241194,0.036377301703981034,0.05935567176194887,7.384174999245549,0.5025335913747923,5.94898810521818,33.86026905092852,0.21702208057957323,0.16639255384460655,1.0556064942344925,0.5247864545507274,7.254325328459618,0.4223884906745946,5.730116763135808,33.8228787441663,0.17636103031358585,0.13527965847868662,0.34327496599746804,1.4280289347027444,0.189834235794593,0.0994133136044488,,,0.17636098309170373,0.13527965713928863,0.24659970220183347,0.1428594719900056,0.12657438489423914,0.12657438489423914,0.13133431468599885,0.14064277585925433,0.9398377304129845,0.5739374011678433,2.439676930191139e+18,0.04393660197324635,0.0483870025912116,0.03317512504976818,0.044718642127542146,0.07891373631121794,0.31362907138675433
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}""}",2299.609288139901,0.03076685375683662,0.2474287799515531,0.2276168410908657,0.23450986112570996,0.2899451747452338,0.4733465872471364,0.7715189652757444,0.2774466277111061,0.23410966184956022,0.04099552060363624,0.06580765904004857,0.03573861718936015,0.06100481034653984,5.492159784375223,0.6382116086792896,8.506649565997202,52.99315868182759,0.24200409175281373,0.12696877869576367,1.4712009092611071,0.5940899537459283,5.309736262888812,0.44724556984027364,8.265122069352797,52.90379923978586,0.18195437966026412,0.09741627027064038,0.342740606698693,1.0328726348874813,0.19189584204688828,0.056886501977592784,,,0.18195442744818044,0.09741627040267685,0.24530984564749794,0.09205736260107311,0.09594408915852835,0.09594408915852835,0.11008080715691648,0.12091904864682308,1.2322261192975807,0.6941204476130514,2.433611540065497e+18,0.04054932599200302,0.04887575444927999,0.027494532072454052,0.04523749830363021,0.06358244692869933,0.23674004998808765
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",2301.0397757404357,0.02930687959390222,0.08710612555730178,0.13519738629421002,0.12686465269855668,0.17718245641501873,0.34156761615282555,0.6074966155496799,0.16990952622412334,0.14175739445849417,0.04197171614359737,0.062321325199886556,0.0336645919108619,0.052209822188729736,6.430188483150807,0.773193292961453,5.507363795433191,43.951397921320584,0.2868309523874702,0.1468104679267318,1.6154297373753972,0.46430849282748343,6.253762852399607,0.617689822882373,5.199680016525535,43.86831698948651,0.21009353091215344,0.0879692496059482,0.316406449779706,1.144176863676574,0.21349391779979937,0.048414348572569786,,,0.21009351783390348,0.08796925784397147,0.27178864044497997,0.08496134424208802,0.07433710102645175,0.07433710102645175,0.12009450664210687,0.14750581755391748,1.1952127031648279,0.7755933610538018,2.438399672142976e+18,0.0319210281019491,0.046819610621768044,0.03123643971349525,0.04782623738705224,0.0700534714303075,0.18441592569415038
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",2292.2899979611884,0.03461973090343792,0.3843789262569783,0.3398896109856038,0.35488335961606576,0.42360355146472967,0.6912587948199541,1.1072027485556157,0.4034364063381981,0.3338261826486365,0.03734053984369163,0.0638594730495653,0.04027680214861497,0.06673337418659896,5.10899935675206,0.7035190970313216,7.973385494172097,11.704468974109439,0.2710932666135112,0.11719421730147044,0.9874320311965542,0.6970235923096155,4.983570093062333,0.6258300747321105,7.767689295598285,11.647331916554197,0.21872720761238232,0.08832930604277223,0.38471370976174557,1.2809573099337384,0.20403243246150227,0.04795972018152071,,,0.21872720329926598,0.08832930438579556,0.23837455455617326,0.08590165553375977,0.09312264373456816,0.09312264373456816,0.13053369326577607,0.1372608542023929,1.2940821548205343,0.7335456033500095,2.441294458276525e+18,0.05511172427014902,0.05402380142823424,0.03191154463622222,0.04378944348377819,0.07386039120285953,0.22796943499198294
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",2292.467994083981,0.027458169518081527,0.10626587481306195,0.1905564625040886,0.1786894385362159,0.24879754437302665,0.42977798973935794,0.7015698968639674,0.2396968652944491,0.20044773697247711,0.044293281631506524,0.07272906129322146,0.030849798946248824,0.05115239018105661,7.161617095895412,0.5648239781822888,6.51862774017961,61.84323892664531,0.25766329154859174,0.1486600070423531,0.9934093331063212,0.5647094232753967,7.031583202036843,0.43812562812587813,6.262040732756707,61.734755321451594,0.19412464035553337,0.09424904940430648,0.34693368998948126,1.9750345992547256,0.22349830262896053,0.06314904307742174,,,0.19412465616806532,0.09424902840133495,0.2570587067923185,0.10978695788860701,0.08736529396560594,0.08736529396560594,0.13179053987120928,0.12213094010530995,1.1328149644441077,0.6748445122200836,2.470481796105104e+18,0.03963458749384885,0.05599638247310039,0.03973012229795401,0.05576799445689563,0.08303561450033731,0.2160434632255662
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",2292.5183143484483,0.024233622142528093,0.07738848024251174,0.17300838649511943,0.16028953955753858,0.22215715798202615,0.4032894078572139,0.6271517532693546,0.21291589794064322,0.1812092126529571,0.04159810105694229,0.07051317723626715,0.027962041720785525,0.0506676150571175,5.001065045931428,0.6163157303632707,16.260417773408847,3.6643744589930214,0.2549937754922754,0.143716400068563,0.7993198174425059,0.5364506487733094,4.8314455917931936,0.4258706052290749,16.069595995882263,3.410050380700622,0.1763177050053121,0.09087320139977764,0.3318507610173231,1.6670201777335354,0.2128524251402653,0.05961508768942941,,,0.17631763488856309,0.09087318218441563,0.23689887402202828,0.10321547400298324,0.08489365700688445,0.08489365700688445,0.12833738331998656,0.1067181596534539,0.865433487177858,0.5354545145091056,2.4662145316849705e+18,0.03889833083100689,0.05291869607952053,0.039123791058182866,0.05345634806970598,0.07889637947284346,0.21030752256618107
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",2283.18402398168,0.028091406729641055,0.08411082983654346,0.1464283837945728,0.13795458850171285,0.19679636939689205,0.3493653143171168,0.6337914736498542,0.18939724943658828,0.1583747894192049,0.0404468749160447,0.06886620903903655,0.03188638597085986,0.05572221050101033,9.839592603995715,0.6366188343277358,12.085946945249448,8.150541078723146,0.29414643667793394,0.10892294307104242,0.8383443823603083,0.4938038880302735,9.683037392319829,0.42070144133941323,11.907216494813815,7.860566265321774,0.22142367855174502,0.0667916969748115,0.35774958857799805,1.4901816032705815,0.2052768632881969,0.050933287232002154,,,0.2214236591832883,0.06679170286354738,0.24383760677205205,0.09517577972341551,0.06498947465223998,0.06498947465223998,0.11720046525229677,0.11170133591675965,1.302454823265877,0.5700089413530848,2.444497054080116e+18,0.029577248351066093,0.04641018602825196,0.02839339547378245,0.04779153874465853,0.06816714293758368,0.15817965700476683
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}""}",2301.0397757404357,0.024605669061817763,0.07671746495935276,0.14122011610977225,0.12972257502977863,0.17407027267758737,0.32932092787974493,0.606775230807257,0.16763973733257426,0.14242738601600788,0.03732832366374758,0.06093710502881531,0.02831034816697068,0.04954231746359999,11.028371200499219,0.666999476979606,10.492044826801324,56.50400411126618,0.20658625582264092,0.13493717963447135,1.1853567627905692,0.45978671285550665,10.870550248901829,0.5238405888276318,10.297861059852515,56.45556996525904,0.13715008922595162,0.08999086686188607,0.3407579564549681,1.362109342497938,0.14935564821782749,0.058458745837410564,,,0.1371501152988627,0.08999086699510159,0.1937031159254336,0.09730253150998032,0.0846486119263294,0.0846486119263294,0.11747689319350846,0.10087468167332711,1.1379806767094633,0.644800110226397,2.438399672142976e+18,0.032635921320470315,0.04794523917248769,0.03181288197897428,0.04924514189819121,0.0700952152528416,0.2102573071002667
