data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7644384127524828,0.31599995749388843,0.25626837688439014,0.2637783523023937,0.12021346904036159,0.11042799314731347,0.11362557846358544,0.12186651126508785,0.12349020270982938,0.8233265584775911,0.8391029954406672,0.7544486120030557,0.727283273001528,0.016256703098930483,0.026810459209702063,0.028720813815635345,0.02780264230952381,-0.011438518121721416,-0.009864624470842883,0.06887794637726,0.11181972248586707,0.018752342458237842,0.035354133926024954,0.0331099140705373,0.05887787989750445,0.015999593130379425,0.015782265240132418,0.9493741620098041,0.9699325016403106,0.09648725424573466,0.09790472822217978,0.03592915656277056,0.08743386265546219,0.0019936125821237586,0.0034958958260758845,0.08893182511026229,0.0922250941000764,0.004593391929717341,0.004593391929717341,0.20989180615164246,0.0485327282911892,0.13318566019073083,0.07630390809982175,5.086911098039215e+18,0.06143043926024167,0.058783029780119934,0.13557657216918886,0.6659894883762508,0.34840925559109664
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.7821746594294202,0.5943985512235379,0.4254014153526441,0.4603212330726169,0.18278902631635682,0.1600092042109753,0.16886021679352345,0.1866598925323402,0.18964325107974705,0.8242526922600373,0.8239002743824803,0.7749963848630846,0.7613216471091588,0.015619656100118836,0.04600033724637127,0.028731314063279858,0.04959760271305492,-0.026650688332399624,-0.020783034218996688,0.049256307442534585,0.06257862716738817,0.028862449002588914,0.06053931635230455,0.056085314805067475,0.10124010734712673,0.02870667177582548,0.025984601879976234,0.8747786241940837,0.923341828680163,0.21094369296379764,0.2118701196348782,0.058671225797682705,0.15578641648221714,0.003562390284059078,0.005751834625880655,0.188427625732493,0.19099739908012903,0.007711763113742466,0.007711763113742466,0.4520981643788304,0.07559922972447161,0.23072917616250743,0.13072988235599695,5.140373955182073e+18,0.1016630989639122,0.08112592735244466,0.13669941339266914,0.6805115602909739,0.35698940424384434
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.782526737772218,0.563874260924879,0.39270241258441557,0.4264581077481538,0.1663432951350904,0.14752606746676852,0.1492704321674306,0.1695250297034632,0.174690921846193,0.8259803084544182,0.8350504861193022,0.7751385038614719,0.7564636383771326,0.017102295020117137,0.036641142856378914,0.028403008770435445,0.040596328501400554,-0.02199896203361345,-0.025420489945250823,0.05084180457410237,0.07858684779195314,0.025382979229182583,0.04661664677540107,0.046459300647950084,0.07246187564604023,0.024467928501655207,0.03178173104761905,0.9086747348577795,0.9102531170381971,0.19124952402495543,0.263851452776547,0.0519258474908327,0.130824451329259,0.0030299502131398014,0.007017942368474662,0.17508246564769545,0.22718261069582382,0.008405476968423734,0.008405476968423734,0.43259565661573723,0.07153857171785079,0.19855587981894576,0.11233995385714286,5.074661530939648e+18,0.09384687811579119,0.07249641701929921,0.13760352148172755,0.6824378472470813,0.3582930823583497
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}""}",0.7787990401896577,0.5562923096698861,0.3809817954762996,0.41752144522589035,0.16494200329168032,0.14964350191389283,0.15287981447900978,0.16754119526712505,0.17096293422099748,0.8223439782300739,0.8225733431330714,0.7713705192269271,0.7569250814800466,0.01994861946405835,0.02622198372096111,0.03221058853388629,0.007976130297555386,-0.017897693438702754,-0.018083119705191168,0.050973458828986136,0.06564826164764088,0.027007829577267273,0.052264099629542725,0.04893545297304376,0.10444159796498599,0.021793480289333915,0.02419015605496744,0.9194025012064281,0.9229792359392667,0.17683780358950854,0.1850232281539343,0.06208184005649532,0.15253432714049256,0.002704805890319764,0.0053644637081923675,0.16329400584644765,0.16723190623887738,0.006753971583015024,0.006753971583015024,0.37351966185834334,0.06363844699321547,0.21399212121026595,0.11216192788049766,5.112221642256902e+18,0.09099642873421555,0.07394557455746475,0.1399739013389315,0.6814995995337918,0.34554686562107345
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.7796949429257278,0.58539478474374,0.4238729296287242,0.45562563083579494,0.18449653940094218,0.17049392787810883,0.18162859436962056,0.18687749078176724,0.18584673759387998,0.8143057195461759,0.8198581407566845,0.773798060866098,0.7597276785242764,0.023392018151769802,0.07518162997449283,0.03327443677298192,0.09698755254146509,-0.016383562859264917,-0.00421814315669298,0.040507658667006195,0.060130462259230966,0.03231158713606655,0.08681683759786944,0.056506682185680335,0.13906048573533655,0.02184635520762244,0.022750726719803074,0.93080190112813,1.0056163639650284,0.1608427501778287,0.15037619324276377,0.0712138503399966,0.1755711262447585,0.0027115075564043798,0.005024351987352516,0.14930905358878704,0.14664173466458705,0.006503481001018589,0.006503481001018589,0.45280643865796627,0.08443278656896698,0.28308182639635854,0.16760812895272048,5.140373955182073e+18,0.10127699726252427,0.08321954213841794,0.1370855147331069,0.6784179458659508,0.3498021429084367
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7741593217994016,0.4243103298301502,0.3055154020840973,0.32759037697421695,0.13270021774910873,0.12124825920238094,0.12759716237738733,0.1346501207244716,0.13528179449121466,0.826318130447861,0.8362334169601476,0.7652822076581997,0.7433711169715432,0.01634641752960275,0.037312610571173924,0.025572685814553096,0.03587509474764451,-0.013401861245034377,-0.007684632138973772,0.06103592282633053,0.09286230005544946,0.022149330555067483,0.05154189287012987,0.03680058605290298,0.08763053867125033,0.018757716227463715,0.016016819228991598,0.9376562233346065,0.9807946023081232,0.1339041186562898,0.11604512732556659,0.04656404384746626,0.11942247519652406,0.0023272476124267887,0.0035497827676343264,0.12228582622415331,0.10954861763050674,0.004815008060860708,0.004815008060860708,0.29664935971670486,0.05154741854399032,0.16463286359180038,0.09516184031137,5.039407169467786e+18,0.07287602290498942,0.05982419484411932,0.13700332855292194,0.6782168077682685,0.3500708822126263
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.7777351420407805,0.5894821925536275,0.4143159585768284,0.4461501584558279,0.1809718873308401,0.15780145651207889,0.167515394542255,0.18492085531367705,0.18758850962613027,0.8208432997946034,0.819206444130456,0.7704292737421671,0.7573290985574455,0.010830495959743515,0.03768085279823911,0.019968516239703155,0.03200515316604824,-0.027119398805927154,-0.020073114962093543,0.050414026030543894,0.061877345510106437,0.02431359037506103,0.05425093907334244,0.045554494502503005,0.09424845279890962,0.030029560242713933,0.03033850279582072,0.8774977946500927,0.929415529601022,0.2126672389355206,0.22786296815513132,0.05866092828261888,0.15936778715773525,0.0037292497621260945,0.006724077492757869,0.19155609994182532,0.2112195839471178,0.008569258194248608,0.008569258194248608,0.4807040899638479,0.08447032094605995,0.19121139539060963,0.10798398069865248,4.995491403651986e+18,0.09902472909507802,0.08194715823576205,0.13993488770044196,0.6784184201984899,0.34594725969434864
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7784611954714905,0.5900743361278293,0.4222066524486085,0.45439630192028446,0.18419737781750153,0.16350374931521336,0.17387362214471244,0.18770813053073593,0.18927811691360544,0.8196172958059987,0.8165832300141002,0.7714802396155844,0.7596711053134817,0.016212253043351884,0.04574560504904144,0.027705097353061224,0.04264748997786024,-0.02420438121985158,-0.015404494577179963,0.04813705626957328,0.056912124612121216,0.026302275089486706,0.06476116926722325,0.047947963018367346,0.10604829499703154,0.02806318202393321,0.027084206923747682,0.8808749733375387,0.9391621495355597,0.21065016305170067,0.21534321740655532,0.05978283019468151,0.1610721325305504,0.0034767289881261596,0.005991671328942487,0.18291887391966605,0.19162928799301174,0.007571052212121212,0.007571052212121212,0.4520348381000619,0.07887318386233766,0.2175446944262214,0.12498062056907853,4.999889104267161e+18,0.10100118310835986,0.08319619470914168,0.13834260967849074,0.6774600125040077,0.3501285913365205
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7680493695281385,0.5500333113225109,0.3868875511103896,0.41480917832683983,0.1788249617142857,0.16650463579437227,0.17374258506060605,0.18092024795238096,0.18129966424025976,0.807276349530303,0.7879553220714286,0.761365926538961,0.7580286958030303,0.020299656415584417,-0.0035952676969696964,0.02901489117532467,-0.07603402948268399,-0.014415612209956711,-0.007557079136363637,0.04591042301515152,0.029926626168831173,0.030055101255411255,0.047705929683982684,0.05478198341774892,0.12495779734848485,0.020858565474025974,0.017642556716450215,0.9761971199177489,1.0475986065627705,0.15793069172077923,0.178019159012987,0.07028551217099567,0.18086319568181816,0.0025881157316017317,0.0039013665735930735,0.15533221343290043,0.1738550558701299,0.005418564534632035,0.005418564534632035,0.4213931979761905,0.06699979241991343,0.23590816216883118,0.1136769669891775,5.087904285714286e+18,0.09254459589272271,0.086280365821563,0.14567026318018186,0.6755047751055324,0.3029787894776662
Adult Dataset,,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}""}",0.7814549569291656,0.5934101480444784,0.42608601246248196,0.45800028930969355,0.1838047358045582,0.16563169186877175,0.17477005609918514,0.18689453142925047,0.18826325302588914,0.821559395421696,0.8243940994783975,0.7746136673300229,0.7599652963732705,0.022575427916984976,0.06451495008343944,0.038326062905356076,0.08363011005589509,-0.02126283981928529,-0.013493196907053731,0.046945728180120536,0.06442880305067482,0.030829648883965704,0.07703929042339361,0.05733271428087599,0.12900970693519226,0.02536579385612427,0.023204583936083524,0.9284456174893897,0.968762817450853,0.17356065830897208,0.18194858280769882,0.06965007980133266,0.17395305646010525,0.003148821279814956,0.005138237299592565,0.16395739713169513,0.17151116843892708,0.006779412858034122,0.006779412858034122,0.4093855786205755,0.07248462065877259,0.25260486389903236,0.14391897688927086,5.140373955182073e+18,0.10181110247349613,0.08199363333106205,0.13655140966921828,0.6796438545262236,0.3548625768789429
