data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.028099686828217094,0.3138806335436512,0.2739594942733279,0.2686391458462964,0.11614278840608862,0.0874184756518987,0.1212635696695708,0.02389152540758779,0.031196386958533655,0.03290412016380167,0.05352699561361364,0.040713816527225485,0.03094798736270688,0.02563920925773049,0.04172665980104985,0.04029499394060404,0.17211102781535462,0.2899584143826333,0.05120739332345501,0.004965634045231749,0.21428928754902285,0.004965634045231749,0.004965634045231757,0.21428928754902285,0.05533573833184153,0.04172665980104985,0.02563920925773049,3.0492301289996293e+18,0.06554475826078085,0.053140287513975155,0.03821102728486439,0.04777873420649803,0.060165466140768835
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.020813610715326013,0.08716722258867182,0.15202553150479706,0.09274768076470194,0.07878550094084934,0.056372512848676073,0.08303509605129117,0.02399628531937307,0.021797098159719135,0.03483486959465344,0.059971382485703086,0.03493298562905267,0.021415569413912712,0.027250121482647046,0.041496384502434466,0.03493298562905267,0.0993488337045177,0.23619108540979042,0.04692359239722156,0.004361564004784332,0.15057558377080504,0.004361564004784332,0.004361564004784328,0.15057558377080504,0.051071038911608836,0.041496384502434466,0.02725012148264705,3.0492301289996293e+18,0.0366074038895605,0.044508798735459,0.036718572852782856,0.04501240766178114,0.060525588730937614
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.02611594167302696,0.22579233032687823,0.22299720831824396,0.19535274589194104,0.10409995074408229,0.07636482912776413,0.10908801958056039,0.027295099548391124,0.027578511527431255,0.037270503530436115,0.06205611277357496,0.03951911666577498,0.025126453578184587,0.027116850000202995,0.04255096405115076,0.03936632136026262,0.1355387804896733,0.23797150690633045,0.04944382658555591,0.004871019192816007,0.17355768026769972,0.004871019192816007,0.004871019192816007,0.17355768026769972,0.05846467589616245,0.04255096405115076,0.027116850000202995,3.0492301289996293e+18,0.05355993653220832,0.05393083906482463,0.038551979077704905,0.05106191060561312,0.05809625149851872
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.021641552005414393,0.13203492315006546,0.17415483429982184,0.12591398637312978,0.08685928399210299,0.06590191162630991,0.09099262200334095,0.027955014798715594,0.022375887156779392,0.041438103342242544,0.0696066422386597,0.036635748693150616,0.024768223289121795,0.025390790599192352,0.04407372316730052,0.03549898906407001,0.14465165304884503,0.2337551174361245,0.05460925647841677,0.004408807022212583,0.1657502672192472,0.004408807022212583,0.004408807022212584,0.1657502672192472,0.05033583357317764,0.04407372316730052,0.025390790599192355,3.0492301289996293e+18,0.041995968174770255,0.04741392655772132,0.03781272839252811,0.047110271849826524,0.05932997763413351
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.021119696207337127,0.08916668622192195,0.15206752740164953,0.09137436702245466,0.07982155346955672,0.0634130255958786,0.08333700381003896,0.029964169671729317,0.02142723899091606,0.04039159343259394,0.0692506086196157,0.034887060087875184,0.024862236922484505,0.025094030977627583,0.04180682328439585,0.03396551345245888,0.12776600597217747,0.2457084186059559,0.05393987511135791,0.00424171465983641,0.16710444707646946,0.00424171465983641,0.004241714659836407,0.16710444707646946,0.04826167817057437,0.04180682328439585,0.025094030977627586,3.0492301289996293e+18,0.03656643396935416,0.04554784979508465,0.036785483357091975,0.0459106037526265,0.05911905379843027
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.026165710146762697,0.22818746154731176,0.22186314658760922,0.19805522174562917,0.10094798316536241,0.07585926981206634,0.10568919987868654,0.02646935676985557,0.028062423064258882,0.042614565650598235,0.07387434957292525,0.03990536822117613,0.02739246241824115,0.031058608421954077,0.05275485396013569,0.038833273911136175,0.1688872328321428,1.0188587565116491,0.052157259978962145,0.004827888629291588,0.252681680272287,0.004827888629291588,0.004827888629291592,0.252681680272287,0.05408204934389964,0.05275485396013569,0.031058608421954077,3.0492301289996293e+18,0.053266280998356424,0.05071406346559351,0.03748706319218475,0.047937180294121924,0.05873740390493321
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.020701723173819717,0.08813956386138093,0.14989604780016227,0.08908726031432762,0.07895281469713163,0.055744991869603314,0.08331859044364345,0.02513063159407197,0.02144349436390118,0.036217946235761536,0.06192176583200904,0.03542081584533712,0.02134837619457291,0.02547938762817239,0.03912548056634223,0.03532415572781505,0.1005430854877454,0.231558606223104,0.046448032101474135,0.004392578486051874,0.14793583160512017,0.004392578486051874,0.004392578486051872,0.14793583160512017,0.05158784882314412,0.03912548056634223,0.025479387628172378,3.0487731386568284e+18,0.03623396474911892,0.04498240065653874,0.036062677304910064,0.04562136230784399,0.05835457495224258
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.023193759994056182,0.19260579443078288,0.19937887982991673,0.17105242491869102,0.09157540897090098,0.0666278516989107,0.09613047837111753,0.02359390576771188,0.024562237374650353,0.033061011861461466,0.0559783045630494,0.03624055378941773,0.021971431927168897,0.02319249338724814,0.03497216377058896,0.03624055378941773,0.1232418557584308,0.23226893735746681,0.04945045956337588,0.004510374035357844,0.1659208135224607,0.004510374035357844,0.004510374035357845,0.1659208135224607,0.05144838949792335,0.03497216377058896,0.023192493387248134,3.0487731386568284e+18,0.0478861784410219,0.04663044466979919,0.0369433572707039,0.044335758274914,0.060503842718163774
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.02086710937386794,0.08729745111694699,0.1527412141137079,0.0942013588995239,0.07963495136015875,0.06330091924075829,0.08316770754159988,0.030570064694275933,0.02106864664504275,0.04242746928990612,0.0715452230089885,0.03519910912448408,0.025320533441911198,0.02649840956758365,0.04484274538198668,0.034734118020352804,0.13198414396737188,0.24750946453803466,0.05646512985566737,0.004358824940835615,0.16931761128754097,0.004358824940835615,0.004358824940835616,0.16931761128754097,0.04838949952914214,0.04484274538198668,0.026498409567583654,3.0492301289996293e+18,0.036817883539932005,0.04510980403280575,0.03683616504880175,0.045661272198307394,0.05934694040968993
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.02113329265260957,0.08828051673645687,0.15333913165499577,0.09454166466007259,0.0795853949158453,0.059364419445585175,0.08349222754316989,0.028361850647114165,0.021523752244844954,0.035449211873494126,0.06123984473297003,0.0337844429254661,0.02312177144725392,0.022460185167614152,0.03795299725825662,0.03296883936971532,0.12041020846897305,0.19607345709073085,0.05381762937156376,0.004093790596516761,0.13870241550273307,0.004093790596516761,0.004093790596516758,0.13870241550273307,0.047484918291592085,0.03795299725825662,0.022460185167614156,3.0492301289996293e+18,0.037036085277630686,0.04494475254728449,0.03690317240051442,0.045629471677349424,0.06137150425378203
