data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7744034826088864,0.5664686773226543,0.4395208256690619,0.4533209282673152,0.19677617439361375,0.17915810716819572,0.20549017415459964,0.8166640917943722,0.7535682215061235,0.042130218531849555,0.04800211102050741,-0.026332066986403942,0.06309587028824862,0.05514999642727238,0.08300566547799394,0.03427160521972569,0.9095019418391528,0.28236859509359785,0.15095398921005304,0.007580575978539594,0.23196994081882144,0.007580575978539594,0.007580575978539607,0.23196994081882144,0.04417919263590512,0.08300566547799394,0.05514999642727238,3.803451094381601e+18,0.10502105355498045,0.09175512083863326,0.13138087034027754,0.6677319316808353,0.360518062812782
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7774979165752883,0.5862552860152362,0.4339256982109157,0.4587557072607032,0.1910500460546515,0.17830748191029702,0.19731270259617292,0.8164260362344616,0.7583420706984508,0.046503807061540614,0.0478004253013669,-0.019005220685875897,0.05808396553601076,0.05820211734711276,0.09362543562395527,0.026096813064708062,0.9047486422078007,0.22758409210102928,0.17344730032018946,0.0057684035153737195,0.19319214207928764,0.0057684035153737195,0.005768403515373729,0.19319214207928764,0.03308889965238645,0.09362543562395527,0.058202117347112746,3.803451094381601e+18,0.10370520636870037,0.08734483968595112,0.13515724373876042,0.6737927102065882,0.35325670138417536
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7764474319049082,0.57512245024047,0.4364371302299879,0.4553680868147302,0.19320803544015083,0.17675120896019278,0.20128825466023798,0.8164304316734488,0.7567118685917652,0.040059904815678234,0.03979865846858926,-0.0245370457000452,0.05971856308168348,0.05057557751212997,0.08139747782560999,0.031454091138235316,0.8965484856253749,0.2558861867163805,0.15305824816877928,0.0069483825105687855,0.21891828959639767,0.0069483825105687855,0.006948382510568797,0.21891828959639767,0.040170384538712925,0.08139747782560999,0.05057557751212995,3.803451094381601e+18,0.1042589587262599,0.08894907671389095,0.13252282207609192,0.6707251836281619,0.3599562940695087
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7734878722750997,0.5725044307665222,0.43753568644860735,0.45360679128263215,0.196838677134962,0.18623673525808596,0.20203344055164735,0.8035457281787132,0.7587555043673857,0.03482519211193626,0.015872216624307083,-0.015796705293561385,0.044790223811327315,0.053721422194432836,0.09523756173872175,0.02489964771473947,0.9283325061254916,0.18224305119184028,0.17762511513662876,0.005498053210080607,0.16475180452491392,0.005498053210080607,0.005498053210080617,0.16475180452491392,0.03217168067891341,0.09523756173872175,0.05372142219443284,3.803451094381601e+18,0.10459449975876133,0.0922441773762007,0.13426795034869943,0.6688933725163385,0.34413669848458717
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7764638799947365,0.5817842620013257,0.4382074544540166,0.4589877638967534,0.1941806658186762,0.18823589778475255,0.196998379030659,0.8131729465542294,0.7584375805355048,0.06698738719842892,0.08104026468459158,-0.008762481245906426,0.05473536601872448,0.07515938252732723,0.11115606271369154,0.029034418667133403,0.9974018363515196,0.20991119702766303,0.180552875126102,0.006419468771846154,0.19753200935031448,0.006419468771846154,0.006419468771846161,0.19753200935031448,0.03786206649809055,0.11115606271369154,0.07515938252732725,3.803451094381601e+18,0.10475349796043684,0.08942716785823937,0.13410895214702392,0.6717103820342999,0.35200318700414795
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7569476731435589,0.5126580119350866,0.42401320772898105,0.4166032786201341,0.20679306109917098,0.19718562001844628,0.21154055536020014,0.7949639292079783,0.738166028703113,0.04539048703442113,0.047403808854408855,-0.01435493534175388,0.05679790050486528,0.05928692079774898,0.08370745527630039,0.03382703235844166,0.9621681061198711,0.2843553771901004,0.14080442124654588,0.0074778692643131806,0.22462825923015212,0.0074778692643131806,0.007477869264313192,0.22462825923015212,0.04406611280750227,0.08370745527630039,0.05928692079774898,3.803451094381601e+18,0.10130159217509538,0.1054914689240756,0.1286332598271588,0.6489523075945857,0.3560169490416597
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7765823062415018,0.5886692577235745,0.4338584105000444,0.45705929151923164,0.19178143778235884,0.17912243168827227,0.19800295427746076,0.8156352944427778,0.7573448018419044,0.047259871980288436,0.049624312320911086,-0.01888052258918844,0.0582904926008733,0.055645127572781075,0.08325984270951703,0.02725528174394914,0.9009971536760426,0.22440270978535828,0.1676652484758103,0.006025505794164907,0.19851905405231318,0.006025505794164907,0.0060255057941649166,0.19851905405231318,0.035040048524667626,0.08325984270951703,0.05564512757278107,3.803451094381601e+18,0.10361309706566076,0.08816834071669809,0.1352493530418,0.6729692091758411,0.3527712997919785
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7771875959471907,0.5892713313629097,0.4362595881896012,0.45812138135280744,0.19233847975788407,0.1768891282227473,0.19991063120856625,0.8153790999607743,0.7583994320053586,0.037903112462758556,0.03257274050016166,-0.023021502985818905,0.056979667955415536,0.05271331178266657,0.08802534132796072,0.030936885285847843,0.9083965445181651,0.2610838183984569,0.16551164524759857,0.006829789948045202,0.2241101404546154,0.006829789948045202,0.006829789948045214,0.2241101404546154,0.03948845769679835,0.08802534132796072,0.05271331178266657,3.803451094381601e+18,0.10419426290626779,0.0881442168516163,0.13466818720119297,0.6729933330409229,0.35352377661310014
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7733442256239309,0.5699255392184717,0.43646478833402197,0.45302190515774116,0.1963353655862099,0.18870784362290083,0.20009863159825522,0.8042762985512125,0.7581374535906822,0.04583311843934328,0.03595521380620552,-0.011390787975354377,0.04613884496053035,0.07371032594971046,0.12702669516694973,0.02278259776583519,0.9976356494252919,0.16408081097248764,0.1884841440414053,0.005044021289871446,0.16391147609039627,0.005044021289871446,0.0050440212898714585,0.16391147609039627,0.029730781743266817,0.12702669516694973,0.07371032594971046,3.803451094381601e+18,0.1042710206588008,0.09206434492740909,0.13459142944865993,0.6690732049651301,0.3431500715900035
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.7785834905039695,0.5929804954617454,0.4421041656610805,0.46509953444333085,0.19374314662923808,0.1807193184572322,0.20016443504925635,0.8182014429434025,0.7591247481426832,0.053587067893830324,0.06306698376489259,-0.019445116592024136,0.05907669480071924,0.05954170797778561,0.09033475522741932,0.02648724345157658,0.9065524650675635,0.2091139510249706,0.1717235405061625,0.00585655793741414,0.18300425458429584,0.00585655793741414,0.005856557937414152,0.18300425458429584,0.03374981450563016,0.09033475522741932,0.05954170797778561,3.803451094381601e+18,0.1055945436203342,0.08814860300890388,0.13326790648712658,0.6729889468836353,0.36087815522340244
