data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.05548841149066573,0.14453670161680354,0.20070649583386901,0.1623142892849998,0.12270247186433214,0.12366420738899815,0.12452198586580088,0.09245796844835699,0.04968400115590222,0.05327144603662484,0.09385586400944662,0.04130665112534823,0.08026543720179498,0.03958207301953427,0.06485945600758342,0.03497641560076884,0.3398852930075872,0.3795927589137683,0.08670040946275712,0.007771024435613611,0.2502744179664271,0.007771024435613611,0.007771024435613611,0.2502744179664271,0.04643796919812309,0.06485945600758342,0.039582073019534265,2.5173526029091016e+18,0.04809641166742976,0.08248267433830925,0.04527667767793684,0.08200279706610372,0.09352242167699604
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.030590956264241312,0.10601481264269591,0.1785449225793763,0.13802603727902696,0.09762381846989104,0.09818211415355461,0.09865371776237543,0.07040187892073686,0.027980237075786743,0.052046873570162175,0.10936468324183932,0.027859682207726104,0.07448051644207124,0.03846562616788059,0.0738685561053655,0.021334719477757048,0.23821680301495568,0.3013723702119344,0.09192625816966593,0.004718769540260654,0.19517387999100064,0.004718769540260654,0.004718769540260655,0.19517387999100064,0.028467634391833155,0.0738685561053655,0.03846562616788058,2.5173526029091016e+18,0.04302626423543929,0.05818630824669029,0.04284216136302941,0.05894817564485589,0.08848365841642614
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.043972260467072165,0.13356901859900638,0.1919756943335346,0.15342498949069502,0.11153254577447767,0.11230788952350265,0.11264576708382446,0.08331909863033557,0.03975204471598738,0.04670124469298018,0.0969638546223009,0.03207213997041021,0.08041091346072628,0.03499281476027771,0.06589615022027362,0.0252970507535976,0.32824550088148824,0.2907761575895848,0.08974286024452943,0.005594016150744803,0.21255883983852042,0.005594016150744803,0.005594016150744807,0.21255883983852042,0.033391648806264086,0.06589615022027362,0.03499281476027772,2.5173526029091016e+18,0.04617840755014701,0.07102834793998325,0.04394901725128245,0.07128661039691278,0.08741909338774115
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.030674907794423417,0.10067638130564792,0.18515607038163234,0.14839598823031466,0.10019210755681295,0.10210375955651829,0.10059230517518847,0.07730454920456971,0.0284906557072563,0.05714294316038654,0.12690588749628506,0.028764130647237405,0.08446623704804378,0.03982614258878438,0.08517764781924307,0.021344574308732864,0.19339394745836846,0.17917515073414397,0.09692867398077194,0.004702774279149877,0.1457423485459536,0.004702774279149877,0.0047027742791498715,0.1457423485459536,0.027984461970217537,0.08517764781924307,0.03982614258878438,2.5173526029091016e+18,0.04470016638429386,0.05938783049397876,0.044353284594445125,0.059734435552181935,0.09478398313814144
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.029000728621889616,0.10315698487722247,0.181054000619587,0.1406638056607263,0.09863713968784911,0.10219688590537804,0.09895627481324293,0.07341542375386176,0.027826292679532297,0.05739571626894344,0.10759299445726309,0.03601009262077811,0.08124004246623329,0.04613547426275135,0.07594314081077118,0.022973116582207992,0.3374727055450529,0.2358870039956366,0.08924141236323195,0.005079975637940452,0.19413763966985548,0.005079975637940452,0.005079975637940449,0.19413763966985548,0.032646129774239904,0.07594314081077118,0.046135474262751344,2.5173526029091016e+18,0.04369808236050672,0.058001539089766595,0.04337363821024101,0.059130209722162236,0.08687578936603746
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.10031325495676427,0.2077709552550138,0.2420060411019068,0.19430584590948372,0.18321471472753656,0.18786617561953173,0.18309201891991717,0.14716668391350488,0.08719212898171308,0.06485875587511193,0.10282443106697431,0.049187083759923055,0.09929131151549077,0.052409939670065166,0.07613137574891607,0.038442197142232445,0.32872707519440897,0.5009082298246806,0.10119853368976361,0.00848393781113018,0.2761761479436253,0.00848393781113018,0.008483937811130183,0.2761761479436253,0.05123674436744121,0.07613137574891607,0.052409939670065187,2.5173526029091016e+18,0.05779566039367099,0.13609390968007518,0.049882846316272135,0.13834157928749283,0.0924921272118677
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.032001998721633444,0.10677072910386025,0.18191743716990827,0.13846030005128926,0.10142479254899871,0.10468480364390671,0.10113268849110574,0.07455137212535017,0.02785443374006932,0.04822689413505378,0.09457805227376959,0.028899847626704625,0.07764150761460709,0.03820805959651598,0.06677843036084415,0.021152779534508292,0.2796003860157101,0.21237334942949068,0.09230801680134144,0.004679675448691839,0.1806208626375496,0.004679675448691839,0.004679675448691835,0.1806208626375496,0.029058075429885834,0.06677843036084415,0.03820805959651598,2.5173526029091016e+18,0.04365696686473697,0.061137331134222116,0.043878426104413844,0.06183141369957866,0.08622044829716724
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.031047742006682612,0.10713299166428693,0.18324724788439312,0.14390655157726176,0.09993230088567091,0.1019484138378495,0.10076722049026215,0.07632354102565977,0.027953922929004636,0.05185727355741833,0.111198415462139,0.03372431715207646,0.0819157113383229,0.036637676109211974,0.07519069660813825,0.026621372372216668,0.4692189601100326,0.2882511829080482,0.09548454150816707,0.005856140467689234,0.22562587875172505,0.005856140467689234,0.005856140467689233,0.22562587875172505,0.03535605942991142,0.07519069660813825,0.036637676109211974,2.5173526029091016e+18,0.043935973662894916,0.05965176750162317,0.04411388777283738,0.05997262998698128,0.08988266442740982
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.028687984369341536,0.09621484192294322,0.18384129515101502,0.14584825331158854,0.09928490338373175,0.09898377298475204,0.10061306465296337,0.07369442906692693,0.027823602650534726,0.07473432466240208,0.15651382148051038,0.02682880896168102,0.0821035056255308,0.047336426760925296,0.09798148650880198,0.018140919252656533,0.35955295063102455,0.15792568251770026,0.10030084042633855,0.004024398995519785,0.18348829877191647,0.004024398995519785,0.004024398995519779,0.18348829877191647,0.02543923794318165,0.09798148650880198,0.047336426760925296,2.5173526029091016e+18,0.044163278318433107,0.0584644155000268,0.04419433778403059,0.05865063946010097,0.09175161015822998
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.031215952626774172,0.10739623914980982,0.1792734190588762,0.13504442086261834,0.09958596022171312,0.1027081112291655,0.09932233678917506,0.0756951528484171,0.027212013107579456,0.04416439355543901,0.09338493825980293,0.02804011783991781,0.08001463344535654,0.035699272125361954,0.06725199309630231,0.021485514698346444,0.21764474515943366,0.23066637909773266,0.08832780928031983,0.004751715910636331,0.17218867666835908,0.004751715910636331,0.00475171591063633,0.17218867666835908,0.0283364104798944,0.06725199309630231,0.03569927212536195,2.5173526029091016e+18,0.0429904496573785,0.060073901359251794,0.043150897852538395,0.060446458504027356,0.08298415367831784
