data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8016771569375,0.4551179036875,0.374414478,0.4082932760625,0.13724286156249998,0.10315525275,0.1428706028125,0.8634210918125,0.79135121925,0.0003322424999999998,0.0116806056875,-0.0397153500625,0.0720698725625,0.02088352425,0.0319474531875,0.040411415562500004,0.81522729025,0.2911436091875,0.0225284003125,0.00491159475,0.00491159475,0.2314712995,0.0319474531875,0.02088352425,4.5838883125e+18,0.09022873810398886,0.04701412345851114,0.11019622072673683,0.6901777988187177,0.4875833456969001
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8262588270625,0.6776916165,0.5453422955,0.601164086625,0.195406048625,0.1336489155625,0.2056890405,0.872337451625,0.818598237875,-0.025400512625,-0.0283604050625,-0.07204012475,0.0537392136875,0.030882438125,0.055220097937500004,0.07204012475,0.65021993625,0.5680768178125,0.0179037458125,0.0088115695625,0.0088115695625,0.4400747499375,0.055220097937500004,0.030882438125,4.5838883125e+18,0.13160116679789768,0.06380488182710231,0.10993629115882675,0.6946576602161733,0.49895839462835434
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.823879336875,0.676166064625,0.5306828644375,0.5909660143125,0.190570310125,0.140176410375,0.198956486875,0.8734160926875,0.815638073625,-0.0005449533750000002,0.01555289775,-0.0587800764375,0.057778019,0.02715450675,0.054572815125,0.0587800764375,0.7099710365625,0.4295701330625,0.0239867978125,0.0071864005,0.0071864005,0.3499613968125,0.054572815125,0.02715450675,4.5838883125e+18,0.1279935523672989,0.0625767577577011,0.11354390541433952,0.6958857844606605,0.4894947971111176
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.8189092723125,0.6280295205624999,0.5050380264375001,0.5563185258125,0.18341264968749998,0.1405400104375,0.1905690553125,0.866254692875,0.8111273546875,0.0018761817500000002,0.0132034056875,-0.0500290449375,0.0551273381875,0.024174477125,0.054812048437500004,0.0503238696875,0.7558927416875,0.3608438249375,0.0380718453125,0.0061655776875,0.0061655776875,0.2950892699375,0.054812048437500004,0.024174477125,4.5838883125e+18,0.12192968990250753,0.061482959784992464,0.11147272542421996,0.6928871149091135,0.4895312889203622
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.82587503825,0.682624683375,0.5317923903125,0.5944657663125,0.189303807125,0.1360911295625,0.1982303515625,0.870821221,0.8184215983125,-0.0129090419375,-0.010615903625,-0.0621392219375,0.0523996228125,0.0354217108125,0.060148359875,0.0621392219375,0.688567074625,0.50666477925,0.027249002125,0.0076414145625,0.0076414145625,0.3915820619375,0.060148359875,0.0354217108125,4.5838883125e+18,0.12835815164278974,0.060945655482210266,0.11317930605571835,0.6975168868192817,0.49447323678674465
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.810907276625,0.5428421456875,0.447860753625,0.485913761875,0.1635132023125,0.1126907285,0.171982940875,0.8641359045625,0.802063277,-0.0228455400625,-0.027394462812500003,-0.059292212375,0.06207262775,0.0362846039375,0.0578188135625,0.059292212375,0.722070950125,0.48948169775,0.0261360148125,0.0072571956875,0.0072571956875,0.360033249125,0.0578188135625,0.0362846039375,4.5838883125e+18,0.10797896834765831,0.05553423396484169,0.10840556434613503,0.6903474174230957,0.49445485978645787
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.82664261575,0.6891963884375,0.523890001375,0.5915274873125,0.184698342125,0.12513896775,0.19461992087500002,0.872775425125,0.818989524875,-0.0265634884375,-0.03313993325,-0.069480953125,0.053785900312499996,0.0325851288125,0.051066706375,0.069480953125,0.64408678175,0.57404854375,0.0190551120625,0.0085011390625,0.0085011390625,0.446848878375,0.051066706375,0.0325851288125,4.5838883125e+18,0.1264392079243384,0.0582591342006616,0.11509824996993227,0.7002034079050677,0.4942779647019989
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8186789990625,0.588326932375,0.4930642965,0.534891504125,0.17784771262500002,0.1250948006875,0.186601027375,0.867627486625,0.8105519445,-0.0167489358125,-0.016134425875,-0.0615062266875,0.057075542124999996,0.0234508079375,0.042431052875,0.0615062266875,0.7137831278125,0.441145989,0.0233919251875,0.0075041189375,0.0075041189375,0.351938947,0.042431052875,0.0234508079375,4.5838883125e+18,0.11903208475869648,0.05881562786630352,0.10557480591350996,0.6911706653722043,0.5060128505789193
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8256255756249999,0.674704931,0.5452196795625,0.6006550154375,0.1960393000625,0.13817160075,0.205713925625,0.8723156324375,0.8178697101875,-0.0161374135625,-0.0120036674375,-0.067542324875,0.054445922125,0.0353274366875,0.055885405312500004,0.067542324875,0.67765573675,0.5178918505625,0.0335815166875,0.0082855423125,0.0082855423125,0.402719741625,0.055885405312500004,0.0353274366875,4.5838883125e+18,0.13160116679385653,0.06443813326864348,0.10993629110601401,0.694024408831486,0.497182240212335
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.825702333375,0.679281342875,0.539795921,0.5977393325625,0.1935830519375,0.1439912915625,0.2018348736875,0.871608837625,0.8180988385,-0.0007539236249999989,0.0122300558125,-0.057843582125,0.053509999125,0.021094562125,0.0434345105625,0.057843582125,0.714508849,0.418420861,0.033197728,0.007071481875,0.007071481875,0.3428553995,0.0434345105625,0.021094562125,4.5838883125e+18,0.1304114215663172,0.06317163037118281,0.11112603622889605,0.6952909118336039,0.4964186811310117
