data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8006447650749999,0.430048074775,0.35198334082500005,0.384301139975,0.12787073995,0.094278616175,0.13350923047500002,0.8639034604500001,0.78993377325,-0.0027521836,0.007061327924999999,-0.03923061435,0.0739696872,0.021947559499999998,0.037007522825,0.03950904055,0.8145953044,0.2882691456,0.021415412949999997,0.004859470425,0.22956049935,0.004859470425,0.004859470425,0.22956049935,0.048397713875000005,0.037007522825,0.021947559499999998,4.9188907e+18,0.08404973902119242,0.04382100092880757,0.10943293736474592,0.6938428473275617,0.48720384523727367
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.82742554485,0.67536476105,0.547121607175,0.601656858825,0.19505680082500002,0.13509695125,0.20518372547500002,0.87068058535,0.820136446275,-0.02544972405,-0.0304075931,-0.0700867741,0.050544139099999996,0.03123590255,0.055409080199999995,0.0700867741,0.65969218965,0.5419047045750001,0.019818851749999998,0.008660614675,0.424427535425,0.008660614675,0.008660614675,0.424427535425,0.084776615975,0.055409080199999995,0.03123590255,4.9188907e+18,0.1310331594048868,0.0640236414201132,0.10855081369860356,0.6963923854763965,0.499712212538744
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8167408657999999,0.589679983025,0.464105096775,0.516091066125,0.166318698175,0.1216055433,0.17389237154999998,0.868818075425,0.8079736508750001,-0.0051928006,0.004162468274999999,-0.0522868283,0.06084442450000001,0.023203071750000002,0.044739894875000005,0.0522868283,0.7430036066250001,0.383814415,0.0229352165,0.00647432205,0.31116579185000004,0.00647432205,0.00647432205,0.31116579185000004,0.0635494831,0.044739894875000005,0.023203071750000002,4.9188907e+18,0.11132176848561462,0.05499692968938539,0.11265406373642117,0.6972674240635788,0.4887316332725423
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.8235339268249999,0.655236484225,0.5247432924,0.57937791995,0.188340497375,0.1431674385,0.19595865445,0.8692421118,0.81586072415,0.0022120320250000004,0.015929316850000003,-0.052791215925,0.05338138757500001,0.033853167225,0.06550174315,0.052909145825000004,0.7448351048,0.379588263775,0.039407430225,0.0065306118,0.30876450745,0.0065306118,0.0065306118,0.30876450745,0.0644946115,0.06550174315,0.033853167225,4.9188907e+18,0.12572919864377843,0.06261129873122157,0.1105783991996299,0.6962518599029343,0.49208929475688906
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8269342952000001,0.677024891675,0.540193619025,0.597905224025,0.1922014123,0.14094132807499998,0.20088949355,0.869217711875,0.819796866075,-0.009958292675,-0.006340972025,-0.059948165399999996,0.049420845775,0.035068654075,0.062197532025,0.059948165399999996,0.7047447574250001,0.45791825399999997,0.0313632177,0.0074267898,0.36322758990000004,0.0074267898,0.0074267898,0.36322758990000004,0.0724473561,0.062197532025,0.035068654075,4.9188907e+18,0.12935984031891773,0.06284157198108228,0.11022413261485071,0.6975744550851493,0.496787639985553
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.81750076745,0.588686818425,0.477536166275,0.5233675533,0.17108535460000002,0.12274367289999999,0.17925970175,0.867297784275,0.809110955975,-0.013446987175,-0.011214543475000002,-0.0565160289,0.05818682830000001,0.031752867475,0.055292138125,0.0565160289,0.7276165448999999,0.438006892675,0.026189745224999998,0.0069895958499999996,0.339795692225,0.0069895958499999996,0.0069895958499999996,0.339795692225,0.0687295512,0.055292138125,0.031752867475,4.9188907e+18,0.11408504756076121,0.057000307039238786,0.10861002672868271,0.6958638537284602,0.4966641207378766
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8274869509749999,0.6823041026000001,0.532413483825,0.5948363599750001,0.18810254842500002,0.129909326425,0.197927216225,0.873495268425,0.8197250212249999,-0.021656978775,-0.022670544674999998,-0.06801788977499999,0.05377024725,0.036718211125,0.062031261675000005,0.06801788977499999,0.6593547063,0.543191427175,0.02124654595,0.008402499275,0.4251076984,0.008402499275,0.008402499275,0.4251076984,0.08183483714999999,0.062031261675000005,0.036718211125,4.9188907e+18,0.12758673632091216,0.06051581210408785,0.11199723676309141,0.6999002148119086,0.4958720628775405
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8225284002500001,0.6228287614,0.51300498085,0.559590201525,0.1837887627,0.130592518825,0.192756810375,0.8703208936,0.8144679705750001,-0.01401618025,-0.009601459750000001,-0.062164291475,0.055852923025,0.0263367018,0.04975900365,0.062164291475,0.7022804726749999,0.452991005,0.023664415225,0.007671514274999999,0.363950700075,0.007671514274999999,0.007671514274999999,0.363950700075,0.07570274257500001,0.04975900365,0.0263367018,4.9188907e+18,0.12295056803035416,0.06083819466964585,0.1068716859350236,0.6944377597947061,0.5021664940463887
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.826680994625,0.67337532395,0.54749660365,0.600589816725,0.19601627262500002,0.14237986689999999,0.20507891804999998,0.869972255175,0.8193880975999999,-0.011440700575,-0.00663320555,-0.06269905114999999,0.050584157549999995,0.037394326175,0.0640619338,0.06269905114999999,0.701280857175,0.464392737625,0.037073994425,0.0077499830749999995,0.367711786325,0.0077499830749999995,0.0077499830749999995,0.367711786325,0.076355172675,0.0640619338,0.037394326175,4.9188907e+18,0.13114062019491593,0.06487565243008407,0.10844335276024905,0.6955403746147509,0.49831083665501447
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8275560330499999,0.6764748467499999,0.547678148825,0.6017959232,0.19526404665000002,0.147779809075,0.20328102475,0.87057494,0.8203263437749999,0.0014426545250000003,0.01445725185,-0.055501215699999995,0.05024859625,0.025391494525000002,0.05064488825,0.055501215699999995,0.7291827964,0.392534502625,0.036920478925,0.0068564093000000005,0.323333380125,0.0068564093000000005,0.0068564093000000005,0.323333380125,0.067695984725,0.05064488825,0.025391494525000002,4.9188907e+18,0.13120202639278764,0.06406202025721236,0.10838194652001217,0.6963540068299878,0.5004494068362597
