data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.03123145211002315,0.31830701511674764,0.26595176204035886,0.28524733076099407,0.09870780368873416,0.07574906067235203,0.10308441322498621,0.0187260028634032,0.03539435991942545,0.030028537267637115,0.0485360283195616,0.03891032372530535,0.03244906132712,0.020895799507976966,0.03758451739791173,0.03813819061541902,0.17593205148804045,0.3024791179808344,0.020298713059502073,0.0046923963581143695,0.0046923963581143695,0.22340658385451678,0.03758451739791173,0.020895799507976966,3.405077870208819e+18,0.06379509163030417,0.03577473456236996,0.01749131414992,0.01553434569211591,0.023915214181220463
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.008385095058569299,0.03580554064582748,0.057271897393869065,0.02789526019534272,0.027679821806619178,0.02597097030201569,0.02913031089038811,0.01586374287299391,0.009427082000657892,0.03358096854296883,0.06480279142439975,0.022068749775022826,0.01830074212889904,0.02825903824425173,0.04248284390294166,0.022068749775022826,0.09226772959675045,0.2275679843829678,0.006000571560061606,0.0027929567550906086,0.0027929567550906086,0.14404607194042468,0.04248284390294166,0.02825903824425173,3.405077870208819e+18,0.01309497150374938,0.015536383450259735,0.01509455078311498,0.015760792125919108,0.022619601727648854
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.00764819539392256,0.036903243622229964,0.06388945334492573,0.029840551930943333,0.02967275771370483,0.021430138602381205,0.03199428959312413,0.016397808177853697,0.00840507129026222,0.03574073486515012,0.06756885423779968,0.022897722707537826,0.017880069169808603,0.022162848384983398,0.040581160316258184,0.022897722707537826,0.08965565270799444,0.17987210036152537,0.007717723759242316,0.0028618613251695014,0.0028618613251695014,0.12586608313821723,0.040581160316258184,0.022162848384983398,3.405077870208819e+18,0.01395730924120369,0.016868727766394233,0.016893298395657442,0.01506142828094192,0.025105025727218466
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.017831857350706727,0.17151947758989264,0.14777806718153644,0.15083308935720396,0.05796193343693719,0.0487268235498124,0.0603573658065096,0.023643846117613936,0.020065558203592036,0.03562334177861462,0.06926709417092805,0.0288577158777897,0.030570766874870096,0.02548355366533483,0.04218093037428565,0.028305632087143772,0.13055580396863922,0.22638932504866258,0.025471116928901777,0.0034777055462773673,0.0034777055462773673,0.16719813411963777,0.04218093037428565,0.02548355366533483,3.405077870208819e+18,0.035604986273095766,0.023999666998194964,0.015783419095535538,0.018721867668284212,0.021990140334442118
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.00685523080551588,0.03616402531719609,0.05807889735617867,0.0270067562261489,0.028403486981629346,0.03200626149581831,0.029919659017936487,0.015569629106353266,0.008255434485910922,0.04567880637271442,0.0808127813521745,0.029445865405275863,0.0193058603423856,0.030429626511340454,0.05283845813677754,0.029445865405275863,0.13710837222246763,0.29697279020506423,0.01777972025211181,0.003704502479208708,0.003704502479208708,0.19829032028921662,0.05283845813677754,0.030429626511340454,3.405077870208819e+18,0.013523066290829193,0.015614572115026037,0.01501415121388114,0.015945610976316107,0.019721627060653862
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.02780416839289224,0.27244909152268965,0.23377197331076696,0.24319742326237712,0.08891778981966234,0.06601443383580313,0.09351319727281264,0.02100884190603375,0.031077907518203687,0.05134386529591873,0.09043453775048828,0.04129514520092327,0.030876364367747763,0.042291391589320354,0.07357315929437507,0.04129514520092327,0.18753310555102687,0.4569752531154507,0.024359739129720805,0.005090967243168115,0.005090967243168115,0.278567504379711,0.07357315929437507,0.042291391589320354,3.405077870208819e+18,0.05625209405896408,0.034042503183354174,0.020426010166751676,0.022535119531708222,0.026778667449390458
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.006730331728597827,0.03412017124393243,0.06376108702298688,0.03147096008727291,0.029825966322236115,0.02364514082665061,0.031808945059821035,0.01633971031625416,0.007937373129291212,0.030533224580310048,0.05891204583041536,0.01993168486740996,0.01913002665478451,0.023502368421000182,0.04313280574540159,0.01993168486740996,0.07935368047594928,0.1886438467148516,0.008760858843935551,0.0025613274047575794,0.0025613274047575794,0.12099629308210332,0.04313280574540159,0.023502368421000182,3.405077870208819e+18,0.0147456818151503,0.015876205146313757,0.016266607845232546,0.015919084342725646,0.022672297283479973
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.024654919921574148,0.23169841550970774,0.19598096644251703,0.20919426134464528,0.07229568730977014,0.0519092737248632,0.07599518264752389,0.019017549634272605,0.026996102058540847,0.030060897144502836,0.056998181888529335,0.030325888672501144,0.023944483544420594,0.024825049692949783,0.04007551062908226,0.030325888672501144,0.1327356928693422,0.23447748390138745,0.010015813196742027,0.0037000724332818397,0.0037000724332818397,0.17364844743594454,0.04007551062908226,0.024825049692949783,3.405077870208819e+18,0.04713550611102129,0.026286820213267822,0.011075306082861034,0.01418431993565712,0.0150829752435601
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.007752330376566563,0.033135923253788176,0.04957596707497138,0.022580089425761063,0.02511681303918684,0.022812076125731086,0.027696562973677778,0.01699824041362489,0.008713473713069285,0.038510609361601875,0.06681275531521368,0.027813094135733733,0.019068871544640636,0.020727146190883547,0.035864296240395145,0.027813094135733733,0.11140334997080197,0.27742441679431296,0.009515567303840353,0.003528088183187144,0.003528088183187144,0.17359781140022232,0.035864296240395145,0.020727146190883547,3.405077870208819e+18,0.01153493068236133,0.01457405840847376,0.013175634616354936,0.014984022864465799,0.0195166071790637
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.007691494567841915,0.03952925310587352,0.06072080044857707,0.02809930933652356,0.03224205711547559,0.028100259959688113,0.03388437459804554,0.018554882659101466,0.00841256765208594,0.027463002494885043,0.05425446047264337,0.021022378605159552,0.020050429642487773,0.016738484965094672,0.03302673476203926,0.021022378605159552,0.08540270929753488,0.1692757074725568,0.011421594924072546,0.0026175898122901,0.0026175898122901,0.11955972545959816,0.03302673476203926,0.016738484965094672,3.405077870208819e+18,0.01523092504915541,0.017956633680891614,0.01453718349691409,0.01963621728964701,0.019477500303764755
