data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7902778505609757,0.40798667778048786,0.366263654601626,0.37884840179674795,0.14508088894308943,0.1085278412195122,0.15118960079674795,0.8529977930813009,0.7796569491341464,-0.006411251113821137,0.0034130864634146344,-0.04266175953252033,0.07334084392682927,0.021667990682926828,0.034038689886178856,0.042812064142276424,0.8175447780365853,0.2770726859065041,0.042525043008130085,0.005250166577235773,0.22298728984146343,0.005250166577235773,0.005250166577235773,0.22298728984146343,0.05513048487398373,0.034038689886178856,0.021667990682926828,4.914335073170731e+18,0.08750009360838812,0.05758079533470131,0.1059882418335462,0.6737037416232439,0.461127183227311
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8088756923211382,0.6298089410528455,0.5478971856097561,0.5758275814471544,0.2140692591788618,0.1481396227682927,0.22518681848373986,0.8579418457154472,0.800608343910569,-0.030862926621951222,-0.03007026256910569,-0.07704719571544716,0.057333501821138215,0.03675143435365854,0.05214221043089431,0.07704719571544716,0.6592717305569106,0.5430329730040651,0.049943711,0.009510221772357724,0.4252045148617886,0.009510221772357724,0.009510221772357724,0.4252045148617886,0.09734589054878047,0.05214221043089431,0.03675143435365854,4.914335073170731e+18,0.13129319961984665,0.08277605955901515,0.1083482480413212,0.677582492779817,0.4637262391418185
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8008629318658537,0.5496605509959349,0.49233598332926826,0.5088068279308943,0.19569732234552847,0.1450315703292683,0.20424662984146344,0.8530759662886179,0.7920707988373983,-0.01032892237804878,0.0016840152479674789,-0.05921505954471545,0.06100516740650407,0.027224978491869917,0.045527488296747964,0.059222788146341465,0.7492997842560976,0.36991793365447156,0.05068632666260162,0.007313428845528456,0.3019509629186992,0.007313428845528456,0.007313428845528456,0.3019509629186992,0.0769960984512195,0.045527488296747964,0.027224978491869917,4.914335073170731e+18,0.11810085095229085,0.0775964713932376,0.10628159628164467,0.6725511203713834,0.46312908285181426
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.8063857457560976,0.608272533894309,0.5443437601138211,0.5645003507195122,0.21489674523577232,0.1643736870203252,0.2234235783495935,0.8520627802195122,0.7987110948252033,-0.004670081479674795,0.009317108069105691,-0.0590498912195122,0.0533516853902439,0.03208602208943089,0.05382234685772358,0.05911802930081301,0.7477884684471544,0.3702646019918699,0.07243186034552845,0.007301371650406504,0.3030765365487805,0.007301371650406504,0.007301371650406504,0.3030765365487805,0.07613297266260162,0.05382234685772358,0.03208602208943089,4.914335073170731e+18,0.1304619693491491,0.08443477588662325,0.1058681301977945,0.6738627059355388,0.46452747285023693
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8075464727235772,0.6270146984593497,0.5471373033821139,0.5738528591219513,0.2149916003292683,0.1618019206382114,0.22398340132520325,0.8504138018495935,0.8003065635813008,-0.012753596272357724,-0.006863164483739837,-0.06218148071951219,0.05010723822357724,0.03452904933739837,0.05684563236991869,0.0626311577601626,0.7233246980284553,0.42207830500406507,0.0648933753699187,0.007740842052845528,0.33896408374390247,0.007740842052845528,0.007740842052845528,0.33896408374390247,0.07967410228455284,0.05684563236991869,0.03452904933739837,4.914335073170731e+18,0.13108976039372497,0.08390183993554334,0.10855168731951094,0.6764567123512207,0.46100711470690675
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8016941621260164,0.5484755985813008,0.4901528918333333,0.5081576656097561,0.19308880681707316,0.1406609500813008,0.2019496673821138,0.8537195349227642,0.7929289152235772,-0.015904374902439025,-0.008737325654471545,-0.06128871733739837,0.06079061966260163,0.03253017555284553,0.05203689283333333,0.06169431607723577,0.7351367113780488,0.41886141263414634,0.053896423235772366,0.007628161475609757,0.32936706239430896,0.007628161475609757,0.007628161475609757,0.32936706239430896,0.0788503635813008,0.05203689283333333,0.03253017555284553,4.914335073170731e+18,0.11721220832266337,0.0758765984944098,0.10558313146404165,0.6745101718831806,0.4654544214064218
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8081655271219512,0.6315535454227642,0.539258096398374,0.5707526525121952,0.21072561665040648,0.1471992933292683,0.2214291673495935,0.8577828501585366,0.79980946400813,-0.027377930329268288,-0.024613329817073173,-0.07422987399593496,0.05797338614227643,0.036807896044715446,0.0536597368902439,0.07422987399593496,0.6679817756910569,0.5247502800243903,0.0505764943902439,0.009157081004065041,0.4125283598617886,0.009157081004065041,0.009157081004065041,0.4125283598617886,0.09382127606097561,0.0536597368902439,0.036807896044715446,4.914335073170731e+18,0.12926629575270038,0.08145932089770612,0.11037515197112946,0.678899231378464,0.45977773339775746
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8061236460609756,0.5827969913536585,0.516006458097561,0.5385904459552845,0.2017019003414634,0.14533614367479675,0.21120294627642278,0.8564226015162602,0.7976385608739838,-0.017407815837398376,-0.009724047504065041,-0.0658668025813008,0.05878404064634146,0.02908901478861789,0.04550734480487805,0.0658668025813008,0.7125721771504065,0.43724369989430895,0.0533198040894309,0.008127745658536585,0.35111594290650405,0.008127745658536585,0.008127745658536585,0.35111594290650405,0.08374721284959348,0.04550734480487805,0.02908901478861789,4.914335073170731e+18,0.12373349707694281,0.0779684032645206,0.1063458462008111,0.6760284192202416,0.4679979065376303
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8084213862886179,0.6269132304349594,0.5535883294105691,0.5782358336829269,0.2172693710203252,0.16448566611382112,0.2261905751788618,0.8512231732235773,0.8012018583414635,-0.009663644475609757,-0.0009134170000000005,-0.06170490903252033,0.05002131490650407,0.0343012410203252,0.055849242089430894,0.06170490903252033,0.7285200468658536,0.41093054693495934,0.0740019620203252,0.0076289159349593495,0.3300899805487805,0.0076289159349593495,0.0076289159349593495,0.3300899805487805,0.07848425601626015,0.055849242089430894,0.0343012410203252,4.914335073170731e+18,0.13266610251910552,0.08460326850121969,0.10697534516827355,0.6757552838114013,0.46473105841798273
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8082516455650407,0.6270910871382114,0.5511082185325203,0.5766390769349593,0.2162883695081301,0.1632911812073171,0.22521435246341462,0.8523755455691057,0.8008261111463414,-0.009167593471544715,0.00101437975203252,-0.061923171235772366,0.051549434394308945,0.027900494861788614,0.04783544989837398,0.0619825206097561,0.7284733998821138,0.39767171092276427,0.07095037330487805,0.007644070081300813,0.3258588308536585,0.007644070081300813,0.007644070081300813,0.3258588308536585,0.07922427553252032,0.04783544989837398,0.027900494861788614,4.914335073170731e+18,0.13209073140752473,0.08419763810060536,0.1075507162805782,0.6761609142112918,0.4634601725758527
