data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7746635451847302,0.5420719349055002,0.5010798304935598,0.5078447300481609,0.22592493091802268,0.20561402787314356,0.23596613043875111,0.8028972538345087,0.7607389175881103,0.04345724812974572,0.044853475005316334,-0.030352102565607525,0.042158336246398455,0.05814088893950529,0.08486682817619239,0.038386682293555054,0.8666865144526308,0.24294271099811093,0.16732422474669936,0.008490414527057037,0.1967518910963484,0.008490414527057037,0.008490414527057047,0.1967518910963484,0.04990218469382122,0.08486682817619239,0.05814088893950529,3.803451094381601e+18,0.11972546310510691,0.10619946781291577,0.11641376143925308,0.6530570751725997,0.3900231523645183
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7778988844539966,0.5582646746066916,0.4923794797921038,0.5106647666028804,0.2186009620304984,0.20440605854543414,0.22557608442592816,0.8024515349505817,0.7658334059657214,0.048917375453136604,0.04508934071593026,-0.02117002588049402,0.03661812898486031,0.062160774240437235,0.09784269489918584,0.028726096001059895,0.8998753421203661,0.1696165490632543,0.19249565039402308,0.006349564137571341,0.15067504519346864,0.006349564137571341,0.006349564137571351,0.15067504519346864,0.03683180270558898,0.09784269489918584,0.062160774240437235,3.803451094381601e+18,0.11768114829597787,0.10091981373452051,0.12118130181148296,0.6602177361580187,0.37971190297976437
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7767564732371303,0.5472720480070489,0.4956785461022028,0.5073580402987407,0.22121200491249612,0.20267445544959575,0.23031052701519952,0.8025244422086112,0.7640198295560842,0.04141712009899116,0.03578492951825723,-0.027636071565603756,0.03850461265252697,0.05323752069301221,0.08351128501498555,0.0348383943091543,0.8714420127456927,0.2113325228634907,0.16990968171118614,0.007694952122361637,0.18009199094900522,0.007694952122361637,0.007694952122361649,0.18009199094900522,0.04494952489427013,0.08351128501498555,0.05323752069301219,3.803451094381601e+18,0.11841546412854363,0.1027965407839525,0.11811000763641229,0.6566509936520682,0.3873739011766389
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7738320028656228,0.5453111083248473,0.49976249759225366,0.5099275648952609,0.22625243066216352,0.21408239655393566,0.23221596795271596,0.7878750177120666,0.7670071524377603,0.03558059059743942,0.008749046609544004,-0.018133571398780284,0.0208678652743063,0.057553737390363506,0.10111021136290832,0.028076347834509848,0.9138898628441811,0.1548576234153272,0.19911600654999484,0.006199436783018836,0.13884187086613606,0.006199436783018836,0.006199436783018846,0.13884187086613606,0.036535657202810295,0.10111021136290832,0.05755373739036351,3.803451094381601e+18,0.11947344181762355,0.10677898884453996,0.11938900828983727,0.6543585610479993,0.37402051179763557
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.776927898884454,0.5537082920669465,0.4986658923014288,0.512951489752199,0.22262946474260562,0.21559789180106284,0.22596815839546827,0.7985348458419824,0.766358415944891,0.07039884046102761,0.07943783297433615,-0.010370266594405427,0.03217642989709135,0.07967386272311226,0.11413203644165625,0.03230420271501528,0.9516992570853088,0.1710684579397561,0.19966482448060585,0.007142555541237245,0.15733496074302428,0.007142555541237245,0.007142555541237251,0.15733496074302428,0.04256053760175049,0.11413203644165625,0.07967386272311226,3.803451094381601e+18,0.11920990686726024,0.1034195578753454,0.11965254324020058,0.6577179920171937,0.37984270665082764
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7544967250025586,0.4892413500769354,0.4843717447707146,0.46765793151786794,0.23810894483676182,0.2272861414032561,0.2434604123479919,0.7778569086075285,0.7429323540511658,0.04898101081407067,0.04758781887939267,-0.01617427094473578,0.03492455455636278,0.06445724980232717,0.08866034021767392,0.03783979306028786,0.9307199540401707,0.23996209978813185,0.15726895916487563,0.008365582037438389,0.19086591466167488,0.008365582037438389,0.0083655820374384,0.19086591466167488,0.0497351739002701,0.08866034021767392,0.06445724980232716,3.803451094381601e+18,0.11573405997339063,0.12237488486337118,0.11308393006793736,0.6311380081346128,0.3851850252698737
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7769637191689694,0.5591460945446811,0.49320727393628405,0.5099874679349398,0.2197612833896223,0.2056051979027923,0.22671567969827636,0.801703146476273,0.7647797578962149,0.050354930492214796,0.04844996630579573,-0.021110481795484016,0.036923388580058086,0.0600764222506766,0.08753021185667648,0.030178372735079288,0.8913416777348774,0.17836383708296769,0.18661728584587037,0.006671596335323572,0.15794133087938578,0.006671596335323572,0.006671596335323579,0.15794133087938578,0.03921789600465735,0.08753021185667648,0.06007642225067659,3.803451094381601e+18,0.11779372633302627,0.10196755705659603,0.12106872377443455,0.6591699928359431,0.3796540247508016
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.777820847405588,0.5581625692432463,0.4971139315237865,0.5131211381235333,0.22076936853955578,0.2031848312538199,0.22938445226088877,0.801381257883187,0.7662490695071013,0.03923794013366804,0.02818168863646624,-0.026199621007068838,0.03513218837608562,0.05643918475172397,0.09273011053437036,0.034581234031014804,0.8743476203194206,0.21442662237972185,0.18461902568826116,0.0076342372193039035,0.18228812404589048,0.0076342372193039035,0.007634237219303913,0.18228812404589048,0.04451923146591261,0.09273011053437036,0.05643918475172397,3.803451094381601e+18,0.1187263330263023,0.1020430355132535,0.12013611708115852,0.6590945143792857,0.3819297883446908
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7736375498925391,0.5445084806261505,0.49830380269760804,0.5088805998866519,0.22557952103162418,0.2164639487693604,0.23007955275646585,0.7885893895975133,0.766312424155287,0.046671701683050106,0.02894418518952756,-0.013615603987105427,0.022276965442226414,0.07904650301322737,0.13470352854174097,0.025299313139899124,0.9385011702940153,0.13223682234396186,0.21075248183399853,0.005601166623570413,0.12249274448841214,0.005601166623570413,0.005601166623570425,0.12249274448841214,0.033374095792803295,0.13470352854174097,0.07904650301322737,3.803451094381601e+18,0.11903976051581207,0.10653976051581208,0.11982268959164875,0.6545977893767271,0.3728798682467786
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.7789824480605875,0.5623134439103827,0.501210042918905,0.5166698499948174,0.22157532494115237,0.20670173345470874,0.22890895562646496,0.8042155202580821,0.7666213896645915,0.05524615609263305,0.05924463769184415,-0.022207222171756216,0.03759413059349053,0.06188176869931066,0.09044642215715532,0.02955031456466776,0.8877017483616423,0.17845841875807944,0.18898142462388698,0.006533677870454744,0.1568219477361,0.006533677870454744,0.006533677870454754,0.1568219477361,0.037984645106967474,0.09044642215715532,0.06188176869931066,3.803451094381601e+18,0.11971011155460032,0.10186521338655202,0.11915233855286049,0.6592723365059872,0.3865692244982483
