data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.029291314172965193,0.3010096692640397,0.28036008290379644,0.2766046135668703,0.11873830151012872,0.08962414936489617,0.12395603242500111,0.02482394431371637,0.032450453636400554,0.03342055112587944,0.053940989309180926,0.04176562610847029,0.03175065795689971,0.026227858167039386,0.041804757530231135,0.04160961455422594,0.16320774517152067,0.274315952256327,0.05353023073939782,0.00513213853811356,0.20726154275748407,0.00513213853811356,0.00513213853811356,0.20726154275748407,0.057231380001894414,0.041804757530231135,0.026227858167039386,3.088029317834112e+18,0.06706015084891626,0.05442386468081127,0.026829146054419672,0.04383028911107148,0.043699946888661266
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.021875776607542405,0.0700810980649142,0.10336134663005776,0.03880749650469166,0.06324004509306907,0.046245511931739126,0.06676661636053417,0.02528744052745502,0.022561517566243434,0.03478667111475101,0.06121090899770022,0.031489058901346054,0.019977429124839012,0.028313032094436395,0.043302041564563194,0.031489058901346054,0.08768085661962363,0.20388938458085987,0.04892097642199603,0.003955982114531751,0.13209509698741476,0.003955982114531751,0.003955982114531751,0.13209509698741476,0.04747002136269879,0.043302041564563194,0.028313032094436395,3.088029317834112e+18,0.02505414333630662,0.04021306891328842,0.025012142062636564,0.040790563205661025,0.04420539800536586
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.027641094163933514,0.21423658595124942,0.21130905049422002,0.1915882830817476,0.09953852317591172,0.07324030174186258,0.10433825345230949,0.02824305907889059,0.02901210280978443,0.03778025959495171,0.0630774676052854,0.03889990046326638,0.024363183837959098,0.02786562734847264,0.043088355899240594,0.038887891263341086,0.12548287270482694,0.21690063353062244,0.052043330455532305,0.00481898489402957,0.16237809956238844,0.00481898489402957,0.00481898489402957,0.16237809956238844,0.05851865185223046,0.043088355899240594,0.02786562734847264,3.088029317834112e+18,0.050760657300279066,0.05274568909943637,0.027443810843188834,0.04730511887354968,0.0420068332901756
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.02270729687693159,0.11792398782296276,0.13545810103262174,0.09715360499315388,0.07320078772488312,0.05710336839589776,0.07670745992101316,0.028851141318699314,0.023043004325056297,0.04101040860380313,0.06906696112148807,0.034187461336906304,0.022392744795881537,0.025802605473816558,0.04366492830678704,0.034065513276174415,0.11798559024219175,0.2133601460511221,0.056365289816992445,0.004239019830337518,0.1559932494176611,0.004239019830337518,0.004239019830337518,0.1559932494176611,0.048872670715374544,0.04366492830678704,0.025802605473816558,3.088029317834112e+18,0.03282917185271053,0.043243804271317514,0.025113003959090198,0.04229277157207642,0.03996860487574089
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.022276885366553402,0.07155418079039448,0.10382129054183747,0.037311228239811894,0.064413643657494,0.05393124210274234,0.06719674241159515,0.031243396622223852,0.02207313880901843,0.0411921905229071,0.07113508377295656,0.03272649812340632,0.02225166041213457,0.025472001426909734,0.041955348137179015,0.03184345112041164,0.11749793034927068,0.23872948766360028,0.05606879694867245,0.0040000131550208505,0.16107801862043575,0.0040000131550208505,0.0040000131550208505,0.16107801862043575,0.0458695756615848,0.041955348137179015,0.025472001426909734,3.088029317834112e+18,0.025076796667586967,0.041255293005106,0.025256932174739607,0.041629856556125396,0.043273128704524565
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.027487887827416083,0.21737234505437777,0.21021662133742636,0.19482706879723927,0.09621934222732637,0.07339452142197027,0.10065247857789436,0.027595944603754436,0.02929774213636739,0.04253900195932085,0.07406662477869011,0.03878057335015091,0.027163009764179697,0.031531140690623606,0.052905568755992435,0.03812048976404708,0.1465960553716292,0.3101454923311535,0.05466123266316025,0.0047524020843785235,0.20048902002930638,0.0047524020843785235,0.0047524020843785235,0.20048902002930638,0.05341706887552712,0.052905568755992435,0.031531140690623606,3.088029317834112e+18,0.05051186655041591,0.04928079510022575,0.025634926794292228,0.04384306767307394,0.04127111742818478
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.02184650734849019,0.07277492223169915,0.1061012513692004,0.03865584810791568,0.06529555245981904,0.04674087571523593,0.06904717387262399,0.02653880597477925,0.022296954116982286,0.03611571084064662,0.06286920587708966,0.032416858001117155,0.020094450467253836,0.02615070962146657,0.04007633963289645,0.032416858001117155,0.08951219032239575,0.2134605649862023,0.04850915956053229,0.004049298330391173,0.13622875753430372,0.004049298330391173,0.004049298330391173,0.13622875753430372,0.048700245401066,0.04007633963289645,0.02615070962146657,3.088029317834112e+18,0.025898421375031646,0.041339866077591915,0.025452977217490524,0.04206706135705157,0.04357129788185771
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.02396687978297015,0.17838711054517314,0.17552860139410065,0.15737247635875665,0.08234093416461222,0.060472271342137,0.08646687091220151,0.024605436447409937,0.025069121456042332,0.0337177024919475,0.057868017757701375,0.03422589994403641,0.020427920283268102,0.02411685086902259,0.0364966049334198,0.03422589994403641,0.11569490514104519,0.21517322431748417,0.051662022991560634,0.00427600672954992,0.1549453034371244,0.00427600672954992,0.00427600672954992,0.1549453034371244,0.04941981475186607,0.0364966049334198,0.02411685086902259,3.088029317834112e+18,0.04218144689823078,0.043726613278804,0.02427024359893307,0.0395556949520538,0.04189300087153546
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.021861003294009824,0.06870247803679479,0.09959445422576889,0.034269039562735984,0.06298574034679834,0.05285431779738637,0.06575722994735211,0.03126692941004943,0.021530831199246835,0.04282382750345867,0.0724365261844447,0.03290225136545454,0.02196776463995706,0.027301210141107573,0.0457039943992791,0.03290225136545454,0.11659983992673524,0.24754955051170077,0.05825553228318574,0.004147248523106661,0.16662707521249842,0.004147248523106661,0.004147248523106661,0.16662707521249842,0.046599203845097345,0.0457039943992791,0.027301210141107573,3.088029317834112e+18,0.024230060495782354,0.040525055804466234,0.02406991286274727,0.041143598192730294,0.03983511754286309
Adult Dataset,,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.022358317059775992,0.07059662597393104,0.1022731538057669,0.03823361780622627,0.06342979301811066,0.048828030250166424,0.06659798535755447,0.029557361611699674,0.022237736215670784,0.03523578269378973,0.06169768306184713,0.030747985760842603,0.01999625316198733,0.022819232617651775,0.038105709948853136,0.03062516227403575,0.0966939513929935,0.19306939804236117,0.05584922376689252,0.0038153088377620927,0.13438875038458822,0.0038153088377620927,0.0038153088377620927,0.13438875038458822,0.045208032965766,0.038105709948853136,0.022819232617651775,3.088029317834112e+18,0.02499739647238895,0.04051122783014816,0.024651569370981393,0.04130289459202401,0.04426536528041605
