data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.059802712423008275,0.11839661400010719,0.14203045489307997,0.09610268003943986,0.10763378347588,0.11366333879031044,0.10742931065358578,0.09289751631997858,0.04989539092602698,0.05615770543139426,0.09835189095860554,0.0429842386736754,0.06630577939141652,0.04068925360360185,0.06678946318021893,0.03595895857362369,0.176873063354073,0.2855382031691201,0.08241841330138983,0.007992166173551843,0.20100258791161144,0.007992166173551843,0.007992166173551842,0.20100258791161144,0.047644729263521174,0.06678946318021893,0.040689253603601865,2.518104837380667e+18,0.03417693941452179,0.0804646351756048,0.02859153554750962,0.07937279062578614,0.06030941914996171
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.0327163184637568,0.07869438819015258,0.1137299384440568,0.050737932787987536,0.0759418053977258,0.08031066925888884,0.0755818939700517,0.06632003417278406,0.02201968075276255,0.05462490146347546,0.11571809485853558,0.029171653605517014,0.056573208801546274,0.03881588072791278,0.07628226830551817,0.02173451850708942,0.13505102207330877,0.15132166892592652,0.08476664707157941,0.004807526013923291,0.1211117964038841,0.004807526013923291,0.004807526013923292,0.1211117964038841,0.02892129985136898,0.07628226830551817,0.03881588072791278,2.518104837380667e+18,0.027811330979517268,0.051532135706399265,0.027233633599198188,0.05242031418055411,0.05935293628570925
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.04727725456848663,0.11176091754456152,0.13445568940025696,0.08796349755719785,0.09478243297335093,0.09994726281200819,0.09407597894358549,0.08199492489962942,0.03787383768796676,0.04907598217577803,0.10190390239850772,0.033243167635170226,0.06587361123342664,0.03584570893939534,0.06831551285300011,0.025559034505157247,0.14681785202119896,0.22008035525870825,0.0856179405116341,0.0056530334871185625,0.15354477305755632,0.0056530334871185625,0.005653033487118564,0.15354477305755632,0.03356547992074566,0.06831551285300011,0.035845708939395336,2.518104837380667e+18,0.032633652105539125,0.06738005930025222,0.027644893500859767,0.06718883521607673,0.0558126463411444
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.03283900664313397,0.07458132600316507,0.11215244297092189,0.05262600036359968,0.0749484515121628,0.08187841642297546,0.07337423326477929,0.07231047378282436,0.02089514187178559,0.06078739828828126,0.13414406773955007,0.030295065279794767,0.06527907734254805,0.04049803649801899,0.08834844057071307,0.021363840451438073,0.13338511340967057,0.14414893313423963,0.08717904139915332,0.004705471548879189,0.11622166472457787,0.004705471548879189,0.004705471548879183,0.11622166472457787,0.027847925029553616,0.08834844057071307,0.04049803649801899,2.518104837380667e+18,0.027632692778830365,0.05129457629978478,0.026735280706867093,0.05164564083396153,0.05995268818096775
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.030987308366104728,0.07254286449683901,0.11123124359928659,0.04542004495300599,0.07518114013804936,0.08315173070324906,0.07420658992655835,0.06903551601961103,0.02075608646912568,0.060043326832139615,0.11361424360805097,0.0383407842285392,0.06393678333366108,0.04698350209371389,0.07851333984360075,0.023023471797394404,0.17204056839394194,0.14803132965148258,0.08119663956410168,0.005091407670546502,0.11770853426254461,0.005091407670546502,0.0050914076705464995,0.11770853426254461,0.03282343601157341,0.07851333984360075,0.04698350209371388,2.518104837380667e+18,0.027366520221568196,0.05049894311420296,0.026526543601568177,0.05187259286298066,0.05274116832614658
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.10805279945755067,0.18135888068902997,0.20586063229881027,0.15706797926987393,0.17961154322995806,0.18658769071299855,0.1786607360653057,0.1523472297547632,0.09306847322029327,0.06830308613595636,0.10853925036420316,0.052564720598983435,0.08992870246098046,0.05387363313531928,0.07849394237758417,0.03984859520230661,0.21988486144385386,0.3857030848675703,0.09958750702014063,0.0087931187553065,0.229446995327436,0.0087931187553065,0.008793118755306502,0.229446995327436,0.053034098714841035,0.07849394237758417,0.05387363313531929,2.518104837380667e+18,0.049132686151017506,0.14005839669693096,0.03453979629006027,0.1408783945691317,0.05771526863825606
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.03427110038107091,0.0815947852181309,0.1170794189828008,0.047071687165440745,0.08057020674217523,0.08862217602757291,0.07824690992044765,0.07146583599352209,0.021980633749977614,0.050616582116002014,0.1005557035291206,0.03038927017874763,0.06151806305162468,0.03852257814860814,0.06910192377507336,0.021365393841373616,0.13634954766244198,0.15403105663622674,0.08568806722539962,0.004727187066128232,0.12349694045002141,0.004727187066128232,0.004727187066128232,0.12349694045002141,0.029271867252710835,0.06910192377507336,0.03852257814860814,2.518104837380667e+18,0.02832215790367905,0.05499179156901548,0.02845219696229839,0.05577968477648721,0.05612166556083403
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.033233131105514464,0.07802286227715503,0.11386737985985858,0.048384671018275476,0.0771881377456566,0.08521880998566407,0.07562442844379554,0.0735379811204926,0.021177491471426325,0.05515171117329631,0.11824284941066619,0.035176265475699145,0.06663289593200576,0.03727008944418784,0.07838399138787473,0.02694061045680776,0.15310025010428246,0.22006811046786753,0.08944530125440615,0.00592380046833802,0.15682641222366542,0.00592380046833802,0.005923800468338018,0.15682641222366542,0.03567423432515644,0.07838399138787473,0.03727008944418784,2.518104837380667e+18,0.02751402817432286,0.05286885298399319,0.02765797805266473,0.053164127734469095,0.05716501537811062
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.03071092649652803,0.07106918478323565,0.11116524899196102,0.047597221685357904,0.07400483562585619,0.07748220334393435,0.07399257996494453,0.06773734813940306,0.020192592728870692,0.07962806964557675,0.16602684018856398,0.028117478236242912,0.06187164120430297,0.04747102126336547,0.10092185859458591,0.01827620369803666,0.1298790030807803,0.1142956509492865,0.08994227778382909,0.004055438272276616,0.0969516815482534,0.004055438272276616,0.0040554382722766125,0.0969516815482534,0.025617208033943056,0.10092185859458591,0.04747102126336547,2.518104837380667e+18,0.027039269348097198,0.05016306913453324,0.02692577109558539,0.05028419174600251,0.054183689699765517
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.033487958165963054,0.08051529598474434,0.11318661343888525,0.04668519536724789,0.07822346040899499,0.08694331901050234,0.07541289246743321,0.07278101366165196,0.021057681550780704,0.04607300237229527,0.09775133709315617,0.029081701370336627,0.06473654893124464,0.0366367856861335,0.06975065118234354,0.02154285889888565,0.1341336535144386,0.16516990158359032,0.08318817288655517,0.004764494748533394,0.12977595183990584,0.004764494748533394,0.004764494748533393,0.12977595183990584,0.028316565307709273,0.06975065118234354,0.03663678568613351,2.518104837380667e+18,0.02735388785923569,0.053754363069934405,0.027458424222250113,0.054126678152961315,0.05517446537995303
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.03451052930023669,0.07833483770171257,0.11131945980115542,0.04876795629744309,0.07695169114163285,0.08811945266373263,0.07327605666292925,0.07640028132455358,0.021339463070827562,0.05752975744912511,0.12170051934448374,0.03281915408831599,0.06865584697666531,0.040982296338126764,0.07932362304990698,0.021585340647127776,0.14381398249265984,0.1338645624917869,0.08322480394398792,0.004790914507936634,0.11055661068278702,0.004790914507936634,0.004790914507936629,0.11055661068278702,0.03168656672486459,0.07932362304990698,0.04098229633812675,2.518104837380667e+18,0.026682715424787527,0.05342971217828074,0.02733229735551267,0.053664322000243736,0.05774674538461624
Adult Dataset,,['sex'],FairBalance Bias Mitigation,{},0.017694431803507157,0.04597734089183624,0.07384979094666769,0.022565716403648375,0.047401233171082344,0.04490634722991735,0.05151165252414389,0.021889830267971734,0.019362288757820503,0.04686882568071292,0.07819116268006511,0.03057467002344225,0.021148686319712735,0.04379992646590297,0.048296309801465064,0.03057467002344225,0.08223606569279561,0.4815705487295085,0.061943120606516563,0.006772115548759907,0.1945870784620588,0.006772115548759907,0.006772115548759905,0.1945870784620588,0.05195310017481212,0.048296309801465064,0.043799926465902965,2.518104837380667e+18,0.01901822453976039,0.030861988885544225,0.017797444143034736,0.03178272424727026,0.030400782114667988
Adult Dataset,,['sex'],FairMask Bias Mitigation,{},0.029063294630149374,0.08591746307474597,0.0828805017256603,0.02054068482618114,0.06648792740761564,0.027901392847050926,0.08783237966258554,0.016470723889862954,0.037191495188028445,0.05998258470834543,0.06536400698795719,0.06761970804168611,0.02814915151287226,0.05998258470834543,0.06493916170051435,0.06761970804168611,0.05445275209342087,0.630929818519425,0.0,0.014947585864339117,0.18172910933670608,0.014947585864339117,0.014947585864339112,0.18172910933670608,0.11889262189278567,0.06493916170051435,0.05998258470834543,2.518104837380667e+18,0.02053199922747429,0.04718350940221881,0.020192616940254735,0.04786237805696112,0.033813467702450084
Adult Dataset,,['sex'],LFR,{'c': 'LFR'},0.020218541358757475,0.06923713240639967,0.05848685387478379,0.02800349233825838,0.04011151893371345,0.04099242608891767,0.04227417996041717,0.02473975954860533,0.020943663130141257,0.04491791843651473,0.07917257131726689,0.025687319004242058,0.02011863396241242,0.041371660450600735,0.06565798861186876,0.025687319004242058,0.1013994639004077,0.7995007585943542,0.06819927535214694,0.005666453613769744,0.27024520080349124,0.005666453613769744,0.0056664536137697495,0.27024520080349124,0.034267651324799364,0.06565798861186876,0.04137166045060072,2.518104837380667e+18,0.01476489025908344,0.028405008388234277,0.014567310360146682,0.029355516126420667,0.039783611867279495
Adult Dataset,,['sex'],No Bias Mitigation,{},0.029191897754195766,0.08731415115076654,0.08313111992644807,0.02044390654347594,0.0667530960504735,0.024170594207588013,0.09169267982375895,0.01452401080965096,0.038741393179024655,0.07901942949659002,0.0912856626089908,0.0788704433599483,0.03202254718951803,0.07901942949659002,0.08979240137914472,0.0788704433599483,0.06354146919438938,0.8365406663552896,0.044997134697440835,0.01744273633725919,0.22510818936968222,0.01744273633725919,0.017442736337259183,0.22510818936968222,0.13441681450130716,0.08979240137914472,0.07901942949659002,2.518104837380667e+18,0.02054590281543765,0.04743541376841537,0.02025762824865251,0.04802701948802104,0.03381028819835322
Adult Dataset,,['sex'],Reweighing Bias Mitigation,{},0.01837273003705372,0.06825413431452411,0.05822306613501605,0.018103409137856127,0.04311800543060945,0.018719097922835822,0.05891688007363726,0.01753525678475837,0.020145145641886675,0.07006653910446209,0.102665821699197,0.05148048719850742,0.013236592320109524,0.03808334241748651,0.05541398233567112,0.05148048719850742,0.09514263373507996,0.4544661064410215,0.06008595649224058,0.011380670115616486,0.2035622460913512,0.011380670115616486,0.011380670115616484,0.2035622460913512,0.07365367612237114,0.05541398233567112,0.03808334241748652,2.518104837380667e+18,0.014845209964937992,0.029813305509001662,0.014445510023139698,0.030982404287822927,0.029272339596698987
Compas Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.03508991784047618,0.035617532018451116,0.08409173564495687,0.038461771229315246,0.08356379404236706,0.09608768046479153,0.08268457277479009,0.04692669628670828,0.036967895607413426,0.04598643927773162,0.05050253564241075,0.044394794535396916,0.04326224606993994,0.029797753349132084,0.031170295717957795,0.035452350824158346,0.07394809801236775,0.0498313487529443,0.11039559844465692,0.005578541361205894,0.05438023905807398,0.005578541361205894,0.0055785413612058935,0.05438023905807398,0.14763226854329342,0.031170295717957795,0.02979775334913209,2.695016882905566e+18,0.04771315210770139,0.045143107584728066,0.04668080291575015,0.044628575068745714,0.0699954486199338
