bias mitigation,other,accuracy,precision,recall,f1score,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",7,13,14,15,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",8,10,15,12,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",8,11,14,13,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",9,12,14,10,0,0,0,0,0
FairBalance Bias Mitigation,{},0,3,6,0,0,1,0,1,0
FairMask Bias Mitigation,{},15,16,14,18,11,12,12,14,12
LFR,{'c': 'LFR'},5,8,17,10,1,3,0,0,0
No Bias Mitigation,{},0,0,0,0,0,0,0,0,0
Reweighing Bias Mitigation,{},0,0,10,2,0,1,0,0,0
,,32,32,32,32,32,32,32,32,32
