index,data,bias mitigation,ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,acc * sf
0,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9001452432824982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600997506234414,0.9671457905544149,0.8899277518062049,0.8634831460674157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.943934203335156,1.608881078773975,0.0,0.0,0.0,0.0,0.0,0.0,2.23840874428063,4.047117516629712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752770319775783430,0.12001452432824983
1,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}""}",0.9255628177196805,0.7790150193655205,0.7334801762114537,0.7532318257892002,0.9415481832543446,1.6904761904761916,2.6969696969696964,0.8883248730964466,0.7372134038800703,0.9276807980049876,0.8726899383983573,0.9252018699532513,0.9544943820224718,-0.2726265288263284,-0.2864564464857124,-0.3430003580379512,0.023150543197102056,0.2405974397394582,0.09406253017919985,0.9624361828336818,0.3662703070397737,0.2726265288263284,0.2864564464857124,0.3430003580379512,0.023150543197102056,0.2405974397394582,0.09406253017919985,1.9029931972789114,3.6583297085689432,0.14232524604305966,0.03487711793161343,1.5064935064935123,6.734375000000028,0.24059743973945735,0.0940625301791989,0.20146962354321774,0.07224454200182599,0.09882363020335058,0.09882363020334818,0.16335598292887954,0.22302662708559912,0.5803574999000274,0.4659911105182872,4752770319775783430,-0.11967285160664407
2,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.9328249818445896,0.8083817602399475,0.7202643171806168,0.7572972813277572,0.8909952606635071,1.3571428571428577,2.8333333333333335,0.8578680203045684,0.6649029982363315,0.9476309226932668,0.8942505133470225,0.9303017424564386,0.9539325842696629,0.1102655821587388,-1.2153332505637489,0.008234872896526654,-1.5645369891360577,0.4547096615283561,-0.04673031530105044,1.1905917167650875,0.5247819244004591,0.1102655821587388,1.2153332505637489,0.008234872896526654,1.5645369891360577,0.4547096615283561,0.04673031530105044,1.5819949281487744,4.261273209549072,0.33504922428405187,0.016493052459194402,0.5974025974025967,5.718750000000025,0.45470966152835435,0.0467303153010499,0.4307440362445325,0.03688333821129385,0.10759285814819987,0.1075928581482018,0.22749412784599554,0.29380476314500936,1.3608962823742676,1.278077551499345,4752770319775783430,-0.14200382860186503
3,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}""}",0.9364560639070444,0.8332960490088106,0.6740088105726871,0.7372297920295049,0.8088467614533965,1.3333333333333337,2.545454545454546,0.7715736040609132,0.6067019400352732,0.940149625935162,0.8993839835728953,0.9358266043348916,0.9567415730337078,0.03931127265742603,-0.9708389616378357,0.0537056928034366,-1.1345059493016043,0.3179594545591383,-0.029555964308253184,1.0007598075154307,0.5443053591911863,0.03931127265742603,0.9708389616378357,0.0537056928034366,1.1345059493016043,0.3179594545591383,0.029555964308253184,1.7280701754385965,4.19556025369979,0.2384695909193538,0.011611271692528137,1.0259740259740284,8.70312500000004,0.3179594545591316,0.029555964308253288,0.3211356620745378,0.025766705259187492,0.07731770551794125,0.07731770551794108,0.18736032984242548,0.21946709923510735,0.9739912824409165,0.987360105135966,4752770319775783430,-0.06755428527937075
4,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.9222948438634714,0.7721371465864858,0.6916299559471365,0.7255686749750256,0.8957345971563982,1.5238095238095246,2.5909090909090913,0.8510998307952622,0.6984126984126983,0.9301745635910225,0.8613963039014374,0.920951976200595,0.9556179775280899,-0.07673099194013919,0.03488535844450203,-0.1360544217687071,0.680548370408691,0.3078949348987726,0.07733511208133705,1.0594782655060726,0.2781064102222101,0.07673099194013919,0.03488535844450203,0.1360544217687071,0.680548370408691,0.3078949348987726,0.07733511208133705,1.790400454416359,3.7097107438016534,0.20205605102731986,0.029848639750691606,1.467532467532472,7.968750000000037,0.3078949348987692,0.0773351120813358,0.2771600341149775,0.062268019425549014,0.1155849109716306,0.1155849109716325,0.14206804739691514,0.18897561673044622,0.693064608576265,0.15206899614167674,4752770319775783430,-0.16032819703173776
5,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9506172839506173,0.8610993090185379,0.803964757709251,0.8286298561926612,0.9336492890995265,1.4523809523809526,2.2575757575757573,0.8967851099830794,0.779541446208113,0.942643391521197,0.9291581108829569,0.9519762005949851,0.9623595505617978,0.23323045164052536,-0.5499308456737051,0.29072681704260545,-0.8669167097775484,0.44814822416989925,0.29448161398922407,0.8117943454324911,0.7236208552298129,0.23323045164052536,0.5499308456737051,0.29072681704260545,0.8669167097775484,0.44814822416989925,0.29448161398922407,1.6195417789757411,2.896030440148088,0.3085610723792749,0.13044152029052886,1.8441558441558514,4.406250000000017,0.4481482241698973,0.2944816139892249,0.401633083736972,0.23938679831700915,0.3049198652896454,0.3049198652896447,0.3266698543873405,0.41132684333464925,0.9975420215672941,0.7091851911484862,4752770319775783430,-0.6376143791071871
6,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9339143064633261,0.8291807602932072,0.6431718061674008,0.7151421737606009,0.7756714060031595,1.2380952380952388,2.106060606060607,0.742808798646362,0.620811287477954,0.940149625935162,0.9024640657084189,0.9328516787080323,0.9511235955056179,0.1461466445193641,-0.2220753787178847,0.17687074829931926,-0.009311950336264198,0.34287102225688804,0.1333836413576874,1.0424692411255816,0.6012317603435856,0.1461466445193641,0.2220753787178847,0.17687074829931926,0.009311950336264198,0.34287102225688804,0.1333836413576874,1.666775138301334,3.39243285123967,0.2769342872074867,0.06333323978134814,1.0129870129870162,6.484375000000026,0.342871022256883,0.13338364135768577,0.36595588303564536,0.12622100520979115,0.16157287189665354,0.16157287189665318,0.23229442793305483,0.24602065708921664,0.19306594153636972,0.3056837353998081,4752770319775783430,-0.27534272569296153
7,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9339143064633261,0.8032473665616416,0.7753303964757708,0.7876106475358623,0.9652448657187994,1.5476190476190483,2.954545454545455,0.9238578680203043,0.7336860670194005,0.9376558603491272,0.9004106776180698,0.9332766680832979,0.9522471910112359,0.06311586841746626,-1.3655965673162407,0.007160759040458478,-1.9423176409725817,0.42017830141560075,0.004846639132006528,0.9990535730948157,0.5795108971109985,0.06311586841746626,1.3655965673162407,0.007160759040458478,1.9423176409725817,0.42017830141560075,0.004846639132006528,1.6751700680272108,4.026988636363637,0.2714998255300805,0.0016404009369869739,1.0909090909090928,9.156250000000039,0.42017830141560175,0.004846639132005812,0.35972083038179226,0.003566542161233496,0.06518275854331525,0.0651827585433151,0.18424699519483267,0.2581545802713275,1.616590021460657,1.3745890954956252,4752770319775783430,-0.03746844595634993
8,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.929920116194626,0.8070696374110472,0.6629955947136563,0.7207140093535971,0.821484992101106,1.2857142857142858,2.378787878787879,0.7884940778341791,0.6402116402116401,0.945137157107232,0.8798767967145791,0.9273268168295793,0.9573033707865168,0.0706807479374277,-0.1481416595756217,-0.001790189760114421,0.3094930160372473,0.3869948069541653,0.06964741710966903,1.1948439728602103,0.40055886040493993,0.0706807479374277,0.1481416595756217,0.001790189760114421,0.3094930160372473,0.3869948069541653,0.06964741710966903,1.6305947271612509,3.7156273478587534,0.30099596096435083,0.029278532033364175,0.6753246753246775,7.390625000000033,0.38699480695416266,0.06964741710966893,0.3931919714298604,0.06112809078054638,0.11823668960115064,0.11823668960115037,0.20242501691884562,0.2297725959863562,0.25323576065368325,0.1604911107049371,4752770319775783430,-0.16785135440596763
9,Adult Dataset,FYP VAE,LogisticRegression,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9397240377632534,0.8179440129427172,0.8127753303964758,0.8150859923165795,0.9936808846761452,1.5714285714285727,2.7424242424242427,0.9526226734348562,0.7901234567901236,0.940149625935162,0.9086242299794661,0.9396515087122822,0.9567415730337078,0.1021892779604642,-0.9727969253878145,0.05656999641961999,-1.4183911019141233,0.4529444364621598,0.1494193241206759,0.9471333928738059,0.610748392776162,0.1021892779604642,0.9727969253878145,0.05656999641961999,1.4183911019141233,0.4529444364621598,0.1494193241206759,1.6495813245369195,3.4708806818181825,0.28823736865773847,0.054484394430743814,1.0389610389610404,5.953125000000024,0.45294443646216087,0.1494193241206765,0.3788246334052722,0.10986838637269057,0.19223559217276484,0.19223559217276442,0.22758002443460434,0.3223520207373879,1.2414603910904942,1.0325762889034422,4752770319775783430,-0.35266576528413485
