data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7312864599324531,0.46249224879024464,0.500747539174234,0.47405362145567354,0.2690589499539453,0.2589538819610423,0.2741458999126208,0.7487680672728391,0.7228109319806594,0.044058499284631736,0.040343945976261716,-0.015192017951578488,0.025957135292179728,0.05219451629815809,0.06388184812846312,0.025888591719628557,0.9456913881924163,0.11584433811698425,0.2626496776174393,0.0057412701430771575,0.10603603895096761,0.0057412701430771575,0.005741270143077171,0.10603603895096761,0.03461602496529924,0.06388184812846312,0.0521945162981581,3.803451094381601e+18,0.11960392999692968,0.14945501995701566,0.11925852011053115,0.6116825299355235,0.30869381573224314
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7423472520724593,0.46211003359066033,0.47116285896863125,0.46604356835291644,0.24398219220141232,0.2399499941045772,0.24594544160821954,0.7584257694570946,0.7344474371699741,0.04225994618293545,0.024312468597871048,-0.005995447503642325,0.023978332287120544,0.04599220284127713,0.0647943302110868,0.02066539440843445,0.9774841424474332,0.0888824494512427,0.28246852932146144,0.004581426801478714,0.08611908947784705,0.004581426801478714,0.004581426801478724,0.08611908947784705,0.027296327149300754,0.0647943302110868,0.04599220284127712,3.803451094381601e+18,0.11259594719066623,0.13138624501074608,0.1262665029167946,0.6297513048817931,0.29669197117053925
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7440282468529322,0.45330687563193395,0.47050089719988897,0.461184828384254,0.24193276020878102,0.23527424861038662,0.24517705131470638,0.7614951732005231,0.7353290841589823,0.037789170011885406,0.018492019972511924,-0.00990280270431977,0.026166089041540587,0.040815347460209546,0.05323219154550561,0.025075048060023065,0.9643458455319905,0.11059384936489954,0.2622965919557875,0.0055366990669066096,0.10469730748077817,0.0055366990669066096,0.005536699066906617,0.10469730748077817,0.03310071796034418,0.05323219154550561,0.04081534746020953,3.803451094381601e+18,0.112411728584587,0.129521031624194,0.123520937153114,0.6283428985301875,0.3042370773938182
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7389468836352472,0.45562404095910125,0.4768185763674267,0.46529442628001083,0.2501765428308259,0.2517654070504628,0.24943195504259888,0.7451140587874796,0.7359397440136795,0.040505870568311744,0.008137130283130775,0.0023334520078639423,0.009174314773800086,0.045081468030500456,0.061441527129839045,0.018885004144777343,1.0121347368957383,0.07448622130325762,0.27980503530856615,0.004176981554289536,0.07471704914273465,0.004176981554289536,0.004176981554289541,0.07471704914273465,0.025358800343601235,0.061441527129839045,0.045081468030500456,3.803451094381601e+18,0.11399293828676696,0.13618360454405892,0.12486951182069388,0.6249539453484803,0.2934214162906202
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7444350629413571,0.46590193103822647,0.47420038702970785,0.46932330570149083,0.24353699723672087,0.23998880383534588,0.24510462169665156,0.7643788735620313,0.7347010839512766,0.056224142702365774,0.05475557767313068,-0.005115817861305638,0.02967778961075452,0.058355279746590646,0.06958967189800341,0.02807797421637232,0.9833450087562428,0.12109573749577478,0.27853853239177156,0.0062029643716765975,0.11736726801259612,0.0062029643716765975,0.0062029643716766,0.11736726801259612,0.03711254762781209,0.06958967189800341,0.05835527974659066,3.803451094381601e+18,0.11341725514276939,0.13011974209395147,0.12544519496469142,0.6310178077985877,0.301547389648726
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.6911421553576911,0.42977996109816435,0.5349101548839882,0.45696116586485197,0.325076757752533,0.32192559323255177,0.32666496972483633,0.6916550120943094,0.690849301991881,0.04302009559774051,0.03054813087313633,-0.004739376492284568,0.00080571010242836,0.050473180274556606,0.055800387611185144,0.03201499663019315,0.9908757765004227,0.14121668259084047,0.23791832975130486,0.007074599674266177,0.13036583638754193,0.007074599674266177,0.007074599674266185,0.13036583638754193,0.04296307482400934,0.055800387611185144,0.05047318027455659,3.803451094381601e+18,0.1275406816088425,0.1975360761436905,0.10794108153641464,0.5586468592302182,0.30864176258324777
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7401750076757753,0.45775241867843264,0.46513741700172534,0.4606914239950866,0.24320693890082895,0.24505270301806678,0.24230142838297705,0.7534771903273072,0.7336041074423851,0.05100709179065568,0.034252158683145344,0.00275127463508973,0.01987308288492207,0.05430597324760289,0.06454074062227066,0.019634094641690435,1.011846918401889,0.07989221952038389,0.2851473748848633,0.004346475492336018,0.07999500904600941,0.004346475492336018,0.004346475492336013,0.07999500904600941,0.02615730267747677,0.06454074062227066,0.05430597324760289,3.803451094381601e+18,0.11112219834203252,0.13208474055879643,0.1277402517654283,0.6290528093337427,0.29013736510359406
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7433911575069082,0.463972373807339,0.4718014157565224,0.46720011600749556,0.24316856002456247,0.24024801900930734,0.2445290841429463,0.7594744548902168,0.7355001860482296,0.046460359901488786,0.03137401160899781,-0.004281065133638945,0.02397426884198712,0.05003948268690668,0.06695260295839518,0.019915418911147408,0.9861030086084759,0.08546402598203737,0.274846484494934,0.00439766539539925,0.08303475731104788,0.00439766539539925,0.004397665395399252,0.08303475731104788,0.026307850383841584,0.06695260295839518,0.05003948268690668,3.803451094381601e+18,0.11271108381946575,0.1304574762050967,0.1261513662879951,0.6306800736874425,0.2987772848299392
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7424086582744857,0.46244430990885943,0.477197644263933,0.46888427193582477,0.24674547129260055,0.2426067396989354,0.24883381590178938,0.7546186552192456,0.7363900635470018,0.03691143075696869,0.010705158200130216,-0.0062270762028539305,0.01822859167224398,0.06121200742110561,0.09995107700064013,0.023419770176039863,0.9798671443291334,0.09834778129248747,0.28501688670555725,0.005188527126901429,0.09569707418355197,0.005188527126901429,0.005188527126901441,0.09569707418355197,0.03113054994769181,0.09995107700064013,0.06121200742110561,3.803451094381601e+18,0.11400828983727354,0.13273718145532698,0.12485416027018728,0.6284003684372121,0.29967559033650726
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.7418099478047282,0.46125826802118935,0.481613123516453,0.4703200044454971,0.24950875038378872,0.24935380265548276,0.24958213838447527,0.7538566697365082,0.7358812033419424,0.053503052058296266,0.04059363114249241,-0.00022833572899247164,0.017975466394565816,0.054036476513244745,0.06318145170497812,0.015163938003646262,1.0013344464839007,0.06145829817061817,0.28255296284924775,0.003349093692911817,0.06143044481836888,0.003349093692911817,0.0033490936929118356,0.06143044481836888,0.02021698419628615,0.06318145170497812,0.05403647651324474,3.803451094381601e+18,0.11509057414798893,0.1344181762357998,0.1237718759594719,0.6267193736567394,0.30058512048707825
