data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.01648166253011244,0.2700620187721123,0.24225101586947087,0.25463892549008793,0.10357330655099865,0.08585564961518057,0.10679317698205687,0.02067697285161285,0.020380841903431986,0.026239995251729008,0.05093104569502262,0.028460767186469792,0.03380930133929933,0.020660296556687607,0.04056654566267677,0.028460767186469792,0.12266797549928186,0.1772423386745882,0.08133739923585243,0.003518884580677035,0.1461920391153177,0.003518884580677035,0.003518884580677035,0.1461920391153177,0.0355819845238845,0.04056654566267677,0.020660296556687607,3.08172726727322e+18,0.0580476615097404,0.046119901811083545,0.008249420035692985,0.012506592354991965,0.03131288279327634
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.008310170054283085,0.02172876091934754,0.029290884777002986,0.018862829286397997,0.015781844811354973,0.02247300252208537,0.016009504178162635,0.022419184900750233,0.009220683233062197,0.029927493930183627,0.06112327712376083,0.01869437683726944,0.02498854991469116,0.020778544683766068,0.03987624556102082,0.01869437683726944,0.08471625452001388,0.16429658170822078,0.023139515630814636,0.002379265169926066,0.11649424938162276,0.002379265169926066,0.002379265169926066,0.11649424938162276,0.022655156966485797,0.03987624556102082,0.020778544683766068,3.08172726727322e+18,0.008048500078249105,0.00982765975519874,0.008006949166261327,0.012205687115525528,0.020245915366834146
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.01341533653629525,0.18702674126560676,0.172685786322818,0.1774423748546671,0.07532844946549777,0.06227523932231386,0.07803884031130724,0.0184904964294004,0.015598806400118344,0.033858605562940375,0.060887941214117954,0.028109362962940088,0.025006176404480808,0.021191155564970136,0.038931659466503725,0.02803241770268685,0.1184490786361174,0.18251292780248823,0.05519481748952008,0.0034915852243802034,0.145404858215562,0.0034915852243802034,0.0034915852243802034,0.145404858215562,0.03514120293110353,0.038931659466503725,0.021191155564970136,3.08172726727322e+18,0.04161799257594573,0.03484919900038135,0.010349004157484711,0.015135923411096881,0.0300243705386174
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.00907715535050517,0.08990072919077664,0.0851248812808358,0.08483743050752324,0.03852830864015283,0.03482100883731618,0.04004061224276886,0.01773466010865943,0.009952396550440655,0.03247828650348285,0.0560242646910356,0.022830964027797548,0.02018839277237324,0.01965362865184799,0.035921899374413035,0.022830964027797548,0.09594332475409292,0.144625195784954,0.03420661518255799,0.002824829349475334,0.11712419510541708,0.002824829349475334,0.002824829349475334,0.11712419510541708,0.02867838495688247,0.035921899374413035,0.01965362865184799,3.08172726727322e+18,0.020998339343719953,0.018635539934813584,0.007768236971260634,0.013899298743930777,0.018919538390758415
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.00879192536650823,0.021604566766697017,0.031674349438428014,0.020648940987668365,0.015324121575572114,0.02569475454005927,0.015709222243902775,0.023204353168380612,0.009264592968805151,0.03552275755690059,0.06754916428642067,0.024352568495382206,0.024530059803063615,0.017883341215620206,0.03866145459419371,0.022506476291095093,0.10996672677096346,0.16332213826841374,0.035750709582192716,0.0027981087755871666,0.12765021418890016,0.0027981087755871666,0.0027981087755871666,0.12765021418890016,0.02759903671166611,0.03866145459419371,0.017883341215620206,3.08172726727322e+18,0.008177869036924527,0.00936907281345006,0.008785319780001615,0.011688176625627338,0.02301883859852566
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.012985633222728173,0.18533963583800922,0.17106173209716613,0.17617672460089334,0.07486721898223328,0.0616730219760537,0.07798389518878192,0.02238780221317397,0.015167737986226292,0.04128504748375054,0.07282222440572986,0.03440054762049759,0.02885565912459737,0.027308600328649242,0.047539316406948424,0.030290481248516295,0.1453242339816082,0.21446660527228634,0.058265409608373134,0.003819224626830633,0.16153892756915575,0.003819224626830633,0.003819224626830633,0.16153892756915575,0.03789624568935953,0.047539316406948424,0.027308600328649242,3.08172726727322e+18,0.04126878125023695,0.03412352303949156,0.008974966319327617,0.015999503793042703,0.02232115154317365
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.009665894417008734,0.027305472585705086,0.030021254777052957,0.022627290417170716,0.015334995572538618,0.01958325224057439,0.016303420513575518,0.021424020112516002,0.010016640858651754,0.02751696991532521,0.0537683778669437,0.019839011575498267,0.02189299686717193,0.021297484641833283,0.035926469491601436,0.019839011575498267,0.08391472635097755,0.16597264108195764,0.02313984356359892,0.002450822133900209,0.11649832185077168,0.002450822133900209,0.002450822133900209,0.11649832185077168,0.024315264208893777,0.035926469491601436,0.021297484641833283,3.08172726727322e+18,0.008760874590170904,0.009958146962364195,0.007386119081018991,0.012427588861668155,0.0261847339727877
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.010524771309178591,0.14890098217260186,0.13569394852964176,0.14065924173210678,0.05849411656738746,0.050583561895780005,0.06038353594107536,0.01543180150986749,0.012046616327989465,0.031577298662431356,0.056090737211510866,0.023750345228360583,0.019735464552952435,0.017448619729384336,0.034275494444051924,0.023750345228360583,0.10723630189342467,0.1741900020710176,0.043518871733076,0.002948021149327735,0.1351124504526173,0.002948021149327735,0.002948021149327735,0.1351124504526173,0.029079074158925314,0.034275494444051924,0.017448619729384336,3.08172726727322e+18,0.032716831668735,0.026542380269056323,0.008930857574368662,0.011024390219441703,0.025632153476523145
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.008575673505464483,0.01955986857603003,0.029531806524833663,0.01976914596380761,0.01446493938223149,0.01981079086590436,0.016094032392818463,0.018368893359299854,0.00957030589007777,0.03562293813019775,0.06345572889503057,0.02355109801483246,0.020838766823788213,0.022106689932828095,0.04492732096878789,0.02355109801483246,0.09918656932162033,0.15637478970805155,0.021785082266723918,0.002960303337638991,0.12388329399742377,0.002960303337638991,0.002960303337638991,0.12388329399742377,0.0293574960961636,0.04492732096878789,0.022106689932828095,3.08172726727322e+18,0.008233062630577137,0.00838217426345234,0.007756348646327416,0.011870015553372576,0.02206844689364969
Adult Dataset,DecisionTreeRegressor,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.010110089800402185,0.024513406345770143,0.03766434024448918,0.02492166846623559,0.019342005625783625,0.02528384262212124,0.019877518723522322,0.021105296326867473,0.010251074024160178,0.030756494768787442,0.05681489454524406,0.021551936109421327,0.020793862036188965,0.018948769101764577,0.038039989289442154,0.020791051627718937,0.09696110531909667,0.150959134010484,0.019110784876063595,0.0025898919791842914,0.11771638214720297,0.0025898919791842914,0.0025898919791842914,0.11771638214720297,0.025604068231333193,0.038039989289442154,0.018948769101764577,3.08172726727322e+18,0.010420271968968874,0.011347323574261776,0.009217530405287971,0.01450331480168049,0.02726990139876805
