data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.0838221966163307,0.05146170557643423,0.0916073902138098,0.033751931819915565,0.12267923366291505,0.12540937346027653,0.12266002889405134,0.10860483548733474,0.07164079179607066,0.042743487056606036,0.06801172503838289,0.03168009685166115,0.0424179206707994,0.03199702504167274,0.04592857700159528,0.02351466648346391,0.11797761366716715,0.12386521376352408,0.05472475437579149,0.00527055053600233,0.10079032565520006,0.00527055053600233,0.005270550536002328,0.10079032565520006,0.03135843292090502,0.04592857700159528,0.03199702504167273,2.544865470322699e+18,0.021726614231047745,0.10340158810144227,0.021791703451029522,0.102568761626003,0.03743876346591638
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.014590271764793161,0.025656800924878192,0.030238651058632715,0.022575644735880338,0.019315073324131522,0.027746360007239002,0.019562092287636296,0.0273779023692369,0.013132113748619795,0.03810158885739158,0.07470415180116438,0.024843428647906472,0.026138215029277316,0.033375226891577695,0.04337059668913408,0.014698784635675003,0.10172404341629344,0.06888709797748974,0.02135723831872105,0.0032931716486540898,0.06365327725951701,0.0032931716486540898,0.003293171648654084,0.06365327725951701,0.019265747273478268,0.04337059668913408,0.03337522689157768,2.544865470322699e+18,0.009047298208276159,0.013873116937464932,0.007898717106134637,0.018222232252441226,0.028687797514915316
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.014241908287417076,0.0784479993344092,0.0844885283638871,0.07942534813860917,0.04358351435538824,0.04782606045806513,0.044799471828549715,0.03724993894539574,0.014705879495492319,0.03467055976128952,0.06743711109960446,0.02992733061442648,0.04265423912109356,0.030952822715349586,0.04463364765654358,0.018744201317379094,0.12051340534001871,0.09679753379890672,0.04827490523469777,0.004135058103391061,0.08372213941262106,0.004135058103391061,0.004135058103391059,0.08372213941262106,0.02431006519589266,0.04463364765654358,0.03095282271534958,2.544865470322699e+18,0.0209514020713484,0.024598623849497157,0.009473851458704753,0.017001761923707902,0.033399005392239535
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.011705597592105316,0.02892677469697053,0.04058003959059204,0.029593916338928866,0.019939129294198412,0.026138735391976378,0.021295726278290187,0.02371674001833371,0.01043096515892597,0.04023292952444759,0.07834014540367537,0.02414549162603763,0.023420783479160254,0.03488601502737497,0.048303533400725955,0.014926529932879677,0.09630755181144456,0.05899481888459811,0.022774846682545948,0.003306471285853396,0.058662411243219324,0.003306471285853396,0.0033064712858533922,0.058662411243219324,0.020193206985730777,0.048303533400725955,0.03488601502737497,2.544865470322699e+18,0.011632526375055768,0.012940574697273308,0.009469765701342094,0.014998255136057629,0.03340649537441504
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.013054524310634592,0.027787315244795066,0.03891193982683007,0.027956356336248194,0.022129859741615295,0.03363025529029555,0.02321546458617897,0.03185980016436458,0.008449690420279606,0.03799826222439352,0.06511354658601014,0.033404745068653034,0.03096220507017184,0.03454594535687317,0.048455429710619634,0.018279286990777886,0.13672527431986262,0.08590243397680712,0.02439552621403979,0.004026921444332316,0.07765025642020272,0.004026921444332316,0.004026921444332312,0.07765025642020272,0.02433790137466044,0.048455429710619634,0.03454594535687317,2.544865470322699e+18,0.011811268584772484,0.014001594648540767,0.008522002225109166,0.0182971152884732,0.031506457279462136
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.15519800941577128,0.10365453066888196,0.17983809472781262,0.0839334303198962,0.23320064146946087,0.2362370595581771,0.23319763776569122,0.20061247445308858,0.13471208980506472,0.05050794228366657,0.06951950537914883,0.04615089588482823,0.07821401929761253,0.04285291033527189,0.05095641807784703,0.03319189338010404,0.18024332724399927,0.18676771786274304,0.09605688886570768,0.007320175570084112,0.14643093591518597,0.007320175570084112,0.007320175570084113,0.14643093591518597,0.04389734133485437,0.05095641807784703,0.04285291033527189,2.544865470322699e+18,0.042178954235687384,0.19409651551511686,0.03834750070021278,0.19282293477100074,0.035554675854927484
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.01466988336925925,0.023798375233165078,0.03137769867091782,0.02074062882184712,0.02127277632155915,0.03165265183767884,0.01978622390100139,0.029331973596331388,0.011711178972025628,0.038825498970049215,0.07320817159086343,0.02521263689278089,0.026924820391791122,0.033927805230843086,0.047858269948152926,0.015749870893369634,0.10403094808986883,0.06295981713040855,0.024110669031023383,0.003511053055143684,0.06288951810525319,0.003511053055143684,0.003511053055143687,0.06288951810525319,0.021255866961407775,0.047858269948152926,0.0339278052308431,2.544865470322699e+18,0.00891851606158543,0.015056516396273333,0.008676058882700307,0.019210212100710347,0.02638630911769395
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.01157701774941216,0.025124632711894548,0.03191990116997348,0.022320813631878652,0.018110092080920195,0.024532269554572647,0.02029761635152821,0.02904923986428835,0.010006528296671785,0.03810000241143955,0.07834383623729457,0.025871018594679107,0.030773345308709885,0.033126566049259315,0.05049488748940676,0.016772397083243573,0.10543024590890358,0.07468116637858055,0.01946495486309947,0.0036980053328048617,0.0698624606852431,0.0036980053328048617,0.0036980053328048604,0.0698624606852431,0.02231222852441454,0.05049488748940676,0.03312656604925931,2.544865470322699e+18,0.009003326054762492,0.012748979299588771,0.00885071926551891,0.014929151393514873,0.026370250492120977
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.011013351125917973,0.025000801087977496,0.037211997959415974,0.024181353214289433,0.020117462055247077,0.025880948186861544,0.022942593614239944,0.02490896568390132,0.009831849018146148,0.06238704923707732,0.1198283577325589,0.027698576282896247,0.02592949894563979,0.038033509957590445,0.06503842692504239,0.015634337385106663,0.11202915893275366,0.06902782200840035,0.022333176120293764,0.0034690970000551863,0.06467472452940505,0.0034690970000551863,0.0034690970000551846,0.06467472452940505,0.020832982227741013,0.06503842692504239,0.03803350995759045,2.544865470322699e+18,0.010178410161007137,0.013481313823840862,0.009741867782478087,0.015118356715622666,0.027332760431608438
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.010700075600489252,0.02286827814903659,0.0438390004105104,0.027167555919062832,0.02263487081968453,0.026370426114322654,0.023567782308074766,0.023727459577443488,0.012764381709842463,0.031088271778712404,0.06544868312571697,0.02025900742141323,0.028618383954931263,0.030127156362337554,0.043351738729540616,0.013215135789442214,0.08381937562842526,0.05338347602396374,0.024199129026829958,0.0029198078913184487,0.053983901830581514,0.0029198078913184487,0.002919807891318448,0.053983901830581514,0.017628039768278668,0.043351738729540616,0.030127156362337554,2.544865470322699e+18,0.011769190032451422,0.013502957501028985,0.01085812153471422,0.016458884143538632,0.029161113121471897
