data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.8063333333333333,0.8165954415954416,0.9720220432386604,0.8875556415715116,0.936,0.9334787350054524,0.9399656946826758,0.8140676117775354,0.7941680960548885,-0.0177662872792256,-0.004013805970717,-0.0064869596772232,0.0198995157226469,0.0177662872792256,0.004013805970717,0.0064869596772232,0.993098727204706,0.0069492313364645,0.0073333333333333,0.0015413333333333,0.0069251967122458,0.0015413333333333,0.0015413333333333,0.0069251967122458,0.1026055167779251,0.004013805970717,0.0177662872792255,1.224648376836392e+18,0.7643333333333334,0.17166666666666666,0.022000000000000037,0.041999999999999885,0.2823419354771087
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}""}",0.808,0.8187343582409725,0.9707503179313268,0.8882854926299457,0.9323333333333332,0.9296619411123228,0.9365351629502572,0.816793893129771,0.7941680960548885,-0.0211704916220413,-0.0024828528687108,-0.0068732218379344,0.0226257970748824,0.0211704916220413,0.0024828528687108,0.0068732218379344,0.9926610103818392,0.007393248592828,0.0126666666666666,0.0016331111111111,0.0073660524932056,0.0016331111111111,0.0016331111111111,0.0073660524932056,0.10282702525153,0.0024828528687108,0.0211704916220412,1.224648376836392e+18,0.7633333333333333,0.16899999999999993,0.022999999999999944,0.04466666666666682,0.29341697253871024
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.8096666666666666,0.8195139385275196,0.9720220432386604,0.8892767112662402,0.9326666666666666,0.9318429661941112,0.9339622641509434,0.8189749182115594,0.7950257289879932,-0.015455605512676,0.0013711617742619,-0.0021192979568321,0.0239491892235662,0.015455605512676,0.0013711617742619,0.0021192979568321,0.9977308526926848,0.0022743080472968,0.0116666666666666,0.0005035555555555,0.0022717257233421,0.0005035555555555,0.0005035555555555,0.0022717257233421,0.0315880295426448,0.0013711617742619,0.0154556055126759,1.224648376836392e+18,0.7643333333333333,0.16833333333333333,0.022000000000000037,0.04533333333333332,0.30127336824148304
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}""}",0.812,0.8206502322257949,0.973717676981772,0.8906552927491276,0.933,0.9296619411123228,0.9382504288164666,0.8200654307524536,0.7993138936535163,-0.0225491748779097,-0.0048584172745077,-0.0085884877041437,0.0207515370989373,0.0225491748779097,0.0048584172745077,0.0085884877041437,0.9908462736169728,0.0092382911726685,0.0066666666666666,0.0020406666666666,0.0091958791702819,0.0020406666666666,0.0020406666666666,0.0091958791702819,0.1302259994396442,0.0048584172745077,0.0225491748779097,1.224648376836392e+18,0.7656666666666667,0.16733333333333336,0.02066666666666653,0.04633333333333339,0.3124206453783202
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.806,0.8154064607738729,0.973717676981772,0.8875579598145286,0.939,0.9389312977099236,0.9391080617495712,0.8129770992366412,0.7950257289879932,-0.0065421046071575,-0.0012684387778549,-0.0001767640396475,0.017951370248648,0.0065421046071575,0.0012684387778549,0.0001767640396475,0.999811774547736,0.0001882608877545,0.005,4.200000000001846e-05,0.0001882431688975,4.200000000001846e-05,4.199999999999959e-05,0.0001882431688975,0.0028987083478066,0.0012684387778549,0.0065421046071575,1.224648376836392e+18,0.7656666666666666,0.17333333333333334,0.020666666666666528,0.040333333333333526,0.27828378402878834
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}""}",0.8040999999333334,0.8138447656224201,0.9712661902718744,0.8855818074662329,0.9316666666,0.9338656723980758,0.9282775254473415,0.8160193029775984,0.7855385689690124,-0.00318913063854158,0.00092314491250125,0.00558814685073424,0.03048073410858589,0.00928016773287282,0.0048275073647891294,0.008279888679059159,1.0060520915927382,0.00884989021235085,0.01246666666666665,0.0019730222666666498,0.00889577018848802,0.0019730222666666498,0.0019730222666666302,0.00889577018848802,0.12296823745387757,0.0048275073647891294,0.00928016773287283,5.052852288313245e+18,0.7581999999085947,0.17346666669140526,0.02243333333328284,0.04590000006671719,0.29598313804725057
Default Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.8052592592592593,0.8153731310695491,0.9709751905180113,0.8863897462248852,0.9318518518518518,0.9341923231594771,0.9282219751734314,0.8159374920580542,0.7886584133602549,-0.0005502795904215002,-7.30696108147668e-05,0.005970347986045567,0.027279078697799178,0.009411235194181189,0.005826714015516945,0.0094172593956231,1.0064780572214413,0.010063556964227878,0.013222222222222187,0.002242876543209855,0.010111973692529523,0.002242876543209855,0.002242876543209855,0.010111973692529523,0.1381843441408501,0.005826714015516945,0.0094112351941812,3.868707917774316e+18,0.7598148148148148,0.17203703703703704,0.02270370370370371,0.045444444444444426,0.29444387452199217
Default Dataset,LogisticRegression,['sex'],FairBalance Bias Mitigation,{},0.6873030302727273,0.8740915251078164,0.7006948030968219,0.7777792886712525,0.6262121211818182,0.6202805236420513,0.6354852695486393,0.6798318512944457,0.6990024246996153,-0.021781314808452863,-0.03147835537241023,-0.015204745997496992,-0.0191705734051696,0.024049875743718026,0.03238756028150114,0.01657839019856377,0.9764287966327962,0.026757205158424027,0.06030303027272725,0.0039458282727272455,0.0262487706447858,0.0039458282727272455,0.003945828272727227,0.0262487706447858,0.045070982250175064,0.03238756028150114,0.02404987574371802,4.704833750906258e+18,0.5473333332790584,0.07887878790275979,0.23381818179452962,0.1399696970236522,0.2909450597474605
Default Dataset,LogisticRegression,['sex'],FairMask Bias Mitigation,{},0.8143030303030302,0.8215989124948347,0.9737449149029807,0.8912041850139704,0.9258181818787878,0.9336619291552292,0.9136371157041441,0.82633580265625,0.795559178048848,0.013798278851651436,0.01124300832803851,0.020024813451084946,0.03077662451649282,0.016900390090567017,0.01124300832803851,0.020024813451084946,1.021956924704954,0.021381579902858747,0.0,0.004770909030303,0.021666352847502436,0.004770909030303,0.004770909030302991,0.021666352847502436,0.2688306735770786,0.01124300832803851,0.016900390090567045,4.704833750906258e+18,0.7606363636912459,0.16518181818754193,0.020515151500034186,0.05366666662117796,0.3454810319846429
Default Dataset,LogisticRegression,['sex'],LFR,{'c': 'LFR'},0.8176666666666667,0.8321114369501467,0.9622721492157694,0.8924710045213289,0.9093333333333332,0.9122137404580152,0.904802744425386,0.8255179934569248,0.8053173241852487,-0.0017457279925437,0.0053301821468954,0.0074109960326294,0.020200669271676,0.0017457279925437,0.0053301821468954,0.0074109960326294,1.0081907311602332,0.0081241881194514,0.005,0.0017608888888889,0.0081573691706848,0.0017608888888889,0.0017608888888888,0.0081573691706848,0.0810461222338436,0.0053301821468954,0.0017457279925437,1.224648376836392e+18,0.7566666666666666,0.15266666666666662,0.02966666666666661,0.06100000000000018,0.35369082847959354
