data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.03126165255839086,0.32118584494009705,0.24826219490416784,0.2786065426538282,0.08902524841613786,0.06684994812360226,0.093211245823668,0.0180264506317612,0.03502888416454788,0.031819090773628406,0.05400638999783311,0.0356218586851762,0.02974220303491464,0.025438851789132393,0.04314888810107175,0.03521854013882189,0.17904923596628725,0.3155699518539686,0.020230666702869073,0.004355838643841849,0.23129250679664506,0.004355838643841849,0.004355838643841849,0.23129250679664506,0.042050990811346535,0.04314888810107175,0.025438851789132393,3.08172726727322e+18,0.05941404628555036,0.029875477966635457,0.011111025021366894,0.010329537272778319,0.029005694090732503
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.005503430405505202,0.02024516373653153,0.02925558590423016,0.016402395931475567,0.013924605698984379,0.018084344153646813,0.01486426251781209,0.015531438894076183,0.00640869226513501,0.031124347471705983,0.060493025714204694,0.018516645144173553,0.017905884124179382,0.024561381888872833,0.04338781176790617,0.018516645144173553,0.08505344791707695,0.21440945780877194,0.0066342946151305236,0.002345068514929085,0.13355776116446155,0.002345068514929085,0.002345068514929085,0.13355776116446155,0.021922976290053745,0.04338781176790617,0.024561381888872833,3.08172726727322e+18,0.007829158540457081,0.007364835118087957,0.007986571308300888,0.010059139082826983,0.014870168161137176
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.0210976303101142,0.22366496023238153,0.17483797210929442,0.19388559005388845,0.06344317064941106,0.0476133859779247,0.066514825095251,0.01754846556857755,0.023417045997509874,0.031068260606812777,0.059920277486519416,0.026603251720461185,0.023864913711026513,0.023128229155950916,0.04155583772078327,0.026603251720461185,0.1265800512931302,0.22298754205990495,0.012981958757382048,0.0033224485628829408,0.16525852568024788,0.0033224485628829408,0.0033224485628829408,0.16525852568024788,0.03209200999886633,0.04155583772078327,0.023128229155950916,3.08172726727322e+18,0.042030414375200144,0.02206317316709552,0.010744160097306197,0.011103442693182055,0.021686507623538694
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.011923915988928103,0.1065244549541437,0.09080454473768701,0.09460125994310106,0.03469446934184102,0.030156347881607,0.036819599972766584,0.015599845770047341,0.013366186915091756,0.04143138779980968,0.07474691506321074,0.026694304953184974,0.020062435026333026,0.02625641764771949,0.04559376369021696,0.026107415887866692,0.12065668152740576,0.22283926700705192,0.017109423888011892,0.0032253676706616215,0.15961420255139563,0.0032253676706616215,0.0032253676706616215,0.15961420255139563,0.031586557744533686,0.04559376369021696,0.02625641764771949,3.08172726727322e+18,0.022513144259015884,0.013049500699667534,0.009427132896509411,0.012659966997957985,0.021743450122814947
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.005472668999412604,0.024099076209715888,0.026742496428192344,0.01383807579855059,0.013508875028512267,0.023652036600506725,0.013743137759478219,0.016261584459933028,0.006111120575516268,0.039380658477874746,0.07204568269256163,0.02209810840321253,0.018037553475406472,0.02199821485564836,0.03767230031320397,0.02209810840321253,0.11184860978103335,0.2632535619675962,0.015959181045060018,0.0028071092150059474,0.16817016167947665,0.0028071092150059474,0.0028071092150059474,0.16817016167947665,0.025752354770826127,0.03767230031320397,0.02199821485564836,3.08172726727322e+18,0.006874717548105055,0.00815299143719748,0.007911621136927059,0.00961450871548402,0.01394452836326818
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.023544443052679227,0.22423123941840045,0.17838812128517909,0.1958857585543096,0.06492464642229215,0.0492160357155658,0.06821166963288967,0.01748038028484021,0.026233784934943823,0.03987966115052802,0.07232944708488215,0.031227971510515172,0.02567168883427747,0.02966965708831249,0.05071057999661516,0.031227971510515172,0.1514542273056823,0.319940093421069,0.019527153968298155,0.00385101481422296,0.21233695297303565,0.00385101481422296,0.00385101481422296,0.21233695297303565,0.03724736422105019,0.05071057999661516,0.02966965708831249,3.08172726727322e+18,0.04282085474505754,0.022721514131256736,0.010896635193969256,0.013105479921000354,0.018860199783475928
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.00558610425303654,0.02016874537581534,0.028281010849921243,0.017171444132466476,0.014494965898373395,0.017505343217465223,0.015815377299651517,0.01610620532376391,0.006791662381318373,0.03509386229971438,0.06767680761351584,0.01970787419874737,0.01911400125094315,0.023040793703543463,0.041196559096286486,0.01970787419874737,0.09077827403943704,0.23464404477920603,0.010854370033390398,0.0024603585365859573,0.14404068176804202,0.0024603585365859573,0.0024603585365859573,0.14404068176804202,0.02340477294213959,0.041196559096286486,0.023040793703543463,3.08172726727322e+18,0.008567794298411188,0.007243526215546529,0.006839451807788835,0.011179465775384772,0.015615769635877819
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.017329293400238397,0.17881764449482865,0.14326799034536655,0.1572004037408365,0.051742918669562696,0.03914021319595004,0.054273783453609156,0.0166404905064066,0.019030117430112275,0.027575844462642756,0.05422552563374006,0.02331003860630814,0.02025115079373256,0.020859951483675875,0.03305011327690314,0.02331003860630814,0.11401404804710562,0.21639239731844606,0.009432247962858603,0.0028805894041540126,0.15426996626975303,0.0028805894041540126,0.0028805894041540126,0.15426996626975303,0.027812853869189552,0.03305011327690314,0.020859951483675875,3.08172726727322e+18,0.03442518445740994,0.017841484627813528,0.008914025163754986,0.009311390514896843,0.014048326419575255
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.0057049540012791096,0.02044545887386041,0.02432914070476643,0.015895381651656933,0.011891361403620338,0.01847637415816942,0.013821534684480793,0.01535842731826379,0.006570286008837095,0.040872276355773667,0.07290941200989139,0.02375883109007349,0.017559719856414482,0.027038583403216954,0.046250057787406915,0.02375883109007349,0.10541839476090815,0.2500678593827256,0.01417630901053917,0.003017637439855236,0.1599052114517429,0.003017637439855236,0.003017637439855236,0.1599052114517429,0.028316995457406513,0.046250057787406915,0.027038583403216954,3.08172726727322e+18,0.007333150028794238,0.006450485539994049,0.006453425572701989,0.00965640482088126,0.01605568110569973
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.005532909424517608,0.021286549104208588,0.026216801878222465,0.014786237684629614,0.014234988618926277,0.018486635341921735,0.01536408427064521,0.01602077966605037,0.006372539879236054,0.032897225319018786,0.0625758457050083,0.01983840212163589,0.018148577811718615,0.0226297899314765,0.03890566888788494,0.01983840212163589,0.09070397247060455,0.20014401006231894,0.011704968894463923,0.002486121739826021,0.13352945353739715,0.002486121739826021,0.002486121739826021,0.13352945353739715,0.023649542117402382,0.03890566888788494,0.0226297899314765,3.08172726727322e+18,0.008017573950296763,0.007562377021585746,0.0067462267430837145,0.011072086597694545,0.01391229651971986
