data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7677924470749999,0.3359374525,0.5068239174,0.403608388,0.23465612524999999,0.1717537074,0.24515275052500002,0.82759709355,0.757651692375,-0.028408908724999998,-0.01505158345,-0.0733990431,0.069945401125,0.029910088675,0.0285551869,0.0733990431,0.806146603375,0.28341502799999996,0.018974516475,0.008992466474999999,0.232788551075,0.008992466474999999,0.008992466474999999,0.232788551075,0.10848788325,0.0285551869,0.029910088675,4.9188907e+18,0.12101627264256506,0.11363985260743492,0.05256134715431314,0.5864292293841484,0.4889539806432819
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.77759441205,0.525187968,0.758193519875,0.62023362165,0.346085354575,0.23457566055,0.364920284775,0.8294030884,0.7688397268,-0.0642978433,-0.049381106575,-0.130344624325,0.060563361475,0.06436513505,0.059787187625,0.130344624325,0.6429370308,0.5714689043,0.0211467609,0.01610791955,0.44684024567499997,0.01610791955,0.01610791955,0.44684024567499997,0.18640093022499998,0.059787187625,0.06436513505,4.9188907e+18,0.1816318698104833,0.1644534847645167,0.057952103144348455,0.5959625422806516,0.4863821692126963
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.768567700375,0.46341736192500005,0.70963723485,0.559445850475,0.33197727975,0.23813306885,0.34778411527499997,0.81793684885,0.7602344216,-0.0448442236,-0.024954851525,-0.10965104652499999,0.057702427225,0.0462774824,0.047104506025,0.10965104652499999,0.7172474370999999,0.423493896225,0.02496929695,0.01352307345,0.34316420635,0.01352307345,0.01352307345,0.34316420635,0.164236827225,0.047104506025,0.0462774824,4.9188907e+18,0.17006447652172169,0.1619128032282783,0.050753931713876016,0.5803824241194574,0.48993430697503343
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7750307032,0.5090443848749999,0.75259947725,0.606638799225,0.345870432975,0.255263153375,0.3612076368,0.814895281375,0.768319679175,-0.040245140875,-0.024363527875000002,-0.105944483375,0.04657560225,0.042228273225,0.043896174924999996,0.105944483375,0.71318440775,0.422431592425,0.037595947149999996,0.013112722099999998,0.345271649325,0.013112722099999998,0.013112722099999998,0.345271649325,0.154759898275,0.043896174924999996,0.042228273225,4.9188907e+18,0.1802425545172857,0.1656278784577143,0.054667265006929214,0.5905938293776861,0.48987139649797856
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.775422167675,0.5219318274,0.7601306363,0.6186142962,0.34922474662499997,0.25928658320000003,0.36447654845,0.8101996013000001,0.76950078155,-0.042052743,-0.031323469325,-0.10518996535,0.040698819675,0.05045537315,0.059797981975000004,0.10634414699999999,0.71204596305,0.429964164775,0.040865827475,0.013167982200000001,0.35112560402500004,0.013167982200000001,0.013167982200000001,0.35112560402500004,0.154139955075,0.059797981975000004,0.05045537315,4.9188907e+18,0.1821154436250094,0.1671093029999906,0.057468529306429726,0.5933067240685703,0.4840366842758231
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.77145379185,0.45359744820000003,0.67542941985,0.542247295775,0.311943506225,0.22757821265000003,0.326233220525,0.81993077395,0.7632858227,-0.037011908100000004,-0.0186604241,-0.098655007875,0.0566449512,0.040268064799999996,0.0445884515,0.098655007875,0.736096844725,0.392054072425,0.027955173475,0.0122157406,0.31897630705,0.0122157406,0.0122157406,0.31897630705,0.14473853595,0.0445884515,0.040268064799999996,4.9188907e+18,0.16149063547957057,0.1504528707454294,0.05443221191245131,0.5890609238304059,0.48672268700560967
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.77674240105,0.523841152875,0.757238103775,0.6190035631999999,0.3464921707,0.23606897357499998,0.3651237559,0.8279241787249999,0.768120077475,-0.06295976157500001,-0.0478311793,-0.12905478235,0.059804101175,0.063669874225,0.0579090044,0.12905478235,0.64689791395,0.5603823366,0.02194504145,0.015936394125,0.440127993925,0.015936394125,0.015936394125,0.440127993925,0.18483061,0.0579090044,0.063669874225,4.9188907e+18,0.18140927234259746,0.16508289835740253,0.058174700649152825,0.5953331286508472,0.4846160906844294
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.77836198955,0.48914327587499995,0.7025253643,0.5762945399,0.318959164875,0.222505237575,0.33526731905,0.82889399645,0.7698152171,-0.049170128375,-0.032724425774999996,-0.11276208145,0.059078779299999995,0.050822550175,0.047453771925,0.11276208145,0.6893344692500001,0.47901701562500004,0.024739023725,0.013944779075,0.382231981525,0.013944779075,0.013944779075,0.382231981525,0.161856295,0.047453771925,0.050822550175,4.9188907e+18,0.1684525636858708,0.1505066011891292,0.05768033924102073,0.5974989419751955,0.4903231803155387
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7755066012,0.522209190775,0.7573402984000001,0.61782737825,0.347789376725,0.260726364125,0.362505242725,0.81088485495,0.769533766225,-0.035536946925,-0.020154362475,-0.10177887857500001,0.04135108875,0.045024726175,0.053578015624999996,0.10177887857500001,0.7203120963,0.409982207575,0.0443966841,0.012584120925000001,0.335903617525,0.012584120925000001,0.012584120925000001,0.335903617525,0.147471505625,0.053578015624999996,0.045024726175,4.9188907e+18,0.18143997541223542,0.1663494013127646,0.058143997572334925,0.5940666257026651,0.4829188887335391
Adult Dataset,NaiveBayes,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.776619588525,0.5238467617,0.75767189145,0.6190865368,0.346891311075,0.2526178922,0.36277528585,0.8185626557000001,0.769553159075,-0.041442976825,-0.02256525435,-0.11015739352500001,0.049009496475,0.043003590024999996,0.047978675799999995,0.11015739352500001,0.696963051125,0.448225751375,0.039560945599999994,0.0135888701,0.365578630775,0.0135888701,0.0135888701,0.365578630775,0.15933964235,0.047978675799999995,0.043003590024999996,4.9188907e+18,0.18154743632424916,0.16534387475075082,0.05803653669636174,0.5950721522286383,0.4847395725841938
