data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7275483573840958,0.4688229835242745,0.7283996915532109,0.5659827129930244,0.3815934909425852,0.3641299579330338,0.3902398588233584,0.6851691685243761,0.7485894210759223,0.03719296721344431,-0.0030593026468343477,-0.026109900890324528,-0.06342025255154618,0.0731237478341582,0.10782015183723712,0.049516712301379086,0.93434332380533,0.16283949453196803,0.24058182376420018,0.010950378340069842,0.14359041539424172,0.010950378340069842,0.010950378340069847,0.14359041539424172,0.07758368619009473,0.10782015183723712,0.0731237478341582,3.803451094381601e+18,0.1740021492170709,0.20759134172551427,0.06486030089038992,0.5535462081670249,0.4164041010122989
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7317086275713847,0.4603829423335175,0.7111533071565217,0.5582665733076887,0.36929689898679763,0.35663585167793044,0.37551252036584726,0.6894946662136322,0.7525760676967642,0.04239267278296844,0.0006304120928532053,-0.01887666868791682,-0.06308140148313197,0.08698631813063074,0.1366267359627134,0.03150209774130365,0.9518175675209231,0.09889778371388369,0.30406048510899597,0.006965338301133375,0.0907055585966142,0.006965338301133375,0.006965338301133372,0.0907055585966142,0.04874391051551382,0.1366267359627134,0.08698631813063072,3.803451094381601e+18,0.1699339883328216,0.19936291065397604,0.06892846177463924,0.5617746392385631,0.3972866877323916
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.721960392999693,0.45901671531351357,0.7235390068678125,0.5585881089897107,0.3849554805035308,0.3707469833868184,0.3918379431372035,0.6762457205787491,0.7446764791040537,0.03859780179072118,-0.004833917568005375,-0.02109095975038506,-0.06843075852530466,0.0647710139647866,0.09979983560211733,0.0392979005442289,0.9446639758407887,0.11994443861035609,0.26027018728891615,0.008679654477463257,0.11201182879938346,0.008679654477463257,0.008679654477463269,0.11201182879938346,0.06122181964480287,0.09979983560211733,0.06477101396478659,3.803451094381601e+18,0.17288916180534233,0.2120663186981885,0.0659732883021185,0.5490712311943506,0.4037909718428471
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7253607614369051,0.4525754353367182,0.7085666494587187,0.5515400114354676,0.37435523487872274,0.369766469658157,0.37649322337457525,0.6605361757355347,0.7575072461364907,0.014659317108814632,-0.08131664778262357,-0.006726753716418235,-0.09697107040095594,0.0735849051955577,0.15211712311300135,0.029869196570067407,0.9842260514833503,0.08343144225150104,0.311083819465766,0.006602208379693522,0.08156354423695832,0.006602208379693522,0.006602208379693525,0.08156354423695832,0.04742908738344306,0.15211712311300135,0.0735849051955577,3.803451094381601e+18,0.16928922321154433,0.2050660116671784,0.06957322689591647,0.5560715382253608,0.38741690240167803
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7336045440589499,0.4640339060733658,0.7187075062412945,0.5630284184109798,0.3710239484187903,0.3656225560026166,0.37353108649884337,0.6828549020597806,0.7587103461175404,0.053259156040038204,0.007558355277391407,-0.007908530496226796,-0.07585544405775982,0.08171083661624724,0.10519432871102788,0.042792675362266525,0.9794750184128234,0.12222823126586928,0.29071998771875956,0.009478679821331857,0.11779968797956908,0.009478679821331857,0.009478679821331864,0.11779968797956908,0.06822762159115464,0.10519432871102788,0.08171083661624726,3.803451094381601e+18,0.17174547129260054,0.19927847712618973,0.06711697881486028,0.5618590727663494,0.40409426927138403
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.6677770954866442,0.43369886069130936,0.7587647817541188,0.5398469996824222,0.45565704636168247,0.45503673511010223,0.4560459677407291,0.6018245805188703,0.700173318026575,0.04896379067234444,0.0036519095074211303,-0.0010092326306268844,-0.09834873750770451,0.08214988059105668,0.10136388939828053,0.049902138670712776,1.001257788923009,0.16897842797099924,0.2357153822536076,0.011031455925590048,0.1451695862024598,0.011031455925590048,0.011031455925590057,0.1451695862024598,0.07945059908678444,0.10136388939828053,0.0821498805910567,3.803451094381601e+18,0.18114829597789375,0.27450875038378875,0.05771415412956708,0.4866287995087505,0.4028626441234715
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7272259748234571,0.4563496901571151,0.7251874071480384,0.5595071846500683,0.3804114215535769,0.3724788391859806,0.3842212873878489,0.677698684089642,0.7516743211368915,0.04976608065637729,0.0067618710652054175,-0.011742448201868191,-0.07397563704724938,0.07885268140034542,0.10958850750134397,0.03650329433354273,0.969986515144759,0.10098092618911769,0.2906509057414799,0.008069148719052812,0.09769085176065198,0.008069148719052812,0.008069148719052822,0.09769085176065198,0.058907013222502705,0.10958850750134397,0.0788526814003454,3.803451094381601e+18,0.17324992324224744,0.2071614983113294,0.06561252686521338,0.5539760515812098,0.39846611506051216
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7296131409272337,0.45938502948502613,0.722266064683285,0.5607972084223485,0.37651980350015346,0.36414906072687797,0.38249604869996523,0.6768073882930901,0.755774180418896,0.027299276744185474,-0.0382824258159586,-0.018346987973087172,-0.07896679212580596,0.07396683160926504,0.12408097946782767,0.03862434287518946,0.9539281164988254,0.11475399843150869,0.29356770033773405,0.00851528400745505,0.10632935533058281,0.00851528400745505,0.008515284007455052,0.10632935533058281,0.06130014612759186,0.12408097946782767,0.07396683160926505,3.803451094381601e+18,0.17249769726742398,0.2040221062327295,0.06636475284003683,0.5571154436598096,0.4004125120167811
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7285308566165183,0.45694292651352153,0.71311109132696,0.556360272540749,0.3733957629720602,0.36340469072629206,0.37826104959625967,0.6706498707391552,0.7571524536095602,0.0168477415013749,-0.06613016083879703,-0.014856358869967615,-0.08650258287040496,0.10153327926462104,0.17628638109486877,0.03468277357905021,0.9619573225623677,0.0966811137958235,0.31849094258520105,0.007667213358460115,0.0939342882930713,0.007667213358460115,0.0076672133584601175,0.0939342882930713,0.05532503395821905,0.17628638109486877,0.10153327926462101,3.803451094381601e+18,0.17039453484801964,0.20300122812404053,0.06846791525944121,0.5581363217684986,0.3940449564757379
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.728676696346331,0.4573985524994312,0.7213245052328893,0.5592105167050752,0.37699570156585815,0.3737854813339415,0.3785509334274368,0.6732594311816757,0.756156911960497,0.05090262249325054,-0.0015716005709981256,-0.0047654520934952305,-0.0828974807788212,0.07448372709338788,0.0930518731718859,0.02890234677621629,0.9896899160730825,0.07688003114939983,0.2845026097635861,0.006389690507651274,0.07605259975657652,0.006389690507651274,0.00638969050765128,0.07605259975657652,0.046890205861660914,0.0930518731718859,0.07448372709338788,3.803451094381601e+18,0.17226742400982498,0.20472827755603315,0.06659502609763586,0.556409272336506,0.3982741464277898
