data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.08611262194756848,0.05407951730123471,0.0699410113453039,0.04262135506538525,0.11166989696050714,0.12360612333674102,0.11095921866378325,0.11169404946476057,0.07676752940133548,0.08086247628978258,0.14164315121573096,0.06090865746770834,0.05812027526479625,0.049732679064400036,0.0902724475650179,0.04352352818490517,0.15756257953871813,0.1791785929125766,0.0800181376620811,0.009684526748576852,0.138752155071797,0.009684526748576852,0.009684526748576852,0.138752155071797,0.06563444999197822,0.0902724475650179,0.04973267906440003,2.544865470322699e+18,0.018009039662539583,0.09896435109755534,0.016765786216774516,0.0978212555204084,0.03863294036148676
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.01611897995158195,0.0279063046301268,0.04828049259984848,0.02958102590374183,0.024248243815377997,0.0396831902832917,0.025077783025156446,0.04143657561988449,0.010055078340904721,0.08677936019842025,0.17877472450298598,0.039825537685622754,0.041404132642084174,0.04016517290078903,0.11320471362693472,0.030556682500508588,0.1064969509289786,0.1164125916137021,0.06646343190296822,0.006766406896820469,0.09591717301286637,0.006766406896820469,0.00676640689682047,0.09591717301286637,0.04558249310217574,0.11320471362693472,0.04016517290078903,2.544865470322699e+18,0.013876705635205116,0.017491634025613885,0.011210971738364101,0.017504316788911845,0.03884574387020692
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.08056540411729245,0.04454851108327806,0.058376797036308346,0.036791150905867556,0.10358090784012453,0.11299651316352416,0.101915537348489,0.10638541834236835,0.07158225105015383,0.0668854852466641,0.142095848863749,0.04465395491405359,0.05890626770766983,0.041216532484738874,0.09999902092108547,0.02943275505262156,0.12208393372560346,0.10698672601536612,0.09081107527118243,0.006508521648165525,0.09142738580180311,0.006508521648165525,0.006508521648165528,0.09142738580180311,0.044539392411712786,0.09999902092108547,0.04121653248473887,2.544865470322699e+18,0.016273579308525445,0.09130391139283862,0.014013154091595535,0.09222253018518646,0.03426789023968213
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.017699697434474772,0.030506292658809768,0.051649349102392564,0.03203037079396528,0.02482666040554746,0.03610412893841528,0.026044022880220456,0.04989834686806064,0.010798769118670375,0.08564253419956722,0.1930539596300492,0.035017305442338276,0.0519467143599114,0.04473781029198398,0.14254414919522898,0.018909682779505353,0.09528903493172974,0.058149911244222564,0.09167800901146099,0.004168160070104385,0.05444102943454248,0.004168160070104385,0.0041681600701043734,0.05444102943454248,0.02935910242283965,0.14254414919522898,0.04473781029198397,2.544865470322699e+18,0.01444388279091919,0.01936409810504755,0.012424629191141488,0.01656759702113912,0.042447271977001794
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.019126439023856304,0.025465034183477456,0.041336635251128705,0.021724511057235017,0.03216810525343535,0.05781112477043042,0.02848343513252388,0.05300232973340031,0.013765178249917742,0.07871248233157123,0.14288086562013097,0.052782462355763664,0.05596316743988509,0.04750859986385247,0.09551936390010932,0.031176427880093168,0.14249735565586874,0.09853737791520481,0.0753368620753857,0.006915694087372615,0.08889114852748697,0.006915694087372615,0.006915694087372606,0.08889114852748697,0.050124932074841116,0.09551936390010932,0.04750859986385248,2.544865470322699e+18,0.012947248271723473,0.023322436074052034,0.00970165174469382,0.026033185119070365,0.02925051040146252
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.1681275017723098,0.08276199603118843,0.10320443872308373,0.06527366593963707,0.21369199255090918,0.22276134597473166,0.21319046527640853,0.19881780588150796,0.15598757551959852,0.09133313705493086,0.13977279690283276,0.07258122699483871,0.06997271176278891,0.06228181026030161,0.09493167450812169,0.052105698845426957,0.1978115224405843,0.3050613852778302,0.12500344306257136,0.011495404020870077,0.19050733474619688,0.011495404020870077,0.011495404020870067,0.19050733474619688,0.07741693511884233,0.09493167450812169,0.06228181026030161,2.544865470322699e+18,0.02469712668027727,0.19110045268483083,0.024822619627342037,0.19044274566318042,0.03810201357276487
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.01894681570836236,0.023598666547817997,0.03532812762728525,0.02049238563036538,0.02861168474398192,0.048329863256415084,0.0261639372603734,0.044465417018919845,0.013053098950816001,0.07912887086771707,0.14923248002163503,0.04301807663174739,0.04303460881447007,0.04923789628233802,0.09999823942041387,0.025006371223838822,0.11306271321557267,0.07433437218975003,0.06145418836245711,0.005520996423988262,0.06916718549889517,0.005520996423988262,0.005520996423988256,0.06916718549889517,0.040283950371684585,0.09999823942041387,0.049237896282338024,2.544865470322699e+18,0.011266672083956914,0.021736962374536723,0.008644310315414634,0.024212830614255765,0.028503660633633878
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.023423947843897362,0.03315491887219148,0.039282399840873956,0.030173086265862504,0.02544692453055785,0.04759782288832498,0.02474396833425635,0.06171178696477467,0.012344975335532315,0.08299434993476208,0.17940983913627026,0.0478077349883135,0.06050365827181204,0.04517792631543335,0.13379144804254778,0.03317725729749222,0.12193163283077087,0.12066476221621927,0.10201634476351511,0.007269556666132513,0.09808920425160761,0.007269556666132513,0.007269556666132514,0.09808920425160761,0.051069710260061796,0.13379144804254778,0.04517792631543335,2.544865470322699e+18,0.011071009290823617,0.023354340448105217,0.009863186254157514,0.02266629136002255,0.042359386225219495
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.019518154747017413,0.0309302923892577,0.040733891818736115,0.03029311095650265,0.02248024781839126,0.039455313905517826,0.021783883344354292,0.05113978992110846,0.01159590313364345,0.1135083119914336,0.23400947134013925,0.03843564488613373,0.051038235056072474,0.051009029510727784,0.16544495365608972,0.02167789713534313,0.10263750955322837,0.06174464016038313,0.10062072197014535,0.00480120310945889,0.05886252698392072,0.00480120310945889,0.004801203109458879,0.05886252698392072,0.03487549143462496,0.16544495365608972,0.05100902951072779,2.544865470322699e+18,0.012509681823404551,0.019704511250322066,0.009587418398135483,0.0182332055095812,0.03995814114920956
Adult Dataset,NaiveBayes,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.012234150765672537,0.020913492502320677,0.03375002109882261,0.017686571180251576,0.021476440860290383,0.034208465743984576,0.023372334738402535,0.03534030592899529,0.010658587598243036,0.06821023744920265,0.13723655889973133,0.0362683649000906,0.03939778123992558,0.04025014037908676,0.09977844738620409,0.021952707202849926,0.0949543631104529,0.056307074577447304,0.06240206647387788,0.0048656727072210046,0.055971948548994545,0.0048656727072210046,0.004865672707221003,0.055971948548994545,0.036660879351146716,0.09977844738620409,0.04025014037908676,2.544865470322699e+18,0.00982434958003256,0.01634596082746759,0.008683814359826323,0.015956297065129174,0.022501338373655207
