data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7923702794,0.4075050056,0.332647902675,0.36562705700000003,0.126872889175,0.094672383025,0.132264547175,0.856966966075,0.7814236772250001,-0.00418866065,0.004662908025000001,-0.037592164125,0.07554328885,0.02174352115,0.036329581975,0.037592164125,0.81848079745,0.27539412845,0.0661498311,0.0046168221,0.2211059439,0.0046168221,0.0046168221,0.2211059439,0.04555077515,0.036329581975,0.02174352115,4.9188907e+18,0.07941357078149648,0.04745931839350352,0.11656550385974351,0.6882454358710256,0.4475843419338906
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8119281548749999,0.6398693926,0.493220633475,0.55619670365,0.184855695375,0.13005236547500001,0.194093025,0.863727374475,0.803202858875,-0.018893235425000002,-0.014430391250000002,-0.06404065942500001,0.06052451565,0.029050445925,0.04413076655,0.06404065942500001,0.6714923394500001,0.5157613943749999,0.086122198325,0.007902244825,0.40714844447500004,0.007902244825,0.007902244825,0.40714844447500004,0.0764275107,0.04413076655,0.029050445925,4.9188907e+18,0.11818391154230931,0.06667178383269069,0.12140006136930455,0.6937442432556955,0.4460301667914933
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8051274180249999,0.5535843404499999,0.44738840809999997,0.49411462035,0.1699493399,0.129255564175,0.176816307425,0.8589278398,0.796056611525,0.0003170292250000003,0.014822240450000001,-0.047560743225,0.062871228275,0.023594605625,0.045618113700000004,0.047560743225,0.7674760267,0.33655696635,0.083374270725,0.005873443325,0.277489419,0.005873443325,0.005873443325,0.277489419,0.057662479825,0.045618113700000004,0.023594605625,4.9188907e+18,0.10733036538768737,0.06261897451231262,0.1172156673664568,0.6885565156049718,0.4506572287968186
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.8102471600250001,0.616129050075,0.49956812535,0.551030256625,0.18960700035,0.145776286775,0.19700293900000002,0.859464477475,0.80197807705,0.0013901078000000005,0.017042470875,-0.051226651525,0.057486400475,0.02846323205,0.047415681274999996,0.051226651525,0.7481132668,0.37468954265,0.10797513045,0.0063260852000000005,0.304294036225,0.0063260852000000005,0.0063260852000000005,0.304294036225,0.06195265755,0.047415681274999996,0.02846323205,4.9188907e+18,0.1197190666543015,0.0698879336956985,0.11674263719018757,0.6887886445021202,0.4510906886046603
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.810362296725,0.634216849375,0.49450742639999995,0.554997164625,0.186943506275,0.1443382371,0.1941345732,0.8544431203749999,0.8029130115499999,-0.0041142240499999995,0.0014700299749999999,-0.049796336074999996,0.051530108825,0.02621786335,0.046736260075,0.050376888725,0.74553886955,0.3758511158,0.1024946269,0.006216715775,0.3082014407,0.006216715775,0.006216715775,0.3082014407,0.060517183625000005,0.046736260075,0.02621786335,4.9188907e+18,0.11844488793164139,0.0684986183433586,0.12113908507074196,0.691917408654258,0.4428648721315757
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8053346638500001,0.55511183005,0.44522581525,0.493402946925,0.167976665675,0.12464340007500001,0.17531732760000002,0.859487782775,0.7961904263,-0.006054562800000001,0.00397614745,-0.050673927625000004,0.06329735642499999,0.028796846450000003,0.051646110450000005,0.050673927625000004,0.750326602425,0.38641123325,0.086728584675,0.0062753032750000005,0.306217762475,0.0062753032750000005,0.0062753032750000005,0.306217762475,0.061098878375,0.051646110450000005,0.028796846450000003,4.9188907e+18,0.10644765123259917,0.06152901444240083,0.11733847978135464,0.6906881880186454,0.451175100594916
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8102625116500001,0.638110320625,0.482800172125,0.5488788268,0.1815781394,0.12959673775,0.190343550425,0.8630226801,0.80138058025,-0.014890895275,-0.00791905395,-0.06074681245,0.061642099900000004,0.027333897024999998,0.0432619378,0.06074681245,0.683160565375,0.497249856625,0.08674393617500001,0.0074980634749999995,0.392188722575,0.0074980634749999995,0.0074980634749999995,0.392188722575,0.07230360325,0.0432619378,0.027333897024999998,4.9188907e+18,0.11571231193783929,0.06586582746216071,0.12387166101219829,0.6945501995878016,0.4389545151696933
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.809326067025,0.59191983315,0.4677470875,0.52202057605,0.17534540985,0.129709005,0.183058482675,0.86085354745,0.80062578165,-0.006761879525,0.0026700144750000003,-0.05334947759999999,0.060227765675,0.024512480674999997,0.045309536075000004,0.05334947759999999,0.729892850425,0.404740098125,0.08804114215,0.006595626124999999,0.327330320725,0.006595626124999999,0.006595626124999999,0.327330320725,0.064054928525,0.045309536075000004,0.024512480674999997,4.9188907e+18,0.11212772487813594,0.06321768497186407,0.11857205685838461,0.6918653378983721,0.4529250235607987
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8129260056750001,0.6394475199249999,0.50336100165,0.5626194263000001,0.188739637675,0.14832542124999998,0.19560132165,0.8576916268750001,0.805355081175,0.005200251025000001,0.0190042184,-0.047275900450000005,0.052336545675,0.031120749175,0.055978472300000005,0.047275900450000005,0.76213224155,0.344218926675,0.113217685,0.005863955225,0.28337441664999996,0.005863955225,0.005863955225,0.28337441664999996,0.057008841850000005,0.055978472300000005,0.031120749175,4.9188907e+18,0.12062480808848042,0.06811482958651957,0.11895916487193026,0.6923011974530697,0.45144183556240974
Adult Dataset,RandomForestClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.811206632,0.635942161175,0.4974968218,0.5573053728249999,0.18766502915,0.142908871125,0.1952134671,0.8579163376000001,0.8033270272999999,-0.00389302845,0.005217783125000001,-0.05230459595,0.05458931025,0.025647867499999998,0.047028852075,0.05230459595,0.73369643275,0.38854684547499996,0.10838962237500001,0.00645702385,0.31883116165000003,0.00645702385,0.00645702385,0.31883116165000003,0.06291926722499999,0.047028852075,0.025647867499999998,4.9188907e+18,0.11922781700222859,0.0684372121477714,0.12035615597443042,0.6919788148755696,0.44565929758223166
