data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7863371200491249,0.5612372525123491,0.39731540988909225,0.4643957631072225,0.1648526251151366,0.1460612421522159,0.1741968998656906,0.845497968175662,0.7570929671928787,0.05047429699964541,0.0744443975526141,-0.028135657713474677,0.08840500098278338,0.05788668040852059,0.0869680515640264,0.03545839142836577,0.8584223268370182,0.2771817902076745,0.16836813018114827,0.00784810901608765,0.22263402822707284,0.00784810901608765,0.007848109016087658,0.22263402822707284,0.04242025848000929,0.0869680515640264,0.05788668040852059,3.803451094381601e+18,0.0950260976358612,0.0698265274792754,0.14161214898089322,0.6893082355164025,0.35620346300716155
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7842569849554806,0.5699052714936257,0.3890137676490766,0.46120469542583925,0.16292600552655814,0.15023272088558728,0.16915487094959164,0.8385001021710561,0.7575475766817638,0.052155053283398076,0.06755515998958633,-0.018922150064004342,0.08095252548929224,0.05802933408030344,0.08907723452717634,0.025013615939698884,0.8988007919880804,0.17787277460839604,0.1816932760208781,0.005523840906089285,0.15861374125268274,0.005523840906089285,0.0055238409060893,0.15861374125268274,0.029825455395729995,0.08907723452717634,0.05802933408030344,3.803451094381601e+18,0.09302272029474976,0.0699032852318084,0.14583972981271107,0.6912342646607308,0.34264831376836086
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7859303039607,0.5613686248680311,0.39290548918507107,0.4611861891479133,0.16287995087503834,0.1457759646898737,0.1712995368264277,0.8417344759169392,0.7583269831895769,0.045789756713791346,0.06005170949167031,-0.025523572136553974,0.08340749272736217,0.05109976721187389,0.08116746159980974,0.029458298283597667,0.8634685737857101,0.2140787765784536,0.16792293521645682,0.006504881340574463,0.18438100330974586,0.006504881340574463,0.006504881340574473,0.18438100330974586,0.035220790741590846,0.08116746159980974,0.051099767211873884,3.803451094381601e+18,0.09383635247159962,0.06904359840343874,0.14257260496130622,0.6903710351668596,0.3539164295291818
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7812787841571999,0.5573098095913308,0.40016680718258046,0.4639223277482376,0.17129260055265577,0.15821695012861964,0.17771463412268962,0.8281805546183989,0.7582324593402324,0.04119318458979823,0.04101350232430103,-0.019497683994069932,0.06994809527816637,0.05151369618909405,0.08872012930683697,0.02256547034147325,0.8969091758380321,0.15123331388014868,0.18230733804114213,0.004984354333204865,0.13606582681535567,0.004984354333204865,0.004984354333204872,0.13606582681535567,0.027192220894230547,0.08872012930683697,0.05151369618909405,3.803451094381601e+18,0.09571691740865826,0.07557568314399753,0.14314553269880256,0.6855618667485417,0.33984507912801476
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7840727663494013,0.5692310727667944,0.3978494150954999,0.4670639964014097,0.16733190052195268,0.16156526625958903,0.17004203418957875,0.8370938888691448,0.7579728314888653,0.07861609037912273,0.11366067352032878,-0.008476767929989724,0.07912105738027946,0.0819720601606889,0.12933647310437252,0.025736920939606767,0.9600160622074568,0.17138421378226842,0.19143383481731652,0.005693810897743732,0.15894675346619433,0.005693810897743732,0.00569381089774374,0.15894675346619433,0.030880004283352264,0.12933647310437252,0.08197206016068892,3.803451094381601e+18,0.09513355848940741,0.07219834203254527,0.1437288916180534,0.6889392078599939,0.34634602455355484
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7816241940435984,0.49599199408648725,0.3638189389488055,0.41904561789230377,0.15349247774025174,0.14311603440447693,0.15860871285793696,0.8403095868324513,0.7526761264919869,0.053563991334983185,0.07141986031301481,-0.015492678453460019,0.08763346034046442,0.06580322218264786,0.09433656108885775,0.03534795057635625,0.940291794948846,0.26823352984924914,0.15637089346023944,0.007811254925387275,0.2155812329657183,0.007811254925387275,0.0078112549253872956,0.2155812329657183,0.04258696390307394,0.09433656108885775,0.06580322218264786,3.803451094381601e+18,0.08698956094565549,0.06650291679459625,0.1397780604412474,0.6848019649984649,0.3541406851091246
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7839960085968682,0.5718427221663627,0.3883381118571888,0.46102750630385936,0.16257291986490632,0.1491303806272954,0.16920204745117948,0.8399653960467155,0.75642516461759,0.0537526756392771,0.07299297125533484,-0.02007166682388407,0.08354023142912546,0.057650208062483145,0.0861364010584915,0.02555305836506816,0.8835264681125544,0.18450617055523783,0.1780779858765735,0.0056500917369442325,0.16479975506193478,0.0056500917369442325,0.00565009173694425,0.16479975506193478,0.030367656371019153,0.0861364010584915,0.057650208062483145,3.803451094381601e+18,0.09271568928461772,0.0698572305802886,0.14614676082284309,0.6912803193122505,0.34293150142811113
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7848480196499846,0.5716005369452477,0.3937991765806159,0.4647853250960713,0.16436137549892535,0.14765104541404522,0.1725761399886498,0.8411590422238394,0.7570810157256938,0.04768070068879403,0.06426999906600721,-0.024925094574604515,0.08407802649814569,0.05499049215625481,0.0910761795438286,0.02858712681880325,0.8665203598234612,0.21146288149868667,0.17747927540681604,0.006315968186044342,0.17962129633203275,0.006315968186044342,0.0063159681860443535,0.17962129633203275,0.03415655759556739,0.0910761795438286,0.05499049215625481,3.803451094381601e+18,0.09403592262818543,0.07032545287073992,0.1448265274792754,0.6908120970217992,0.3461993434357978
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7807875345409887,0.5563664317410584,0.4014347198093871,0.4649354374222659,0.17219834203254525,0.16445800647873982,0.17605304494390647,0.826389624119291,0.758333199322676,0.05623085095874778,0.0653060163660101,-0.01159503846516667,0.06805642479661504,0.07195197138133994,0.12183198991890161,0.022879998669032904,0.943977870059902,0.14941243105933769,0.19626189745164258,0.005074634836245521,0.138238615982725,0.005074634836245521,0.005074634836245534,0.138238615982725,0.027543245068843942,0.12183198991890161,0.07195197138133995,3.803451094381601e+18,0.09592416334049737,0.07627417869204788,0.14293828676696346,0.6848633712004913,0.33975192523275266
Adult Dataset,RandomForestClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.7870663186981885,0.5767201825206336,0.40711829659367177,0.47581068479028926,0.16862143076450717,0.15301849864047487,0.17631965080188144,0.8417229731250817,0.7601632181999091,0.05723728103167748,0.08118432126769146,-0.02330115216140656,0.0815597549251726,0.058317468191300105,0.0884591195631127,0.026330292361988538,0.8745607966301773,0.17808090622193334,0.18038839422781697,0.005822189829628385,0.16000721923093242,0.005822189829628385,0.005822189829628395,0.16000721923093242,0.03163445311471498,0.0884591195631127,0.05831746819130011,3.803451094381601e+18,0.09727509978507828,0.07134633097942891,0.14158735032238254,0.6897912189131102,0.35661156020633317
