data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.801043905375,0.4445006841,0.3165342795,0.36908425,0.110508136325,0.08084277995,0.11546460704999999,0.86501264305,0.7901999622,-0.003921583325,0.0009863586749999998,-0.034621826950000004,0.07481268085000001,0.020642850575,0.035926646325,0.03489630215,0.806615022275,0.30817490925,0.018214614674999997,0.004278140525,0.242071063225,0.004278140525,0.004278140525,0.242071063225,0.041011456725,0.035926646325,0.020642850575,4.9188907e+18,0.07556800735966031,0.03494012896533969,0.12248175525970978,0.7075057273172133,0.4723306917008794
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8265121275249999,0.7051736946,0.4765301108,0.567421756275,0.162273564575,0.108726155825,0.171300894875,0.8733018555250001,0.81862220935,-0.028093354375,-0.04032921675,-0.06257473919999999,0.0546796462,0.032912663625,0.05499946865000001,0.06257473919999999,0.6346729748000001,0.6036500935,0.014837273525,0.0077223295499999995,0.46354667585,0.0077223295499999995,0.0077223295499999995,0.46354667585,0.072781564825,0.05499946865000001,0.032912663625,4.9188907e+18,0.11418483261896736,0.048088731956032624,0.1253991402637974,0.7123272951612026,0.478817564202216
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8168867054750001,0.6034416961,0.43053094280000004,0.50145874905,0.150069081925,0.1096941902,0.156904979525,0.86965145235,0.8079964930999999,-0.004844595225,0.0009432125249999996,-0.04721078935,0.061654959275,0.023732018225000002,0.047005078475,0.04721078935,0.738934395225,0.391627284075,0.018936137625,0.005844125975,0.316749144775,0.005844125975,0.005844125975,0.316749144775,0.055740884000000004,0.047005078475,0.023732018225000002,4.9188907e+18,0.1032698802202561,0.0467992017047439,0.12185622169798084,0.7066362561020192,0.478043990732252
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.82348787215,0.672084724775,0.481796482925,0.5599033268,0.167861529025,0.1254292599,0.175019480925,0.8709310412500001,0.815505357875,-0.00228132425,0.004573264025,-0.049590221125,0.05542568335,0.0310706315,0.058501184625,0.049590221125,0.726999460225,0.41595304665,0.032990482075,0.006122702225,0.33346837484999997,0.006122702225,0.006122702225,0.33346837484999997,0.0586054795,0.058501184625,0.0310706315,4.9188907e+18,0.11546668712798766,0.05239484189701234,0.12110405199965212,0.7067302772054761,0.4792159730324178
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.82493859365,0.7011593787,0.47276563405000005,0.563389711675,0.1619588579,0.115881723975,0.16975170285000002,0.8700952727000001,0.8173119853999999,-0.015320270799999999,-0.02100543385,-0.0538699791,0.0527832873,0.03100837585,0.05690249905,0.0538699791,0.683092855225,0.50770127695,0.022850782975,0.0066634612999999995,0.39529999827499995,0.0066634612999999995,0.0066634612999999995,0.39529999827499995,0.062749220475,0.05690249905,0.03100837585,4.9188907e+18,0.11324071234745998,0.048718145552540025,0.12634326071904295,0.711697881380957,0.47397167806359697
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8177463922499999,0.608076592875,0.429963489675,0.5024162472,0.14828830207500002,0.104801999325,0.155628775775,0.8700366198999999,0.8089299769,-0.0131500009,-0.014095533575,-0.05082677652499999,0.061106642975,0.03204491865,0.056083145625,0.05082677652499999,0.7168845352,0.477787085175,0.0212695732,0.006278246900000001,0.35946946375,0.006278246900000001,0.006278246900000001,0.35946946375,0.059676042,0.056083145625,0.03204491865,4.9188907e+18,0.10280933370406153,0.045478968370938476,0.12149655687120521,0.7090310979002233,0.48143717728493385
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8256984954,0.710252165975,0.4619290514,0.5589439242750001,0.15619435065,0.10693697124999998,0.16449272452500002,0.8743803478500001,0.81748665055,-0.0198841242,-0.02601074365,-0.05755575335,0.056893697225,0.03132780625,0.05908276215,0.05755575335,0.651502140675,0.56532465765,0.015658581375,0.007099465250000001,0.43800257275,0.007099465250000001,0.007099465250000001,0.43800257275,0.066624058875,0.05908276215,0.03132780625,4.9188907e+18,0.11073840958894172,0.04545594106105828,0.12884556339234857,0.7149600859576515,0.47326701954349365
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8221292598750001,0.6470507290999999,0.45341760265,0.5321494866750001,0.15566472209999999,0.10830282767499999,0.1636403743,0.872010701475,0.8137062493749999,-0.016579813000000002,-0.01960421705,-0.055337546675,0.058304452225000004,0.02430597745,0.043209281849999996,0.055337546675,0.686737460225,0.49424590855000006,0.017930611175,0.006823726525,0.3891855054,0.006823726525,0.006823726525,0.3891855054,0.064872126875,0.043209281849999996,0.02430597745,4.9188907e+18,0.10868897755321416,0.04697574454678584,0.12228962149752398,0.7094241924484219,0.48339445583082
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8257906047000001,0.6981034635250001,0.482366148825,0.569777530475,0.165743015,0.11606223335000002,0.174134066575,0.8721789391750001,0.8179665999000001,-0.018276227875000002,-0.0233645543,-0.05807183312500001,0.054212339350000006,0.033108034674999995,0.05788217325,0.05807183312500001,0.67000378985,0.53936519185,0.028162419475,0.007176190000000001,0.415413824125,0.007176190000000001,0.007176190000000001,0.415413824125,0.067871003025,0.05788217325,0.033108034674999995,4.9188907e+18,0.1155587964143289,0.050184218585671105,0.1240251765204339,0.7102318084795661,0.47812606352135784
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8260439052749999,0.7002147708249999,0.48233043254999997,0.569932547325,0.165505065975,0.12144997040000001,0.172924551525,0.872620350625,0.81820899815,-0.005713989775,-0.0020796140500000007,-0.05147458115,0.054411352474999994,0.027352144774999997,0.053308866600000004,0.05147458115,0.70271693015,0.4523959615,0.027678845624999997,0.006347802549999999,0.36276887705,0.006347802549999999,0.006347802549999999,0.36276887705,0.06031604577500001,0.053308866600000004,0.027352144774999997,4.9188907e+18,0.11556647218451188,0.04993859379048812,0.1240175007509257,0.7104774332740743,0.47908805827304396
