data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7992631255756831,0.5889153334496101,0.4692836739593432,0.5213927498186173,0.18617592876880562,0.15994906064956155,0.19908668570343396,0.8358235708605222,0.7811517760867173,0.026069781504857427,0.013037948852439524,-0.0391376250538724,0.054671794773804974,0.04798246478618313,0.07940097712530512,0.04196291714243124,0.813149875600882,0.31329427226107165,0.11713233036536685,0.009279152085364565,0.2474676826797491,0.009279152085364565,0.009279152085364579,0.2474676826797491,0.050866327962263744,0.07940097712530512,0.047982464786183135,3.803451094381601e+18,0.11215075222597479,0.07402517654283082,0.12404840068334079,0.6850019287845509,0.41449146176462764
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.8004528707399448,0.6104358825816913,0.4594933369797759,0.5227040896715867,0.18033466380104385,0.1625036221691971,0.18909968598823618,0.8303234326395789,0.785795107039821,0.030914516772367357,0.007657120709782909,-0.026596063819039045,0.04452832559975776,0.04878234212312591,0.08639436206701649,0.03272397032767378,0.8650371908236416,0.22675170633443326,0.1347252072459318,0.007228037408198202,0.19534362135418842,0.007228037408198202,0.007228037408198213,0.19534362135418842,0.03956121223590077,0.08639436206701649,0.048782342123125905,3.803451094381601e+18,0.10982499232422471,0.07050967147681915,0.1290374577832361,0.69062787841572,0.4073142885809619
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.8006754682222905,0.5941506843896105,0.4642926289739008,0.5199558205948192,0.1822766349401289,0.15968468572011874,0.1933814537113085,0.8341396938468902,0.7841124560349144,0.028554254903737548,0.01091651775285307,-0.03369676799118977,0.05002723781197582,0.04609499193895602,0.07580192462771271,0.03709488320315383,0.8370453326887614,0.25982675414487166,0.11445348480196496,0.008191555770528542,0.21391777499025083,0.008191555770528542,0.00819155577052855,0.21391777499025083,0.04523228274246029,0.07580192462771271,0.046094991938956026,3.803451094381601e+18,0.11090727663494011,0.07136935830518881,0.1250639647937775,0.6879856403958339,0.41582044473762725
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.7973211544365981,0.5942542409390915,0.4766851119739982,0.5279303408117385,0.19177156892846176,0.1717678260727396,0.20159895926675073,0.8191417252338299,0.786680450540477,0.016034177657114256,-0.025141870870830856,-0.02983113319401106,0.032461274693352984,0.05296530926259655,0.10786874434110057,0.03265756587556733,0.86006966236161,0.20463262460407788,0.15898833282161495,0.007205761870066725,0.17665223349542997,0.007205761870066725,0.007205761870066741,0.17665223349542997,0.040238351896966854,0.10786874434110057,0.05296530926259655,3.803451094381601e+18,0.11397758673626035,0.07779398219220139,0.12488486337120049,0.6833435677003378,0.4056253522874041
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.7980580288609149,0.5994110779460788,0.476823722117466,0.5295363979606246,0.19112680380718447,0.18165949478302953,0.1956220707660227,0.8239829615429951,0.7853868779742432,0.06154232485354051,0.0595727002161975,-0.013962575982993119,0.03859608356875175,0.07725936698685104,0.11120158482706122,0.03515268580128443,0.9289548861523995,0.21356728950383239,0.14709855695425234,0.00776586486355781,0.1930470525446264,0.00776586486355781,0.007765864863557813,0.1930470525446264,0.043388230745675146,0.11120158482706122,0.07725936698685104,3.803451094381601e+18,0.11402364138778014,0.07710316241940435,0.12483880871968067,0.6840343874731348,0.4084393114649754
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.793590727663494,0.5219795399159353,0.42830502748964683,0.46988598099081685,0.17245931839115747,0.15622024709111135,0.18049506979209853,0.8336399104982807,0.7737958776491186,0.03942681151363012,0.03272301025741695,-0.024274822700987155,0.05984403284916191,0.06110140801913361,0.08897389889748206,0.03807521927221395,0.8904319145159004,0.2998098477078243,0.11196653361989557,0.008417259384831234,0.22345271351946003,0.008417259384831234,0.008417259384831245,0.22345271351946003,0.04653268827522055,0.08897389889748206,0.06110140801913361,3.803451094381601e+18,0.10245624808105618,0.0700030703101013,0.12210184657221806,0.6808017895521734,0.4130899765337816
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.8018959164875653,0.6139933060650178,0.46897689327705133,0.5298331642381354,0.18322075529628487,0.16242598707075612,0.19346638314015552,0.8355000768742038,0.7853281906065159,0.03694817280724637,0.026116701456051394,-0.031040396069399363,0.0501718862676878,0.049922827105392996,0.07857664303975123,0.03234139844835768,0.8408281213131017,0.22139343733592223,0.12264353699723667,0.007149205758759172,0.19005897269714572,0.007149205758759172,0.0071492057587591844,0.19005897269714572,0.039186307311339263,0.07857664303975123,0.04992282710539298,3.803451094381601e+18,0.11198956094565549,0.0712311943506294,0.12687288916180534,0.6899063555419098,0.4145303498914551
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.8016042370279399,0.6107349978056738,0.47028804028647875,0.5301088788978968,0.18409579367516116,0.15950856352298864,0.19617550461587524,0.8334565900699978,0.7859194747160541,0.02159312449187576,-0.002651750833107773,-0.03666694109288658,0.04753711535394364,0.047743889075266686,0.09050071957274435,0.039988528692680686,0.8191280372206784,0.29041527029655856,0.12728738102548354,0.008822289093875746,0.23560318373159111,0.008822289093875746,0.008822289093875758,0.23560318373159111,0.048490482212960505,0.09050071957274435,0.04774388907526669,3.803451094381601e+18,0.11228124040528091,0.07181455326988025,0.1265812097021799,0.689322996622659,0.41363765111756845
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.7939438133251459,0.5859112429235692,0.4770575093188746,0.5242547075154593,0.194995394534848,0.18338614029672506,0.20073360676500757,0.8112063390583447,0.785474958989419,0.032978802506605474,-0.002058633264846251,-0.017347466468282474,0.025731380068925853,0.07723451551171058,0.1394820556671999,0.025945884251714645,0.9143102158172646,0.1609829175544174,0.1728738102548357,0.00574218454307663,0.14435181334301547,0.00574218454307663,0.0057421845430766375,0.14435181334301547,0.03179025349402384,0.1394820556671999,0.0772345155117106,3.803451094381601e+18,0.11390082898372733,0.08109456555112064,0.12496162112373348,0.6800429843414185,0.39922399973937794
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.8040528093337427,0.6177225407148998,0.4763808772439268,0.5360997452774344,0.1845486644151059,0.15978385343821583,0.19675230182387415,0.8409998573186991,0.7859359966366691,0.037388713649355504,0.03347214500569751,-0.03696844838565829,0.05506386068202994,0.04826742901410537,0.07590478289818021,0.037071015576857456,0.815669494019424,0.25435888984908916,0.12747159963156277,0.008194975343722453,0.21513209332931874,0.008194975343722453,0.008194975343722466,0.21513209332931874,0.04506295819238208,0.07590478289818021,0.04826742901410537,3.803451094381601e+18,0.11373196192815471,0.07081670248695117,0.1251304881793061,0.690320847405588,0.42157892987034995
