data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.03193617140443131,0.32890649409428174,0.2363674358143222,0.2738398501677082,0.08256292206700387,0.06274186835722984,0.08631216617018368,0.018116551797126377,0.03587669643078003,0.031503004380367926,0.055888223280270426,0.03249423860100759,0.031053033231355134,0.023979481766321243,0.04245610201661849,0.03219557912124637,0.17804477318233008,0.308426875985382,0.019823891623104137,0.003964098340498776,0.22883349619810311,0.003964098340498776,0.003964098340498776,0.22883349619810311,0.03782339557451858,0.04245610201661849,0.023979481766321243,3.08172726727322e+18,0.056520958261727546,0.026307742873969926,0.01060173474062733,0.008672279964336563,0.029238992943301675
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.00606303529680025,0.023567014770393645,0.03658750138091369,0.022719869560142433,0.016585220691063624,0.019007661646154125,0.017278711964380692,0.01513193427993809,0.0069811985170594995,0.028771914791222576,0.05848692360826106,0.016279719288672972,0.01754745294750555,0.023167986567482212,0.04519466606303225,0.016279719288672972,0.08568022938098493,0.21040359621277507,0.006560665377930532,0.00205728505070284,0.13285387863177828,0.00205728505070284,0.00205728505070284,0.13285387863177828,0.018941288278666014,0.04519466606303225,0.023167986567482212,3.08172726727322e+18,0.009593477377446664,0.007991528559330576,0.00941583470893151,0.011117481357867776,0.018311022331901152
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.021706377924217094,0.22996307691693252,0.16600715684538841,0.1908069219928379,0.0586228679690467,0.044301095680070124,0.06141146158739428,0.018626079139990825,0.0240997458085384,0.032729381816329006,0.06594147156018129,0.024493507788940768,0.025180051025869187,0.02308506326382131,0.04604393777897398,0.024493507788940768,0.12756376069423356,0.22796592542152636,0.0120649667232359,0.003066874227001778,0.16774005809534778,0.003066874227001778,0.003066874227001778,0.16774005809534778,0.02896433477246236,0.04604393777897398,0.02308506326382131,3.08172726727322e+18,0.039940780980050376,0.019454727306631975,0.009369461725753323,0.010407299387363388,0.021018665734307957
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.01207964114476294,0.11043078275194283,0.08633524987297297,0.09286135301986982,0.032337700550170594,0.029760165307522228,0.034063039475436215,0.017464135202660665,0.013700175742755963,0.03974269062375781,0.07385204144377314,0.02461317448274569,0.02262489739686754,0.024016894561734135,0.04417769421026794,0.02461317448274569,0.12712794879383982,0.24015928215285837,0.017243676899376007,0.0030562864944120673,0.172173943088808,0.0030562864944120673,0.0030562864944120673,0.172173943088808,0.02916533600048224,0.04417769421026794,0.024016894561734135,3.08172726727322e+18,0.02131934051565903,0.01207596709272351,0.009376701651562631,0.012132111306261253,0.021098548210383677
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.006056812908956604,0.02820026955290119,0.0342726759074827,0.019652924056619767,0.016117009630995882,0.02221697090453874,0.016613188043360892,0.015478504107765807,0.007241142251707586,0.035621280344226756,0.06677360723052267,0.019746147952766503,0.018664043609508085,0.02353035848647865,0.041510904206040214,0.019746147952766503,0.11146974071837419,0.27531582600185656,0.01329970883290386,0.0025053617683505084,0.17167270686933153,0.0025053617683505084,0.0025053617683505084,0.17167270686933153,0.022624064466077613,0.041510904206040214,0.02353035848647865,3.08172726727322e+18,0.008493689193892052,0.008803516063287855,0.00943684800068141,0.010680353944806601,0.017007433443963226
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.023965523494238375,0.23129095052498713,0.16700804903563518,0.19140366833993339,0.058870994223379235,0.04562080360398622,0.06184192393338796,0.017906210666166104,0.026641947252512944,0.044162826418601475,0.0810582035610676,0.029910525051554757,0.025873689805776458,0.03307234406086162,0.05986370150256217,0.029910525051554757,0.15902570871054306,0.41730831397960305,0.019492355872391866,0.003684701543201969,0.2385994841870455,0.003684701543201969,0.003684701543201969,0.2385994841870455,0.0348679806832218,0.05986370150256217,0.03307234406086162,3.08172726727322e+18,0.040251108216025386,0.01912439007981065,0.010010206552830157,0.012677166420052264,0.019827370859122232
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.005556245491592695,0.02369464756642057,0.027378086055899004,0.018258650890501278,0.014162670613338106,0.01593630426136397,0.015182499729367598,0.016229746019085597,0.006550784602090255,0.03247683336873105,0.06627208805884478,0.016225577498991804,0.018747916869174906,0.02180529622541638,0.040201916361312595,0.016225577498991804,0.08770255759479956,0.22973047535264898,0.010719103458548046,0.002039291798123692,0.14006158206998073,0.002039291798123692,0.002039291798123692,0.14006158206998073,0.01878561997512752,0.040201916361312595,0.02180529622541638,3.08172726727322e+18,0.0083327783778951,0.006999635307008005,0.006499789050447477,0.011273929520127806,0.01512636478797963
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.01776103373097027,0.18564317142119557,0.13297707873212336,0.15265363530822867,0.046510331468862263,0.035210652202798357,0.0488016692289716,0.015473292284005033,0.019443390995684942,0.026685624061942467,0.05178451416648409,0.021006256159746866,0.018925871314933385,0.019884551884477148,0.03465240989847344,0.021006256159746866,0.11778747191788842,0.2294236458057767,0.007720434479982461,0.002592537089728543,0.1614506337221026,0.002592537089728543,0.002592537089728543,0.1614506337221026,0.02450843462730806,0.03465240989847344,0.019884551884477148,3.08172726727322e+18,0.03191291603716967,0.01524555846031644,0.009408907736085855,0.009397724299411837,0.01578068765848472
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.005748945569449151,0.02388650845531361,0.026526263503851576,0.017227067736830935,0.012278352311606436,0.01886713147909988,0.013863452049978141,0.01596972639136339,0.006678055201951074,0.0381037655736235,0.0692881212317499,0.022569069837799795,0.01844419211067386,0.02619881403719778,0.0445081894479639,0.022569069837799795,0.113050135361281,0.28676326953488357,0.012860460245117944,0.002853941894150024,0.17659466697170753,0.002853941894150024,0.002853941894150024,0.17659466697170753,0.026251253970065825,0.0445081894479639,0.02619881403719778,3.08172726727322e+18,0.007161469326430016,0.006770194677729206,0.007500457846824293,0.009314236154403303,0.016424209974603036
Adult Dataset,SupportVectorClassifier,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.006070738090111093,0.028133629954326382,0.03269435579530475,0.019231257187192152,0.016318457064432974,0.02036972801491875,0.016940618057408166,0.01537852716963642,0.0072678111244283425,0.03385161452036416,0.06690773887879788,0.017668607162989014,0.018500493127860552,0.0208319048628245,0.04063206935936325,0.017668607162989014,0.09709646331802319,0.21536857247268953,0.012473999579586163,0.0022052550796175497,0.14298553211204287,0.0022052550796175497,0.0022052550796175497,0.14298553211204287,0.02046090106984176,0.04063206935936325,0.0208319048628245,3.08172726727322e+18,0.008788427048447189,0.008727698200439237,0.008700039350211087,0.011418046344669983,0.016324669817917997
