data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.0178549987218145,0.1071610342971575,0.08605187819541427,0.09236176510325671,0.03400611670218568,0.042867740047846145,0.03600685360574932,0.03635767330002769,0.020230944143975717,0.05393483177150945,0.10002825595343856,0.038004844216662066,0.04180003505972158,0.035279957366960726,0.06094119596232095,0.03477585751254311,0.1783128016854024,0.3203971845607641,0.047810868452865314,0.007721312627723957,0.22175752932385026,0.007721312627723957,0.0077213126277239546,0.22175752932385026,0.04164762394775458,0.06094119596232095,0.03527995736696073,2.544865470322699e+18,0.02073136979282857,0.017754756063185235,0.011301359586538768,0.01525248788810098,0.04820413453844354
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.0139644618064302,0.04146913909515671,0.049472328256153414,0.03845277677117556,0.021933404367785847,0.02971375305208459,0.02388527198932909,0.034374011693537765,0.010851896448791927,0.050798390550112434,0.10983846140042958,0.029657051230674664,0.03517649077011641,0.03346571172410668,0.06685246759798207,0.022510272234426972,0.15542879614041377,0.19031897768713665,0.04687492380623273,0.004972016568464619,0.14497550105884333,0.004972016568464619,0.004972016568464628,0.14497550105884333,0.027006945841072955,0.06685246759798207,0.03346571172410668,2.544865470322699e+18,0.013188906588383982,0.012730338066270584,0.012113787888716875,0.016617345466114156,0.04207107017598938
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.013483790105631303,0.10180176316671864,0.08766724486003588,0.0903507370975842,0.035384396186569404,0.03720953280592351,0.0387708391780695,0.0312826686722894,0.018456026830936147,0.05046262078286652,0.10173827045919355,0.03090772020647135,0.04050660535863815,0.034691481036951084,0.06767302508999438,0.026618805813221156,0.1500600275126003,0.2786017646876171,0.05010224149351507,0.005885421833472823,0.17779508124999696,0.005885421833472823,0.005885421833472823,0.17779508124999696,0.03197158432237023,0.06767302508999438,0.034691481036951084,2.544865470322699e+18,0.021501108457925286,0.01580706311320822,0.011577602749937767,0.014766154126638498,0.03535252485959681
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.012526615815742683,0.038726961412350824,0.04852667949222754,0.03969510274693294,0.018653148689278858,0.023208069819769243,0.02302608086903395,0.03238879778920601,0.009548067822901423,0.06403081453687685,0.1362290135936655,0.02886841206553078,0.03360691339226809,0.03855355845569704,0.08527983021971207,0.025538919189376376,0.13009260317617372,0.18251610816775413,0.05480269829031908,0.005612819779732185,0.14070498322188985,0.005612819779732185,0.0056128197797321745,0.14070498322188985,0.03146515011499646,0.08527983021971207,0.03855355845569702,2.544865470322699e+18,0.01353554897944513,0.01045309689380404,0.011344870661675095,0.01290271365143081,0.04329029274076947
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.015098324416490826,0.040858601503342806,0.0419160100577825,0.03020088993241997,0.025044474564661332,0.043906801359995175,0.022133352107701308,0.0419233837712487,0.01049688563506692,0.06310830012369328,0.1198535795187008,0.03947767046192821,0.04399966016396249,0.0417752112371326,0.07295149532470889,0.022159480520387943,0.19882348633718877,0.16959303726459424,0.05555753108046186,0.0048917581338463615,0.13070659731300432,0.0048917581338463615,0.004891758133846367,0.13070659731300432,0.02735149134607076,0.07295149532470889,0.04177521123713259,2.544865470322699e+18,0.012174831584115609,0.01604748758842003,0.009488278537597126,0.021028972055811033,0.035569159994372504
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.020770042544885917,0.20460119272395308,0.16604520770378192,0.1821785893602272,0.06776754539780835,0.07382103412341054,0.07072013193777167,0.04340441896940253,0.030882657621406042,0.06889448079476812,0.10938858401709106,0.050006858978673505,0.061281228843124425,0.05011657846478808,0.07031910030287201,0.04022645501283699,0.2374758679885729,0.4820752501904183,0.0638104390816551,0.008883731401203606,0.2756042279220154,0.008883731401203606,0.00888373140120361,0.2756042279220154,0.048195565279604106,0.07031910030287201,0.05011657846478807,2.544865470322699e+18,0.03996221881506128,0.030105261794909584,0.008149097800020428,0.01863734104331401,0.04345235059951493
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.011725968513906919,0.03711786504794533,0.04311427585404297,0.027667469813839243,0.022326307843367796,0.02985433257467514,0.02267807494725521,0.029387859899375406,0.010337727428757703,0.04772224673814249,0.09711011442991407,0.025172502958811748,0.031595094286403884,0.03348717811253191,0.06162257520084547,0.02343247072412066,0.1223987673891497,0.18035732379681574,0.04745641795086071,0.005180495410133088,0.14194198839617345,0.005180495410133088,0.005180495410133087,0.14194198839617345,0.028325460745498614,0.06162257520084547,0.0334871781125319,2.544865470322699e+18,0.010843098863034242,0.013824353227464498,0.011674114043475278,0.016546910787886133,0.029394400328022895
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.012878400425720008,0.03912249511880163,0.044899160745098955,0.03545180740997,0.01694961204880393,0.029505012844143065,0.019407918048024587,0.03520504339769571,0.010951653828580647,0.054159798638397615,0.11284821570999005,0.033683168114286705,0.038107325084472565,0.03276545671858854,0.06589037775361796,0.029553498833407035,0.15746776637679905,0.2951345066844062,0.052600658838256716,0.006494316244465406,0.19225954980530965,0.006494316244465406,0.006494316244465405,0.19225954980530965,0.035472555783014025,0.06589037775361796,0.032765456718588534,2.544865470322699e+18,0.010909426080664465,0.010809173297301128,0.012281237945096318,0.012217540947879456,0.03994140678775979
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.013127733562233701,0.04149750582713346,0.045877178183999355,0.033397849766996696,0.02070019420290804,0.031953667368189186,0.01940232772307547,0.03609520768321366,0.010334187784963707,0.08312889447879504,0.17328084611655528,0.02692297091451043,0.03874878438517468,0.04367812100631219,0.10038178125571706,0.01852152973293501,0.13844324282105522,0.14321483731343104,0.06715783218216094,0.004111781089053954,0.11560695025358947,0.004111781089053954,0.004111781089053952,0.11560695025358947,0.02217069510912635,0.10038178125571706,0.04367812100631218,2.544865470322699e+18,0.011365037434908968,0.01395386458733529,0.012548943037575531,0.014222988970952182,0.03855051747257975
Adult Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.010292662828780535,0.034154698781048175,0.04859161394741015,0.032404821495749386,0.02111655855255284,0.02591231559937153,0.023143890792914696,0.025516022789967955,0.010875991570360014,0.04439064699914663,0.09136584671676022,0.02450767248949412,0.02925059293686654,0.03185604651697812,0.05989626435914726,0.024348249886550776,0.11729512637589924,0.20007361015448155,0.046689109838253966,0.005368614790750748,0.15083147965775207,0.005368614790750748,0.005368614790750748,0.15083147965775207,0.0294284859115599,0.05989626435914726,0.031856046516978105,2.544865470322699e+18,0.011844188625706967,0.012165072162689576,0.013170520968445747,0.013149901772748043,0.03305240349991578
