data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8275560330499999,0.6764748467499999,0.547678148825,0.6017959232,0.19526404665000002,0.147779809075,0.20328102475,0.87057494,0.8203263437749999,0.0014426545250000003,0.01445725185,-0.055501215699999995,0.05024859625,0.025391494525000002,0.05064488825,0.055501215699999995,0.7291827964,0.392534502625,0.036920478925,0.0068564093000000005,0.323333380125,0.0068564093000000005,0.0068564093000000005,0.323333380125,0.067695984725,0.05064488825,0.025391494525000002,4.9188907e+18,0.13120202639278764,0.06406202025721236,0.10838194652001217,0.6963540068299878,0.5004494068362597
Adult Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.82656585805,0.672919843825,0.5474804201,0.600354168,0.196192815425,0.14378405292500002,0.2050401373,0.867713073875,0.8196356283,-0.012191410175,-0.010482319600000001,-0.0612560844,0.048077445675000004,0.029828977175,0.05211397125,0.0612560844,0.70461880835,0.44892301139999996,0.034456555075,0.007566808475000001,0.360357832625,0.007566808475000001,0.007566808475000001,0.360357832625,0.07459229642500001,0.05211397125,0.029828977175,4.9188907e+18,0.1311713232712503,0.0650214921537497,0.10841264963928024,0.6953945349357198,0.49794537772362224
Adult Dataset,nn keras,['race'],FairBalance Bias Mitigation,{},0.80565704645,0.5708422272,0.763603970075,0.65297848265,0.32067853855,0.2093395769,0.339433308675,0.843924109225,0.79919007985,-0.08066776865,-0.096199388425,-0.1300937317,0.044734029375,0.08066776865,0.096199388425,0.1300937317,0.61692079865,0.634549509475,0.158880871875,0.016045591875,0.487200065025,0.016045591875,0.016045591875,0.487200065025,0.179717560425,0.096199388425,0.08066776865,4.9188907e+18,0.18295977894592724,0.13771875960407276,0.05662419404204953,0.6226972674079505,0.5328686923415421
Adult Dataset,nn keras,['race'],FairMask Bias Mitigation,{},0.8515274791999999,0.737901608525,0.5974782788249999,0.656816256925,0.19513355845,0.12259708972500001,0.20736614752500002,0.895428744225,0.844116389525,-0.0346790165,-0.041548900124999996,-0.084769057725,0.051312354675000005,0.04152454305,0.065212199625,0.084769057725,0.5949643100750001,0.710302684075,0.0,0.010463743175,0.5279682745,0.010463743175,0.010463743175,0.5279682745,0.102150543375,0.065212199625,0.04152454305,4.9188907e+18,0.14312250535698795,0.05201105309301204,0.09646146759244115,0.7084049739575589,0.5712142797136768
Adult Dataset,nn keras,['race'],LFR,{'c': 'LFR'},0.8438670556750001,0.7102192923999999,0.592877328275,0.6445203535,0.200460546575,0.141967493375,0.21033346014999998,0.8839581706249999,0.837116668525,-0.0112960503,-0.0062735680250000005,-0.068365966725,0.046841502075,0.032415344,0.055117571525,0.068365966725,0.677821801325,0.5092794767,0.055457476250000005,0.0084443213,0.40028779317499996,0.0084443213,0.0084443213,0.40028779317499996,0.08304840534999999,0.055117571525,0.032415344,4.9188907e+18,0.14195578757552174,0.058504758999478254,0.09762818546231423,0.7019112679626858,0.5505626230093751
Adult Dataset,nn keras,['race'],No Bias Mitigation,{},0.850882714075,0.729061875225,0.6094043948750001,0.6605602675,0.201565858225,0.1133016828,0.216417469625,0.8959472347749999,0.8432623856499999,-0.063467112,-0.086670225075,-0.103115786775,0.052684848975,0.06419923665,0.092559536825,0.103115786775,0.5271893802250001,0.9290046801999999,0.025782929175000004,0.012708507975,0.64868053455,0.012708507975,0.012708507975,0.64868053455,0.1242021589,0.092559536825,0.06419923665,4.9188907e+18,0.1460162726837133,0.05554958554128668,0.09356770037392662,0.7048664414010734,0.5722316696244856
Adult Dataset,nn keras,['race'],Reweighing Bias Mitigation,{},0.8326988025500001,0.666435118725,0.604508931175,0.6336666292,0.217416334075,0.15932924607500001,0.22718311407499997,0.8665437007250001,0.827017321175,-0.017408714999999998,-0.020839100699999998,-0.067853868125,0.0395263795,0.02630991605,0.0412919477,0.067853868125,0.7021384712,0.44043659814999997,0.138271415425,0.008358113300000001,0.359386779725,0.008358113300000001,0.008358113300000001,0.359386779725,0.08404396277500001,0.0412919477,0.02630991605,4.9188907e+18,0.14484955482171097,0.072566779253289,0.09473441822808391,0.687849247696916,0.5268619226883634
Compas Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}""}",0.670166898525,0.6830114337500001,0.7457066968,0.710977786525,0.5984700974,0.5840765302,0.626404011075,0.6647993247249999,0.680486543075,-0.015773306974999998,-0.014907208075000001,-0.042327480875000004,-0.015687218325,0.027021438525000004,0.036500545775,0.043394174125000004,0.934439316675,0.075412092,0.13588317105,0.00972626565,0.071511565575,0.00972626565,0.00972626565,0.071511565575,0.11428787705000001,0.036500545775,0.027021438525000004,4.18151069e+18,0.40768428377193155,0.19078581362806846,0.1390472879153911,0.26248261468460893,0.3319974914670686
Compas Dataset,nn keras,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}""}",0.67002781635,0.6835375671249999,0.7437731923500001,0.710285769375,0.596522948575,0.5828128568750001,0.6230769138750001,0.664760427625,0.680099828975,-0.0134409479,-0.012903813024999999,-0.040264056925,-0.015339401275000001,0.024764996,0.037897452575000004,0.042742634125,0.9366698876999999,0.074582219325,0.137343532675,0.00958592625,0.07093924139999999,0.00958592625,0.00958592625,0.07093924139999999,0.11156358822499998,0.037897452575000004,0.024764996,4.18151069e+18,0.40664116834670966,0.18988178022829033,0.14009040337623735,0.26338664804876266,0.33195022754972253
Compas Dataset,nn keras,['race'],FairBalance Bias Mitigation,{},0.621557719025,0.645697404475,0.6824530391,0.662952274325,0.577955493825,0.55457969755,0.6231369676,0.625628023375,0.6138463723,-0.053967902400000003,-0.023710786225,-0.06855727002499999,0.01178165115,0.061880817600000006,0.054357594375,0.072514352675,0.8931835531499999,0.135250577325,0.320445062625,0.016263509274999997,0.123658022525,0.016263509274999997,0.016263509274999997,0.123658022525,0.1788340368,0.054357594375,0.061880817600000006,4.18151069e+18,0.3731223922505934,0.20483310157440657,0.1736091794627594,0.24843532671224064,0.23252509132748242
