data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}""}",0.8043751918943813,0.6267699026294886,0.4783448173030176,0.5396555063300188,0.18528553883942275,0.1660626364512289,0.16955072357776582,0.18854117520229935,0.1930254220492849,0.8402308517026856,0.847454524109285,0.7982467301374226,0.7829543527231484,0.02752987387755739,0.08046814010729567,0.0456452068083632,0.11609625545791527,-0.02247853875107043,-0.023474698471519083,0.04198412156526299,0.06450017138613645,0.037695929019583206,0.08104743577654071,0.06859337973490673,0.12348822383174722,0.025071737123866882,0.02768549647132293,0.8817315292951994,0.8798536754034828,0.1604369350756754,0.18125541960809013,0.03656739330672394,0.11722443966840648,0.003114908311603715,0.006122916664506322,0.00717104295049914,0.3496182634766855,0.250658152051666,0.1462754524169452,5.37608237663704e+18,0.11548971446116056,0.06979582437826219,0.12582898372735646,0.6888854774332208,0.4265864465899457
Adult Dataset,nn keras,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.8000307031010132,0.6138107912621443,0.4739643489059481,0.531468506077592,0.1874194043598403,0.16665661223116773,0.17171767597254556,0.1909427697308818,0.19519824051797702,0.8374517380002848,0.8378749280593547,0.7936319973442385,0.7811860649548248,0.02410621524977686,0.06399672060374764,0.0414325287832503,0.07940803342888905,-0.024286157499714075,-0.02348056454543145,0.04381974065604634,0.05668886310452993,0.03553870047919115,0.06551054116678853,0.06542940580118259,0.09697546604253789,0.02623442733027262,0.027014950791195307,0.8747785774358803,0.8846317061809084,0.16938936583298808,0.172089475571043,0.033381946576604184,0.1148910039914031,0.0032544462228633747,0.005980496507887507,0.007156660004115703,0.32434284288619075,0.22462775466648238,0.12981166743426442,5.37608237663704e+18,0.11438440282468527,0.07303500153515503,0.12693429536383175,0.685646300276328,0.41505600064869286
Adult Dataset,nn keras,"['race', 'sex']",FairBalance Bias Mitigation,{},0.8124808105618667,0.5886004116922657,0.7484163358325999,0.6582052699032616,0.30733036536690206,0.20914801422849552,0.15969373626652103,0.32406617523415815,0.380476474010894,0.8508689370473057,0.8819473774239242,0.8059546310149148,0.7780278115570645,-0.06074941207933943,-0.09352608946950666,-0.06415935949563163,-0.06822320427046666,-0.11491816100566259,-0.22078273774437296,0.04491430603239084,0.10391956586685976,0.061031481439981806,0.09352608946950666,0.0728507419208169,0.07117383174899419,0.11491816100566259,0.22078273774437296,0.647136309284752,0.42015064583520545,0.559543455205157,1.397173084787821,0.15124347559103465,0.1688440282468529,0.01429519462061305,0.04889656429754422,0.050016492193804864,1.3289494563389486,0.22555359155142063,0.17681232836820476,5.37608237663704e+18,0.1805649370586429,0.12676542830825913,0.060753761129874115,0.6319158735032239,0.5396163640218432
Adult Dataset,nn keras,"['race', 'sex']",FairMask Bias Mitigation,{},0.8523718145532699,0.7372378229465758,0.6095108502791284,0.6651104243760074,0.2004451949646914,0.1326927597594431,0.07215179968666609,0.2119953368034014,0.26403181600809245,0.896779911043174,0.9280027353807843,0.8447795684928441,0.8148612830278987,-0.023221158013722373,-0.10572934271608977,-0.01792770692067305,-0.12817763724074926,-0.07930257704395828,-0.19188001632142634,0.052000342550329884,0.11314145235288545,0.03068693214525245,0.10572934271608977,0.04897696953546074,0.12817763724074926,0.07930257704395828,0.19188001632142634,0.6267456679546786,0.2723951309773078,0.611502449200165,2.753506373670749,0.0,0.0,0.009865591212861059,0.042500343371339955,0.042016816664402615,1.9264915485855993,0.22933838569999482,0.15390468460474824,5.37608237663704e+18,0.14706785385323914,0.053377341111452245,0.09425084433527785,0.7053039607000308,0.5774693136868744
Adult Dataset,nn keras,"['race', 'sex']",No Bias Mitigation,{},0.8531777709548665,0.7453565353711145,0.6016547238416353,0.662970526905605,0.19589346023948415,0.11612306259180354,0.07096786412540097,0.20949342825696382,0.2578250608988847,0.8984368089842982,0.9285634093443189,0.8454590156270807,0.8157715388138383,-0.04941349303200339,-0.10063743206693272,-0.0616007748107259,-0.12211848013985505,-0.0933703656651602,-0.18685719677348364,0.052977793357217494,0.11279187053048056,0.05265416819383719,0.10063743206693272,0.07446345473549609,0.12211848013985505,0.0933703656651602,0.18685719677348364,0.555011447813666,0.27541698935166964,0.8344466392751094,2.6851375018130277,0.0243705864292293,0.020310101320233295,0.011616212368551418,0.041391249229712226,0.042596091420769214,2.0567479718842674,0.23348757308677795,0.15863862159664072,5.37608237663704e+18,0.1451949646914338,0.05069849554805035,0.09612373349708318,0.7079828062634326,0.5779731712951882
Adult Dataset,nn keras,"['race', 'sex']",Reweighing Bias Mitigation,{},0.8347405587964385,0.684980360266197,0.5846326382998766,0.6304296188967712,0.20610224132637392,0.15861473926174102,0.12108803252936959,0.21418385899025005,0.24828783025079618,0.8660524235306338,0.9031066047922671,0.829393375392409,0.8008119498800909,-0.006951792527705417,-0.0052925286940901225,-0.007176138838290118,0.030093288046201004,-0.05556911972850901,-0.1271997977214265,0.03665904813822481,0.10229465491217622,0.03204101164794006,0.021653834153156873,0.05882083058760649,0.043251412342371884,0.055587064238127405,0.1271997977214265,0.7435564781864518,0.4884600128432372,0.37027480871437,1.0639483624908208,0.13431839115750688,0.1610761436905127,0.0069071207155999735,0.02818566590331545,0.027215504000782754,1.1232417584232226,0.1810736744459527,0.10153348345960334,5.37608237663704e+18,0.14108074915566468,0.06502149217070922,0.1002379490328523,0.6936598096407738,0.5279058269281457
Compas Dataset,nn keras,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}""}",0.66776773295,0.691325731125,0.721275267675,0.704390316175,0.57642559105,0.560563854125,0.6090966823999999,0.607113933325,0.568505905225,0.661669509675,0.6752245003999999,0.67949827735,0.66592640375,-0.017582754175,0.005411185899999999,-0.022620864075,-0.0017995481749999997,-0.046550079300000005,0.040590777225,-0.01782876775,0.009298096775,0.032687007925,0.0376884095,0.042392220275,0.043698778475,0.05351939535,0.05318141697499999,0.9237117145499999,1.07283105515,0.0998472532,0.08543625657500001,0.132614742675,0.0776425591,0.0120103838,0.008237468575,0.0166541576,0.293359304825,0.11941099822500001,0.0967228949,4.804522925000001e+18,0.39777468707473296,0.17865090397526703,0.15358136302442246,0.26999304592557755,0.32668992498244187
Compas Dataset,nn keras,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.666168289225,0.691103419125,0.717245869,0.7020969102250001,0.57357440885,0.557739284075,0.60384307865,0.604012022625,0.566154208025,0.661754987675,0.668633298925,0.67450463495,0.665459497625,-0.018300625325,0.003973467399999998,-0.018856807475,-0.0085257308,-0.0462727382,0.03768887065,-0.012749647324999999,0.0031738013499999994,0.034317294825,0.0388281645,0.046764777575,0.043265151550000006,0.05341469875,0.05417998235,0.923365962775,1.06746142225,0.10129398734999999,0.088352242025,0.1332058414,0.075591098725,0.01200656395,0.008412288399999999,0.016604008849999997,0.3139128361,0.12728635645,0.10640462675,4.804522925000001e+18,0.39554937413823377,0.17802503471176628,0.15580667597765901,0.27061891517234093,0.32410398947332375
Compas Dataset,nn keras,"['race', 'sex']",FairBalance Bias Mitigation,{},0.62413073715,0.653929747975,0.6767243924999999,0.664492085125,0.5707579972000001,0.546214162025,0.62933522765,0.6182104927500001,0.556862768175,0.62521376155,0.6368939056749999,0.622128503075,0.62076644905,-0.055492500425,0.046388983300000006,-0.033319792274999996,0.038229629924999994,-0.07199633065,0.072472459525,0.0030852585999999993,0.0161274567,0.056417103324999995,0.05410945705,0.041421532425000004,0.049616781474999996,0.07230435895000001,0.072933421525,0.8852353416,1.1320806474,0.13521399605,0.11369049915,0.32117524340000003,0.319228094575,0.016230237825,0.011286538025,0.02228151635,0.35983820375,0.12924259362499999,0.123642760825,4.804522925000001e+18,0.37312239220499943,0.1976356049950006,0.17823365785737116,0.2510083449426288,0.23781572612868876
Compas Dataset,nn keras,"['race', 'sex']",FairMask Bias Mitigation,{},0.67454798325,0.6995316865000001,0.72082152175,0.7085479716,0.569158553525,0.5032213514999999,0.67508979255,0.695905926225,0.544023163625,0.668878909,0.6884267739000001,0.6854927432,0.6710384783000001,-0.16725324145,0.09844558935,-0.1484922487,0.078016490475,-0.1926845747,0.131066628925,-0.016613834175,0.01738829555,0.16725324145,0.09844558935,0.1484922487,0.081850019825,0.1926845747,0.131066628925,0.72211217645,1.24156554475,0.394083873875,0.19013617235,0.0,0.0,0.043327011025,0.020291230875,0.05016829125,0.7742442809,0.21469166882500001,0.23707175867500002,4.804522925000001e+18,0.3975312934396179,0.17162726008538207,0.15382475660182057,0.2770166898731794,0.3412071301972409
