data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.67180111265,0.673926615125,0.7848799498,0.72480596295,0.642280945825,0.6268715270999999,0.6876479182499999,0.672035496725,0.631340387725,0.66345124245,0.69238369025,0.688009161,0.6668785609250001,-0.018072189175,0.022983606499999996,-0.0170638704,0.012405537375,-0.045163969675000006,0.0563075305,-0.0245579192,0.025505129375,0.038021308775,0.0430653005,0.04379755395,0.038324757625,0.053063764475,0.06331374745,0.93546362925,1.0898641831,0.08618954405,0.08942229545,0.1298331015,0.0713838664,0.011914291050000001,0.0098495824,0.081534483725,0.094947793475,0.019927567075,0.019927567075,0.216064553325,0.44006372672499994,0.129061139425,0.122881237325,4.804522925000001e+18,0.43271905427777435,0.20956189154722563,0.11863699583665059,0.23908205833834942,0.3301150237122118
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}""}",0.671418637,0.673725570425,0.784066844025,0.72435446315,0.64175938805,0.6254611089,0.695376476825,0.673266108225,0.628939763025,0.662718257875,0.6905815010749999,0.6882375312,0.6667870812750001,-0.02043497625,0.0340515297,-0.020301951675,0.020039840275,-0.0478049993,0.066436713775,-0.0255192733,0.0237944199,0.037021485849999994,0.043465000250000004,0.041544602225,0.037681202675,0.056901984800000006,0.067334451125,0.9310959168249999,1.106329964,0.09224028775000001,0.094178356525,0.12785118225,0.066063977775,0.012773110575,0.010468584275,0.0876115286,0.10062660779999999,0.019573671875,0.019573671875,0.199516292025,0.410911144875,0.10773192194999999,0.1112857273,4.804522925000001e+18,0.4322670374845793,0.20949235056542065,0.11908901251225287,0.2391515994377471,0.32927114603661334
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.670931849775,0.673857950925,0.7817695622999999,0.72349978795,0.6398122391750001,0.6233832104,0.6878506986499999,0.6716765957249999,0.628272922525,0.662143742875,0.68912875765,0.6877757076,0.6665349726249999,-0.0209792881,0.027228385325,-0.021268218125,0.014026183449999998,-0.048293385275,0.059577776175,-0.025631965075000002,0.02259378505,0.03308638745,0.042351899575000004,0.040012640875,0.0425644741,0.053667886275,0.063370158425,0.9301676728249999,1.09589887165,0.08762987157499999,0.0893546837,0.1294506259,0.0665855355,0.012036739675,0.009858577225,0.0828750653,0.095351582375,0.0191577797,0.0191577797,0.20130226355,0.409681687675,0.12305720735,0.11242560534999999,4.804522925000001e+18,0.43105006948583585,0.2087621696891641,0.12030598048975574,0.23988178033524427,0.3280713083681624
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Pos Y vec loss: {'weight': 1200000}""}",0.66968011125,0.6737322532000001,0.7781848736,0.72180477475,0.636961057125,0.62315746165,0.66854294635,0.66361489985,0.6294034748499999,0.66099409605,0.68860896735,0.686499918425,0.66512865295,-0.013173856500000001,0.005316002125000001,-0.014859223324999999,-0.0013598151749999998,-0.040457437825,0.0391394714,-0.0255058224,0.0234803144,0.032268922150000004,0.041653982675,0.041064872175,0.040560630025,0.048993435775,0.053263145,0.9413284774000001,1.0628151329,0.07988834980000001,0.077488920525,0.135118219775,0.085917941575,0.010999087825,0.0082174466,0.07599548107500001,0.08120825675,0.0158069951,0.0158069951,0.1784837463,0.34952985605000003,0.11418653777500001,0.10475198635,4.804522925000001e+18,0.42899860925314204,0.20796244787185797,0.12235744094438598,0.24068150193061402,0.3258599760636111
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}""}",0.671731571525,0.674303697825,0.783623081025,0.7244753364500001,0.64095966625,0.614092682075,0.6986407619499999,0.6926080247499999,0.627178732175,0.663777912775,0.6923835191000001,0.687124333125,0.66674982335,-0.0525228856,0.03867269225,-0.044893517975000005,0.025785040199999998,-0.078515342775,0.07146202985,-0.0233464204,0.025633695800000002,0.05701106015,0.05134935745,0.055926507975000005,0.045978456550000005,0.07992618407499999,0.0749034597,0.8884395393,1.1149779523499999,0.1322905138,0.104204497225,0.099165507725,0.06310848405,0.01797055295,0.011634339975,0.12248382195,0.11179266942499999,0.025028096774999998,0.025028096774999998,0.22139709245,0.457640867775,0.1166135693,0.12060514265,4.804522925000001e+18,0.4320236439574245,0.20893602229257552,0.11933240606953824,0.23970792768046176,0.32995954490813884
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.67020166895,0.67377885645,0.779958010375,0.7226002664,0.638386648125,0.623099612575,0.67930515695,0.667813137775,0.6284880883999999,0.6632670171,0.689537724225,0.6836203623,0.6655174903,-0.018166779325,0.017048550075000002,-0.014269766425,0.0084233353,-0.0447135251,0.050817068575,-0.0203533453,0.02402023395,0.032890995875,0.042459484025,0.041520361775,0.0407549061,0.051435723749999995,0.059825528174999996,0.9350199806000001,1.08145391695,0.08382195035,0.08550740572500001,0.128998609175,0.07506954095,0.01156871605,0.0093292337,0.079431221325,0.090365828325,0.0196227568,0.0196227568,0.216125238075,0.4344795607,0.13588485857500002,0.12063011272499999,4.804522925000001e+18,0.4299721835399651,0.2084144645850349,0.1213838664586288,0.2402294854163712,0.3269271024974749
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}""}",0.6714186369,0.6738702060249999,0.7834777527,0.72428877085,0.641203059825,0.62452918785,0.692635047775,0.6734374010249999,0.628810271475,0.6623042478250001,0.691347019475,0.6889366168250001,0.6666023507000001,-0.021591914425,0.031467123925,-0.022271658875,0.0188852144,-0.048908213150000004,0.0638247763,-0.026632369,0.024744668650000003,0.040250131325,0.048422109725,0.041699392375,0.039938872949999996,0.057619018349999995,0.06827283205,0.93056342585,1.1023751227,0.09362008232499999,0.095376157975,0.128998609225,0.06592489565000001,0.012931633125,0.0106287998,0.0883790258,0.10200677555,0.0196282698,0.0196282698,0.20715026860000002,0.42718232284999996,0.11823389660000001,0.11610923797499999,4.804522925000001e+18,0.4319888734175386,0.20921418640746134,0.11936717661882038,0.23942976355617965,0.32892344919806504
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.670792767725,0.6727847041,0.784939943825,0.72417440015,0.643428372725,0.62820290395,0.69452030435,0.672687665275,0.6310976509249999,0.662120663775,0.693690073225,0.687615680275,0.6652101619749999,-0.017591615050000002,0.0299580389,-0.017510610949999998,0.0210229344,-0.044484761375,0.063422653525,-0.025495016475,0.028479911175,0.03666274925,0.0471620829,0.04014110135,0.0437416385,0.054416590875000004,0.067224831275,0.9366059063750001,1.101343991675,0.087460614725,0.093712106525,0.13035465925,0.0649165508,0.012220360874999999,0.01049643975,0.0833014221,0.10017757494999999,0.0195967878,0.0195967878,0.21054277402500002,0.437559017275,0.12022522367499999,0.121298089775,4.804522925000001e+18,0.4327885952401311,0.21063977748486887,0.11856745477284732,0.23800417250215267,0.3279850295369824
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}""}",0.67023643945,0.673464772275,0.780594419775,0.72281862155,0.6390472879,0.6218606957999999,0.677534603975,0.6721299413499999,0.6298403898,0.6618500323500001,0.68728500315,0.686469803225,0.66606724115,-0.023151682725,0.014839767425,-0.022464441225,0.0028543348749999987,-0.0502692456,0.047694214125,-0.02461977085,0.021217761975,0.038352785774999995,0.040535914525,0.045657212825,0.042560910375,0.057023661749999996,0.056787853725000004,0.927720165525,1.076159592475,0.0932346836,0.08077078495,0.128059805225,0.08059805285,0.01280962205,0.008791136974999999,0.087864803125,0.08540395065,0.01800169655,0.01800169655,0.19317013114999998,0.39119418029999997,0.11248686557500001,0.109158975325,4.804522925000001e+18,0.4303198887290932,0.20872739917090674,0.12103616132828716,0.23991655077171284,0.32665921776477574
Compas Dataset,SupportVectorClassifier,"['race', 'sex']",FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8, 7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 15}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8, 7]}""}",0.669158553525,0.672893233575,0.77889182455,0.721719568575,0.6383171071,0.62572782,0.6683236985,0.6625281482500001,0.6310683126,0.659610204975,0.6862614942,0.687694500025,0.6650239036750001,-0.009030150875,0.003939035125,-0.013969898824999999,-0.0046486841499999996,-0.03680032835,0.03725538585,-0.028084295,0.02123759065,0.032354822325,0.035771015475,0.040818098025,0.0362922578,0.045723006450000006,0.04777934135,0.9466631268500001,1.059675728575,0.074468631675,0.0696137289,0.13710013907500002,0.08859527122500001,0.0102714711,0.007416855075000001,0.071011109,0.07277761845,0.01472485355,0.01472485355,0.17044890702499998,0.332951067625,0.1078677061,0.100635194725,4.804522925000001e+18,0.42941585541178895,0.20890125168821103,0.12194019472582018,0.23974269817417984,0.32449062377544846
