data,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,TP,FP,FN,TN,MCC
Adult Dataset,FYP VAE,"'Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",0,0,1,0,15,28,29,12,3,0,0,0,0,36,40,34,39,40,40,16,11,12,10,12,12,0,0,40,40,0,0,26,29,0,0,0,0,12,10,1,27,29,3,0
Adult Dataset,FYP VAE,"'Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",0,0,2,0,19,37,40,15,4,0,0,0,0,38,39,34,37,40,40,9,2,12,8,17,13,0,0,40,40,0,0,26,40,0,0,0,0,20,15,2,37,38,3,0
Adult Dataset,FYP VAE,"'Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'",0,0,3,0,17,37,40,13,4,0,0,0,0,39,40,37,38,40,40,15,2,12,12,18,18,0,0,40,40,0,0,27,40,0,0,0,0,22,15,3,35,37,4,0
Adult Dataset,FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",0,0,2,0,16,36,38,14,4,0,0,0,0,39,40,36,40,40,40,11,2,12,10,16,14,0,0,40,40,0,0,36,38,0,0,0,0,22,16,2,36,36,2,0
Adult Dataset,FYP VAE,"'Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",0,0,2,0,19,39,40,13,2,0,0,0,0,39,40,36,38,39,40,5,1,15,19,15,24,1,0,39,40,1,0,33,40,1,0,0,0,26,24,2,39,38,1,0
Adult Dataset,FYP VAE,"'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",0,0,3,0,12,26,28,8,5,0,0,0,0,39,40,34,39,40,40,18,13,7,9,11,10,0,0,39,40,1,0,23,28,0,0,0,0,17,13,3,26,25,2,0
Adult Dataset,FYP VAE,"'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",0,0,1,0,14,35,40,6,2,0,0,0,0,38,40,36,38,40,40,15,3,11,9,12,16,0,0,40,40,0,0,24,40,0,0,0,0,20,15,1,32,39,8,0
Adult Dataset,FYP VAE,"'Reconstruction loss', 'KL divergence loss'",0,0,2,0,13,37,40,11,5,0,0,0,0,38,40,37,39,40,40,14,2,11,3,16,8,0,0,40,40,0,0,31,40,0,0,0,0,14,10,2,35,38,5,0
Adult Dataset,FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",0,0,2,0,16,38,40,13,3,0,0,0,0,38,40,35,35,40,40,10,0,15,9,20,14,0,0,40,40,0,0,36,40,0,0,0,0,19,16,2,36,38,4,0
Adult Dataset,FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",0,0,3,0,15,39,40,12,3,0,0,0,0,39,40,36,40,40,40,12,0,16,13,22,18,0,0,40,40,0,0,36,40,0,0,0,0,21,18,3,36,37,4,0
Adult Dataset,FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",0,0,3,0,15,38,40,12,4,0,0,0,0,39,40,37,39,40,40,13,3,14,9,17,15,0,0,40,40,0,0,35,40,0,0,0,0,17,14,3,37,37,3,0
Adult Dataset,FairBalance Bias Mitigation,{},0,0,40,15,40,40,40,40,40,0,0,0,0,14,23,18,34,11,7,15,10,24,17,23,7,29,33,36,40,4,0,40,40,29,33,32,0,17,22,40,40,0,0,1
Adult Dataset,FairMask Bias Mitigation,{},19,18,22,20,22,28,20,20,22,20,22,18,17,36,17,34,15,31,20,19,22,6,23,11,25,9,20,37,15,3,25,0,0,9,20,17,12,19,17,22,21,18,19,15
Adult Dataset,No Bias Mitigation,{},40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Adult Dataset,Reweighing Bias Mitigation,{},0,3,16,3,23,39,40,20,17,1,0,1,6,35,40,32,40,36,39,5,9,11,1,14,5,4,1,40,40,0,0,40,40,4,1,1,0,12,4,16,34,24,6,0
Compas Dataset,FYP VAE,"'Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",6,18,17,12,17,26,4,3,22,9,9,13,16,40,0,39,0,40,0,21,7,0,0,3,3,0,0,40,0,0,0,40,27,0,0,0,0,4,0,17,18,23,22,8
Compas Dataset,FYP VAE,"'Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",7,19,16,13,17,28,5,3,22,10,8,14,14,40,0,40,1,40,0,20,9,0,0,2,5,0,0,40,0,0,0,40,27,0,0,0,0,2,0,16,19,24,21,6
Compas Dataset,FYP VAE,"'Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'",6,19,17,10,18,28,4,3,22,8,7,14,13,40,0,40,0,40,0,20,7,0,0,2,4,0,0,40,0,0,0,40,29,0,0,0,1,2,0,16,20,24,20,4
Compas Dataset,FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",8,21,14,12,16,28,2,2,22,11,10,17,14,40,0,39,0,40,0,18,9,0,0,3,4,0,0,40,0,0,0,40,33,0,0,0,0,0,0,14,19,26,21,8
Compas Dataset,FYP VAE,"'Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",9,19,15,13,16,26,5,5,21,7,9,16,16,40,0,39,0,40,0,21,8,0,0,2,3,0,0,39,0,1,0,40,19,0,0,0,0,1,0,15,19,25,21,7
Compas Dataset,FYP VAE,"'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",5,17,16,13,17,26,4,4,22,10,8,12,16,40,0,40,0,40,0,24,8,0,0,2,4,0,0,40,0,0,0,40,24,0,0,0,0,4,0,16,18,24,21,7
Compas Dataset,FYP VAE,"'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",5,17,15,11,16,30,5,3,22,7,8,16,15,40,0,40,0,40,0,17,8,0,0,2,2,0,0,39,0,1,0,40,25,0,0,0,0,0,0,14,20,25,20,5
Compas Dataset,FYP VAE,"'Reconstruction loss', 'KL divergence loss'",5,17,16,12,18,28,4,3,24,7,8,16,13,40,0,40,0,40,0,17,7,0,0,2,3,0,0,40,0,0,0,40,27,0,0,0,0,1,0,16,18,24,22,6
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",5,18,16,10,18,27,3,3,22,9,9,13,12,40,0,40,0,40,0,20,8,0,0,2,3,0,0,40,0,0,0,40,29,0,0,0,0,1,0,16,18,24,21,5
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",8,18,16,12,15,28,2,3,25,8,7,15,13,40,0,40,0,40,0,17,8,0,0,2,3,0,0,40,0,0,0,40,35,0,0,0,0,2,0,16,17,24,23,8
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",6,20,15,10,16,28,3,3,20,10,7,14,10,40,0,40,0,40,0,21,9,0,0,2,3,0,0,40,0,0,0,40,35,0,0,0,0,2,0,14,17,25,23,5
Compas Dataset,FairBalance Bias Mitigation,{},1,4,5,2,18,27,2,3,20,3,5,0,1,40,1,38,2,40,0,30,14,0,1,2,2,0,0,40,0,0,0,40,40,0,0,0,0,4,0,5,27,35,13,1
Compas Dataset,FairMask Bias Mitigation,{},16,21,13,12,15,16,8,15,18,15,12,18,22,28,3,24,4,28,3,21,8,12,3,17,5,12,3,20,5,20,5,0,0,12,3,3,5,12,7,13,16,27,23,15
Compas Dataset,No Bias Mitigation,{},40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Compas Dataset,Reweighing Bias Mitigation,{},0,1,10,1,22,32,8,8,26,0,1,2,0,40,0,37,3,40,0,23,18,0,0,3,6,0,0,40,0,0,0,40,40,0,0,0,0,0,1,10,36,30,4,0
,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
