data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.010700075600489252,0.02286827814903659,0.0438390004105104,0.027167555919062832,0.02263487081968453,0.026370426114322654,0.023567782308074766,0.023727459577443488,0.012764381709842463,0.031088271778712404,0.06544868312571697,0.02025900742141323,0.028618383954931263,0.030127156362337554,0.043351738729540616,0.013215135789442214,0.08381937562842526,0.05338347602396374,0.024199129026829958,0.0029198078913184487,0.053983901830581514,0.0029198078913184487,0.002919807891318448,0.053983901830581514,0.017628039768278668,0.043351738729540616,0.030127156362337554,2.544865470322699e+18,0.011769190032451422,0.013502957501028985,0.01085812153471422,0.016458884143538632,0.029161113121471897
Adult Dataset,DecisionTreeRegressor,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.016360084008797154,0.033222759882964616,0.04347695379553493,0.03120077583105545,0.022741560737834607,0.03277313307597945,0.023082007748967993,0.030356101623656505,0.01480575303448349,0.0478446369573991,0.08697169471979564,0.02973231771119183,0.028893921695204338,0.04094739416192138,0.05762452713471028,0.018801758204307722,0.12385264441859005,0.07020713717416201,0.024728381539688947,0.0041160205317722605,0.07380581397884121,0.0041160205317722605,0.004116020531772254,0.07380581397884121,0.02552166992514585,0.05762452713471028,0.04094739416192136,2.544865470322699e+18,0.010963034562293363,0.01677482866561152,0.011703581526160224,0.01814063065003498,0.038635707627541024
Adult Dataset,DecisionTreeRegressor,['sex'],FairBalance Bias Mitigation,{},0.006391946308692565,0.019122466104113247,0.017538427291272918,0.014266088745303617,0.008485476987457101,0.00901570758421344,0.011358219717297807,0.008939326349868966,0.008515928099845018,0.025286219769183417,0.04898375519044233,0.014181667370209013,0.012709255420923658,0.025286219769183417,0.04546374131143978,0.014181667370209013,0.028927476978622593,0.22209286028199746,0.01055483400116492,0.0031362315471420007,0.07967618380048735,0.0031362315471420007,0.0031362315471419972,0.07967618380048735,0.019597636134340773,0.04546374131143978,0.025286219769183424,2.544865470322699e+18,0.007215165924611024,0.006201800355883945,0.0052903857540958985,0.008784050309762093,0.01681808334462934
Adult Dataset,DecisionTreeRegressor,['sex'],FairMask Bias Mitigation,{},0.007836673619220594,0.0186584937056564,0.015907071815606317,0.013355586090745313,0.00794379841078346,0.007739777005567702,0.01061806621180065,0.00888051458351593,0.008916057471758821,0.02324195700376934,0.043812693434557494,0.012777942938501843,0.010022333820563462,0.02324195700376934,0.041432740019280705,0.012777942938501843,0.026734809769945383,0.18776431829579665,0.0,0.0029149536340718363,0.07064602621072721,0.0029149536340718363,0.002914953634071836,0.07064602621072721,0.017391401390848306,0.041432740019280705,0.02324195700376933,2.544865470322699e+18,0.006117544599044351,0.006078088672736212,0.00557704022029962,0.010092317180865005,0.017539747410842896
Adult Dataset,DecisionTreeRegressor,['sex'],LFR,{'c': 'LFR'},0.008510326234334894,0.01956158776505311,0.021049107301358918,0.016833430638758872,0.008311644094718094,0.011935534977256822,0.01280373659357367,0.011611894310603865,0.011500186024068337,0.03115864074610771,0.06026970975036497,0.020111138731230164,0.01693471303347545,0.03115864074610771,0.05471431607393428,0.020111138731230164,0.047985155400130916,0.2684233815885173,0.009085076736168558,0.0044485513149946105,0.11247084870155627,0.0044485513149946105,0.004448551314994622,0.11247084870155627,0.026346498490276198,0.05471431607393428,0.031158640746107705,2.544865470322699e+18,0.00680014995906486,0.006080076743451118,0.006685695262862818,0.009818836859821479,0.021188294094320496
Adult Dataset,DecisionTreeRegressor,['sex'],No Bias Mitigation,{},0.006873158942626155,0.01838956993299051,0.016579489035904817,0.013734237987759404,0.006830106370050208,0.009266190924951066,0.009859584749346314,0.007983496460694756,0.00837996619012978,0.0268437724512592,0.050097534585530956,0.015262617929905142,0.01059627171011576,0.0268437724512592,0.04567441603220337,0.015262617929905142,0.03442693144240226,0.2473838921228531,0.008861639932097605,0.00348333021422878,0.09187449322060298,0.00348333021422878,0.003483330214228779,0.09187449322060298,0.020024030600080085,0.04567441603220337,0.02684377245125921,2.544865470322699e+18,0.006398725820462256,0.005230392771947194,0.005596531154676458,0.008779360806166897,0.017164472581268287
Adult Dataset,DecisionTreeRegressor,['sex'],Reweighing Bias Mitigation,{},0.006185233494377992,0.018614038780768474,0.014504448869831979,0.013226349433573975,0.0069711063229645365,0.008621644537624425,0.009237299000967522,0.009232084987190312,0.00797403821481481,0.02980609873905869,0.05872879952600946,0.013027603876220007,0.01264934710842906,0.027414444229276934,0.03592239425616722,0.013027603876220007,0.034536772569899336,0.18396457478789954,0.008143749063658008,0.0029085770132989477,0.07932944366388765,0.0029085770132989477,0.0029085770132989425,0.07932944366388765,0.01669316514138512,0.03592239425616722,0.027414444229276927,2.544865470322699e+18,0.006488403659869759,0.0047134638496750675,0.005017500142279363,0.008953791179175571,0.01593024977402074
Adult Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.00890452364976608,0.028645707235937647,0.03831112595182826,0.028544405402861038,0.014911541752251,0.021200354585301118,0.01658807966003526,0.01961482468750894,0.010323440607866826,0.04256653838409199,0.08378792671911386,0.02220297179825654,0.023350529647292687,0.03780363870857437,0.06388313027584089,0.021739081716750593,0.11398694124808922,0.19429941851609064,0.0466562711174806,0.004801302471550689,0.14547207281428715,0.004801302471550689,0.004801302471550697,0.14547207281428715,0.025788661373062318,0.06388313027584089,0.03780363870857436,2.544865470322699e+18,0.0097102652637277,0.007859203485410344,0.010755854172569702,0.010616414643717983,0.028843826422016584
Adult Dataset,LogisticRegression,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.012290133212358114,0.03703786649509175,0.041133292717511004,0.03429354164130666,0.015190241922646645,0.020825648340487772,0.017130536654220534,0.025930605534815823,0.010954878607149924,0.04574106049334982,0.09902370325006883,0.022408844653876322,0.026382591829205996,0.03704618819882638,0.06472715353838764,0.019325468397112355,0.1183982240352735,0.15628768275675242,0.018753833379092175,0.0042815717755964365,0.12364272302352203,0.0042815717755964365,0.004281571775596429,0.12364272302352203,0.023063060684873984,0.06472715353838764,0.037046188198826394,2.544865470322699e+18,0.010049715677147004,0.009490316310598063,0.011728588708817433,0.01166089674966513,0.03791532767724884
Adult Dataset,LogisticRegression,['sex'],FairBalance Bias Mitigation,{},0.0054947521483777,0.014527294233139452,0.014659557583683211,0.012542889594691912,0.010137866451169295,0.012017181719316943,0.014402212351087728,0.009438804174486993,0.008004455304469582,0.021474330606358772,0.035324026513693575,0.02036655210827853,0.01403455922377802,0.012869342755663742,0.03241739320273109,0.02036655210827853,0.040179791167667483,0.12786696530620642,0.006937565669504321,0.004499601923216624,0.07145560175425548,0.004499601923216624,0.004499601923216625,0.07145560175425548,0.03051498742936246,0.03241739320273109,0.012869342755663732,2.544865470322699e+18,0.008750470110595692,0.005320290412269899,0.0034970998283483986,0.009933331960862912,0.013742629065138843
