bias mitigation,other,accuracy,precision,recall,f1score,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",19,31,14,4,45,58,1,5,1
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",19,29,8,4,60,74,2,4,2
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",18,29,8,2,42,71,2,3,2
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",20,31,12,2,46,65,2,4,2
FairBalance Bias Mitigation,{},2,2,203,117,104,80,147,52,147
FairMask Bias Mitigation,{},116,97,143,118,47,60,50,43,50
LFR,{'c': 'LFR'},59,36,44,65,54,78,26,8,26
No Bias Mitigation,{},204,204,204,204,204,204,204,204,204
Reweighing Bias Mitigation,{},100,143,32,58,42,56,13,23,13
,,204,204,204,204,204,204,204,204,204
