bias mitigation,other,accuracy,precision,recall,f1score,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",21,34,19,4,61,84,2,6,2
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",28,39,12,6,67,94,3,5,3
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",22,34,10,3,58,94,2,4,2
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",24,36,17,4,56,89,2,4,2
FairBalance Bias Mitigation,{},2,2,279,158,143,113,207,74,207
FairMask Bias Mitigation,{},158,134,195,165,65,78,74,63,74
LFR,{'c': 'LFR'},83,51,59,87,83,111,37,13,37
No Bias Mitigation,{},280,280,280,280,280,280,280,280,280
Reweighing Bias Mitigation,{},140,199,44,81,54,74,19,33,19
,,280,280,280,280,280,280,280,280,280
