time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[ERD] Error Rate Difference,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[ERD] Error Rate Difference,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[A_AOD] Absolute Average Odds Difference,VAR|sex|[A_EOD] Absolute Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-16 11:01:16.757038,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.65,0.7638888888888888,0.7534246575342466,0.03999999999999998,-0.08475232198142418,0.014705882352941124,0.08475232198142418,0.014705882352941124,-0.05333333333333323,0.009999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 11:01:16.741390,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.67,0.7702702702702703,0.7808219178082192,-0.0399999999999999,-0.1409498009730208,-0.097689075630252,0.1409498009730208,0.097689075630252,-0.1333333333333333,0.0249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 11:01:16.724008,1,German Dataset,EqOdds ALT,MLPClassifier,,['sex'],{'c': 'EqO ALT2'},0.72,0.7472527472527473,0.9315068493150684,-0.1066666666666666,-0.3970588235294117,-0.2941176470588235,0.3970588235294117,0.2941176470588235,-0.36,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 11:01:16.707846,1,German Dataset,EqOdds,MLPClassifier,,['sex'],{'c': 'EqO2'},0.75,0.7608695652173914,0.958904109589041,-0.0933333333333333,-0.2231037151702786,-0.1764705882352941,0.2231037151702786,0.1764705882352941,-0.2133333333333333,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 11:01:16.691868,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=1400, latent_dim=15, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 14}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 26, 'sens_col_ids': [23]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.68,0.7469879518072289,0.8493150684931506,0.0533333333333332,0.0401371074745687,0.1197478991596638,0.0401371074745687,0.1197478991596638,0.0666666666666666,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 11:01:16.670698,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1400, latent_dim=15, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 14}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 26, 'sens_col_ids': [23]}""}",0.69,0.75,0.863013698630137,-0.1733333333333333,0.0050033171163201,-0.1281512605042017,0.0050033171163201,0.1281512605042017,-0.0533333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462676879093562298
2024-02-16 10:58:00.197080,1,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.842800122812404,0.7161961367013373,0.6002490660024906,0.107737903069592,-0.0819504694337921,-0.0844990295160966,0.0819504694337921,0.0844990295160966,-0.1696372535093043,0.0371497152775218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899423364436832836
2024-02-16 10:58:00.181309,1,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.8391157506908198,0.7072808320950966,0.5927770859277709,0.1033734950131504,-0.1161219772012297,-0.1471900586752337,0.1161219772012297,0.1471900586752337,-0.1822552526569985,0.03991299436871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899423364436832836
2024-02-16 10:58:00.164094,1,Adult Dataset,EqOdds ALT,MLPClassifier,,['sex'],{'c': 'EqO ALT2'},0.8274485723058029,0.705982905982906,0.5143212951432129,0.0673545376671789,-0.3647688081928514,-0.617339312406577,0.3647688081928514,0.617339312406577,-0.2656675749318801,0.058179878316927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899423364436832836
2024-02-16 10:58:00.147888,1,Adult Dataset,EqOdds,MLPClassifier,,['sex'],{'c': 'EqO2'},0.8185446730119742,0.6815068493150684,0.4956413449564134,0.0805243832620926,-0.3581242559066749,-0.5949177877428998,0.3581242559066749,0.5949177877428998,-0.2652134423251589,0.0580804255334793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899423364436832836
