time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id
2024-01-23 15:32:13.808789,2,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.7009735744089012,0.7201676270298585,0.750968992248062,0.11104676825691684,0.04972038041658294,0.1278058910340953,0.18748919160553845,0.0192325920137109,0.20780785255258283,4.835954743201146e-05,0.0003595880778677597,9.38945976804282e-07,0.00042262839411744607,0.0016181881596517781,0.0001617759820529516,0.0002399827953842114,2.500690597239226e-06,0.0003636026827415393,1350990953
2024-01-23 15:32:13.788349,2,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.7023643949930458,0.7203241952518713,0.7562699498404013,0.1954804069126035,0.1521169095008757,0.2155393097167375,0.2839018618608022,0.032421207789369,0.3344023437195654,6.963774830209631e-05,0.0006137433447434,0.0001248115870066,0.0011298614469389,0.0003594409600712,0.0007120087958788,0.0004759482661806,1.1942368821016722e-05,0.0009287172086618,1350990953
2024-01-23 15:32:13.768351,2,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.7016689847009736,0.7104651162790697,0.7778347773217814,0.073627105447122,0.0239026288604347,0.092700406479098,0.1362554999661558,0.013984613926389,0.1465084308213702,2.369617824168578e-05,0.0001095186587344,0.000325111759191,8.672099576303258e-07,0.0028835591962641,1.608265830101957e-05,4.499969425463416e-05,7.194881307649127e-07,6.0319320013409736e-05,1350990953
2024-01-23 15:32:13.748329,2,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.6863699582753824,0.7293333333333334,0.6884309925520595,0.028727127011507,-0.0635547254745566,0.0383138181743862,0.069023253336244,0.0057480158077688,0.0717056430196301,0.000108808981722,1.5999999999999583e-05,0.0002076880092285,0.0001098387932034,0.0005911269726065,0.0001100652112311,0.0003200444827852,2.1926778452975387e-06,0.0003693512784423,1350990953
2024-01-23 15:32:13.728767,2,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.6968011126564673,0.7135452015745893,0.7550444596443229,0.1270248761864265,0.0755059130586556,0.145119438970004,0.206415147518309,0.0218788264491905,0.2312014939995645,1.934381897280428e-06,0.0001709164927547,0.0001536955471114,2.9229841103636143e-05,0.0028818429582265,1.1976322916040068e-06,8.418437923874773e-06,2.98621685755504e-07,1.336745235372184e-05,1350990953
2024-01-23 15:32:13.718812,2,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.696105702364395,0.705363859706345,0.773892308861529,0.2622281072387352,0.1674287581460577,0.2708644298762051,0.3274845865902021,0.0408367362334876,0.3967473168613401,4.835954743201069e-07,0.0001659187180427,0.0001354292393735,2.044561593746029e-05,0.0032487776598095,4.26273352034219e-06,1.5439261432516788e-05,1.0471183793687473e-06,3.41375162677063e-05,1350990953
2024-01-23 15:32:13.702703,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.7079276773296245,0.7391304347826086,0.75,0.0904888404888404,0.0899470899470898,0.1150867722732317,0.1719978135072474,0.0176512348126841,0.1887394839086338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350990952
2024-01-23 15:32:12.221303,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.7107093184979137,0.7450980392156863,0.7450980392156863,0.1618669952003285,0.1710758377425043,0.1888558167692462,0.262085623271607,0.0289654345298774,0.3039274818058202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350990952
2024-01-23 15:32:11.824728,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.6968011126564673,0.7209302325581395,0.7598039215686274,0.072695864362531,0.0776014109347442,0.0967107254565634,0.1429636811097024,0.0148328403883465,0.1542749821804619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350990952
2024-01-23 15:32:11.620983,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.6759388038942976,0.7333333333333333,0.6740196078431373,0.0182467265800599,-0.0392416225749558,0.0278226213298354,0.0511334662278057,0.0042672464654006,0.0524871290697343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350990952
