time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|race|unprivileged mean_pred,VAR|race|privileged mean_pred,VAR|race|unprivileged acc,VAR|race|privileged acc,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[ERD] Error Rate Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[A_SPD] Absolute Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
28:13.9,1,Adult Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.821614983,0.690846287,0.498753117,0.579290369,0.177770955,0.136363636,0.184998197,0.828512397,0.820411107,-0.051761895,-0.101976129,-0.048634561,0.00810129,0.051761895,0.101976129,0.048634561,0.737107921,0.356653444,0.026097636,0.006153252,0.305020964,0.006153252,0.006153252,0.305020964,0.057961479,0.101976129,0.051761895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
26:21.4,1,Adult Dataset,LFR,LogisticRegression,,['race'],{'c': 'LFR'},0.832668099,0.726631393,0.513715711,0.601899196,0.174086583,0.150826446,0.178146412,0.838842975,0.831590335,-0.016400168,-0.045922623,-0.027319966,0.00725264,0.016400168,0.045922623,0.027319966,0.846643189,0.181135114,0.068160884,0.003456526,0.166475937,0.003456526,0.003456526,0.166475937,0.032701324,0.045922623,0.016400168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
24:13.6,1,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.84494934,0.747913189,0.558603491,0.639543183,0.183911575,0.144628099,0.190768121,0.861570248,0.842048323,-0.027139939,-0.048045862,-0.046140022,0.019521925,0.027139939,0.048045862,0.046140022,0.758135575,0.319025295,0.041756217,0.005837643,0.276893051,0.005837643,0.005837643,0.276893051,0.055450846,0.048045862,0.027139939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
24:12.6,1,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.806570464,0.576376554,0.809226933,0.673236515,0.345716917,0.26446281,0.359899026,0.828512397,0.802740714,-0.063871176,-0.076118113,-0.095436216,0.025771683,0.063871176,0.076118113,0.095436216,0.734825022,0.360868193,0.065090574,0.012074605,0.308122873,0.012074605,0.012074605,0.308122873,0.138975168,0.076118113,0.063871176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
24:11.4,1,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.842800123,0.739273927,0.558603491,0.636363636,0.186060792,0.123966942,0.196898666,0.857438017,0.840245222,-0.071409133,-0.121024614,-0.072931724,0.017192795,0.071409133,0.121024614,0.072931724,0.629597675,0.588315903,0,0.009227333,0.462674275,0.009227333,0.009227333,0.462674275,0.086922927,0.121024614,0.071409133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
24:10.1,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.842800123,0.739273927,0.558603491,0.636363636,0.186060792,0.105371901,0.200144248,0.855371901,0.840605842,-0.107901028,-0.181840241,-0.094772347,0.014766059,0.107901028,0.181840241,0.094772347,0.526479786,0.899408159,0.029167946,0.011990612,0.641542342,0.011990612,0.011990612,0.641542342,0.111976699,0.181840241,0.107901028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79088E+18
24:08.8,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.828369665,0.677577741,0.533505155,0.596971882,0.187595947,0.144508671,0.195763331,0.859344894,0.822498174,-0.003237552,-0.020059752,-0.05125466,0.03684672,0.003237552,0.020059752,0.05125466,0.738180485,0.35468225,0.049124962,0.006865919,0.303566925,0.006865919,0.006865919,0.303566925,0.061782368,0.020059752,0.003237552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
24:07.3,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.836045441,0.685582822,0.576030928,0.62605042,0.200184219,0.113680154,0.216581446,0.882466281,0.827246165,-0.063913556,-0.099658557,-0.102901292,0.055220116,0.063913556,0.099658557,0.102901292,0.524884084,0.905182553,0.015965613,0.013784344,0.644577832,0.013784344,0.013784344,0.644577832,0.123410781,0.099658557,0.063913556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
24:05.7,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.828369665,0.657474601,0.583762887,0.618430034,0.211544366,0.140655106,0.224981738,0.870905588,0.820306793,-0.029158963,-0.041869398,-0.084326633,0.050598794,0.029158963,0.041869398,0.084326633,0.625184546,0.599527702,0.026711698,0.011296139,0.4697084,0.011296139,0.011296139,0.4697084,0.103283756,0.041869398,0.029158963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
24:04.3,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.829290758,0.666163142,0.568298969,0.613351878,0.203254529,0.131021195,0.216946676,0.880539499,0.819576333,-0.02376154,-0.02496799,-0.085925482,0.060963166,0.02376154,0.02496799,0.085925482,0.603932712,0.655813604,0.022106233,0.011510316,0.504292492,0.011510316,0.011510316,0.504292492,0.10411794,0.02496799,0.02376154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21806E+18
