time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|sex|unprivileged mean_pred,VAR|sex|privileged mean_pred,VAR|sex|unprivileged acc,VAR|sex|privileged acc,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[ERD] Error Rate Difference,VAR|sex|[A_AOD] Absolute Average Odds Difference,VAR|sex|[A_EOD] Absolute Equal Opportunity Difference,VAR|sex|[A_SPD] Absolute Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
24:19.8,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.658553547,0.684561809,0.69681516,0.688939225,0.557371349,0.604725545,0.546156166,0.705909023,0.64740795,0.010227404,0.054838369,0.058569378,0.058501073,0.01647994,0.054838369,0.058569378,1.110620277,0.098636728,0.071974965,0.00905726,0.104376193,0.00905726,0.00905726,0.104376193,0.13894066,0.054838369,0.01647994,0.000141693,8.05E-05,0.003845318,0.000746478,0.003972616,0.003407608,0.004219409,0.000311096,0.000132745,0.000242655,0.000519124,0.000178353,5.01E-05,7.57E-05,0.000519124,0.000178353,0.001371021,0.000838741,0.000278914,4.37E-06,0.001071818,4.37E-06,4.37E-06,0.001071818,0.000616369,0.000519124,7.57E-05,1.98971E+18
24:19.3,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.663769124,0.685929934,0.710611543,0.696819988,0.566759388,0.621688597,0.5534198,0.716479463,0.651244147,0.017840215,0.066585131,0.068268797,0.065235316,0.041215905,0.070467292,0.068268797,1.131811093,0.110834059,0.066063978,0.010724213,0.120589871,0.010724213,0.010724213,0.120589871,0.160957356,0.070467292,0.041215905,0.000286651,0.000124826,0.002949035,0.000639727,0.002903024,0.001346699,0.003706043,0.000645766,0.000256508,0.002105205,0.00305175,0.001860099,0.000175766,0.000724728,0.002519691,0.001860099,0.008551949,0.004753937,0.001731755,4.68E-05,0.006351575,4.68E-05,4.68E-05,0.006351575,0.00902161,0.002519691,0.000724728,1.98971E+18
24:18.8,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Pos Y vec loss: {'weight': 1200000}""}",0.663769124,0.68901552,0.702287884,0.694095127,0.557719054,0.595652746,0.54879434,0.703909156,0.654256322,-0.001475894,0.037680227,0.046858406,0.049652834,0.024717954,0.046800518,0.046858406,1.087437046,0.077183482,0.087621697,0.007220564,0.082045857,0.007220564,0.007220564,0.082045857,0.112320317,0.046800518,0.024717954,0.000258603,0.000110871,0.003459135,0.00073897,0.003314563,0.003786785,0.003425607,0.000905222,0.00023775,0.000892282,0.001753148,0.001006155,0.000629451,0.000283484,0.000982659,0.001006155,0.004339007,0.002835193,0.000381073,2.47E-05,0.003499668,2.47E-05,2.47E-05,0.003499668,0.004931485,0.000982659,0.000283484,1.98971E+18
24:18.3,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}""}",0.663421419,0.685423324,0.711841267,0.696800104,0.568497914,0.63166099,0.553473001,0.711157469,0.652116099,0.030810036,0.069083378,0.078187989,0.05904137,0.040226349,0.069770651,0.078187989,1.143694071,0.122081368,0.053546592,0.012129058,0.132213461,0.012129058,0.012129058,0.132213461,0.200786127,0.069770651,0.040226349,0.000314337,0.00019345,0.003559805,0.000717166,0.003657312,0.004729672,0.00373203,0.000937024,0.000248888,0.001376562,0.002612868,0.001377614,0.000350009,0.000707661,0.002517437,0.001377614,0.005457304,0.003040708,0.000143628,3.39E-05,0.004064017,3.39E-05,3.39E-05,0.004064017,0.010444308,0.002517437,0.000707661,1.98971E+18
24:17.8,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.66689847,0.69006198,0.709970084,0.698581055,0.562934631,0.603976186,0.553281953,0.712540244,0.655965511,0.000800769,0.045664257,0.050694233,0.056574733,0.020666885,0.055806169,0.050694233,1.093765796,0.082881205,0.083449235,0.0078091,0.088046607,0.0078091,0.0078091,0.088046607,0.122983142,0.055806169,0.020666885,0.000240347,0.000141819,0.002984398,0.000603065,0.002995753,0.003323496,0.003119292,0.001317526,0.000226063,0.00064379,0.002449715,0.000906832,0.00120387,0.000217311,0.001420611,0.000906832,0.003904739,0.002484919,0.000269846,2.22E-05,0.003109003,2.22E-05,2.22E-05,0.003109003,0.00459592,0.001420611,0.000217311,1.98971E+18
24:17.3,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}""}",0.665159944,0.688363044,0.707669899,0.696766975,0.561891516,0.61767118,0.548521801,0.701696745,0.656325142,0.023052025,0.052275184,0.069149379,0.045371603,0.048479779,0.057624764,0.069149379,1.134274774,0.109951937,0.077538248,0.010774024,0.121134252,0.010774024,0.010774024,0.121134252,0.164906426,0.057624764,0.048479779,0.000420124,0.000136912,0.003069016,0.000813316,0.002397666,0.00204274,0.00316441,0.000661538,0.000449502,0.003386455,0.003099003,0.003248556,0.00035335,0.001567562,0.002511085,0.003248556,0.013030613,0.007053031,0.001262547,7.99E-05,0.009520858,7.99E-05,7.99E-05,0.009520858,0.019863828,0.002511085,0.001567562,1.98971E+18
24:16.8,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.671070932,0.691817665,0.718365692,0.704047871,0.567802503,0.637826087,0.551153555,0.718457915,0.659884762,0.0372779,0.074629031,0.086672532,0.058573153,0.04150683,0.074629031,0.086672532,1.159092751,0.134813578,0.054589708,0.013439118,0.146208688,0.013439118,0.013439118,0.146208688,0.219555042,0.074629031,0.04150683,0.00026356,0.000123005,0.001985465,0.000454548,0.001974399,0.002615373,0.002062298,0.000892089,0.00020588,0.001011702,0.001965647,0.000958757,0.000409242,0.000678527,0.001965647,0.000958757,0.003920094,0.00204732,4.68E-05,2.38E-05,0.002828119,2.38E-05,2.38E-05,0.002828119,0.007035788,0.001965647,0.000678527,1.98971E+18
24:16.3,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.663073713,0.685637114,0.71131366,0.696896565,0.568150209,0.630551708,0.553268156,0.710797689,0.651655953,0.029495389,0.069152824,0.077283552,0.059141735,0.035917244,0.069152824,0.077283552,1.143992428,0.123018169,0.060848401,0.012005258,0.132863762,0.012005258,0.012005258,0.132863762,0.191770161,0.069152824,0.035917244,0.000427861,0.000417047,0.002643922,0.00053991,0.003240573,0.002894477,0.00355347,0.001005982,0.000369464,0.000846773,0.002251787,0.000897993,0.000302361,0.000426703,0.002251787,0.000897993,0.004519989,0.002353173,0.000394009,2.26E-05,0.003255913,2.26E-05,2.26E-05,0.003255913,0.004738174,0.002251787,0.000426703,1.98971E+18
24:15.8,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.664464534,0.693058401,0.692814968,0.691990921,0.54659249,0.573054041,0.540467468,0.699482398,0.655937015,-0.016062607,0.023674658,0.032586572,0.043545383,0.02660392,0.043271211,0.038080632,1.059034023,0.064072875,0.085187761,0.005889226,0.066895737,0.005889226,0.005889226,0.066895737,0.091298405,0.043271211,0.02660392,0.000317601,0.000123581,0.002492605,0.000649925,0.002198425,0.003986889,0.00196053,0.001199265,0.00035198,0.000722331,0.002288385,0.00096421,0.001196641,0.00027257,0.000976477,0.00057596,0.003262209,0.001404822,2.16E-05,1.40E-05,0.001615257,1.40E-05,1.40E-05,0.001615257,0.004118491,0.000976477,0.00027257,1.98971E+18
24:15.3,4,Compas Dataset,FYP VAE,nn keras,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}""}",0.667941586,0.692355738,0.706211759,0.698147608,0.557719054,0.619948756,0.542899788,0.721318569,0.655095659,0.025711832,0.075797751,0.077048968,0.066222911,0.033273879,0.076930822,0.077048968,1.145040896,0.123199863,0.058066759,0.011959316,0.133419987,0.011959316,0.011959316,0.133419987,0.187793002,0.076930822,0.033273879,0.000276979,7.05E-05,0.002776832,0.000655742,0.00243442,0.002808707,0.002634929,0.000954684,0.000273826,0.001178316,0.002574355,0.001223501,0.000713916,0.000732264,0.002401303,0.001223501,0.005499619,0.002871923,0.000326306,3.03E-05,0.003965289,3.03E-05,3.03E-05,0.003965289,0.007030359,0.002401303,0.000732264,1.98971E+18
