time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id
2024-01-18 12:46:41.922854,10,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6915159944367177,0.6963369752193911,0.7725007723282153,0.14300179750477524,0.1386184221661726,0.18281216189150876,0.2417441637516573,0.02800424016511885,0.27781848613126453,0.00016163695133675492,0.0003616106994154042,0.0007132402420033519,0.0007066736120497109,0.0020694640092662553,0.0009575409380964273,0.0012518643735359555,2.5547750523700843e-05,0.0021634657081627665,4617338471334656616
2024-01-18 12:46:41.902071,10,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6915159944367177,0.6963369752193911,0.7725007723282153,0.1430017975047752,0.1386184221661726,0.1828121618915087,0.2417441637516573,0.0280042401651188,0.2778184861312645,0.0001616369513367,0.0003616106994154,0.0007132402420033,0.0007066736120497,0.0020694640092662,0.0009575409380964,0.0012518643735359,2.5547750523700843e-05,0.0021634657081627,4617338471334656616
2024-01-18 12:46:41.881698,10,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.6899860917941585,0.6994625402944483,0.7588059756906407,0.0661785113006662,0.0707810443329085,0.105910585745222,0.1539650623044614,0.0162459063643098,0.1694670745815376,0.0001309383106269,0.0003157548960614,0.0007092304292448,0.0010799090792413,0.0024915984524527,0.0018156868740977,0.0033270488107155,4.307123927764986e-05,0.004494748955503,4617338471334656616
2024-01-18 12:46:41.861766,10,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6915159944367177,0.6963369752193911,0.7725007723282153,0.1430017975047752,0.1386184221661726,0.1828121618915087,0.2417441637516573,0.0280042401651188,0.2778184861312645,0.0001616369513367,0.0003616106994154,0.0007132402420033,0.0007066736120497,0.0020694640092662,0.0009575409380964,0.0012518643735359,2.5547750523700843e-05,0.0021634657081627,4617338471334656616
2024-01-18 12:46:41.841748,10,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.011, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6746870653685674,0.6794754777734732,0.7663096198125006,0.0718703735697576,0.0761129358888071,0.0514796504696085,0.0924541767693817,0.0077760217888777,0.0871309869236076,0.0001967072951344,0.0003065042543643,0.0018557992987166,0.0018622159255702,0.00278281111996,0.0012605548078824,0.0051850229299345,2.792888935912984e-05,0.0040870242551105,4617338471334656616
2024-01-18 12:46:41.821688,10,Compas Dataset,Reweighing Bias Mitigation,NaiveBayes,,['sex'],{},0.6456189151599444,0.6229905929907433,0.8892269509343483,0.104756331782798,0.0527481739075533,0.1190712957575933,0.1350172871486457,0.0181551412969257,0.1457133083835311,0.0001666663442696,0.0001795123908786,0.0001141908177564,0.0010793833355215,0.0007728916809402,0.0009734863151388,0.0009920530040105,2.137540939674781e-05,0.0013397472426444,4617338471334656616
2024-01-18 12:46:41.800344,10,Compas Dataset,FairBalance Bias Mitigation,NaiveBayes,,['sex'],{},0.6493741307371349,0.6273709037731127,0.881565609095242,0.1080929584704012,0.0565973091186795,0.1238941534385552,0.1420543029275801,0.0189008455183273,0.1537265541492454,0.0001568590280504,0.0001791170041416,0.0001390936310862,0.0007605349842576,0.0007041661778145,0.0007377526548283,0.0007491628498931,1.557208615491517e-05,0.001027422430563,4617338471334656616
2024-01-18 12:46:41.779671,10,Compas Dataset,FairMask Bias Mitigation,NaiveBayes,DecisionTreeRegressor,['sex'],{},0.6458970792767733,0.6231778408262253,0.8891841842206866,0.1110775291660394,0.051133344906247,0.1234235034712111,0.1397302517407225,0.0188807279465955,0.1510150174788951,0.0001598573199912,0.0001751314002872,0.0002007900393642,0.0008373746549811,0.0007283501376544,0.0007363070434874,0.000738459594591,1.7096340070134264e-05,0.0010184069088289,4617338471334656616
2024-01-18 12:46:41.756975,10,Compas Dataset,No Bias Mitigation,NaiveBayes,,['sex'],{},0.6457579972183589,0.6237335310626173,0.8853523231799059,0.1509551661476313,0.070261652278167,0.1582656262973278,0.174382076347846,0.0242099500736032,0.1922291952411159,0.0001659893106056,0.0001743111832206,0.0001411616515276,0.0011013306764827,0.0008326224397662,0.0009607590981311,0.0008073187314639,2.234609031591154e-05,0.0012261407161392,4617338471334656616
2024-01-18 12:46:41.726158,10,Compas Dataset,FYP VAE,NaiveBayes,,['sex'],"{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.011, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6440890125173853,0.6197916791895015,0.9004072951097752,0.0273822745530067,0.0247617457367836,0.0277698572552893,0.0345743723210737,0.004259895814191,0.0348463858786504,0.0001173976373459,0.0001233892110326,0.0001773770622702,0.0006564507906057,0.0003466013267938,0.0002296273709131,0.0003553995224007,5.557512893579493e-06,0.0003655388496326,4617338471334656616
