time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2024-01-06 21:01:55.496919,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6884561891515995,0.6909492273730684,0.7884130982367759,0.01779567738775034,0.016115351993214566,0.0005779318929493016,0.9990832804456666,0.00012573482332329562,0.000917139998676689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 21:01:55.476706,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6787204450625869,0.7128205128205128,0.7002518891687658,0.0295282929012307,0.0733389878428045,0.0176224771050057,1.0332227027389451,0.0038339449204099,0.0326827552259234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 21:01:55.466724,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6870653685674548,0.6869565217391305,0.7959697732997482,0.2142439918870309,0.1520214871359909,0.2227971903618743,0.7184431110811479,0.0484717415820535,0.3306687539378349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 21:01:55.456649,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6926286509040334,0.6946902654867256,0.7909319899244333,0.1752576371112025,0.1372066723211762,0.1880145816662221,0.7514749782572926,0.0409044395998924,0.2857173660755686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 21:01:55.426602,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.011, \nlosses_used=['z->s ADV loss', 'POS Y VEC loss', 'Reconstruction loss', 'KL divergence loss'])z->s ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, POS Y VEC loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6801112656467315,0.6851441241685144,0.7783375314861462,0.0295499774796345,0.0457449816228442,0.0145105361429714,1.023502981076644,0.0031569112563617,0.0232310387448082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:51:16.932995,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6828929068150209,0.6990740740740741,0.755,0.0203768468281376,0.0239679020166825,0.0371299013070152,0.9406952965235174,0.0080779788030431,0.0611359999917313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:51:16.912687,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6675938803894298,0.7112860892388452,0.6775,0.0084384162618365,0.0140956604371239,0.0583177736285231,0.8976100157667151,0.0126876108642625,0.1080195858905817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:51:16.892427,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.694019471488178,0.7036199095022625,0.7775,0.1632177813892262,0.1400591278640058,0.2148572952787411,0.7176161262050832,0.0467443385477821,0.3318204960749413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:51:16.872282,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6898470097357441,0.7043879907621247,0.7625,0.1240004198034436,0.1010980889029669,0.1757268604961324,0.7565230246137925,0.0382311238178509,0.2790223105079705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:51:16.872282,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.011, \nlosses_used=['Sensitive KL loss', 'POS Y VEC loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, POS Y VEC loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.674547983310153,0.6939252336448598,0.7425,0.0122718583708456,0.0036426987646499,0.0453098604072197,0.9276300840718018,0.0098576101485412,0.0751222419664712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
