timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-10-23 16:00:24.913847,10,False,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 500}",0.6688239387613083,0.689763,0.728546,0.0743,0.06800999999999999,0.10955499999999999,1.198643,0.017194011144961507,0.00014755185186799422,0.0004419614409999998,0.0024034962839999995,0.00115173854,0.0004728515,0.0011295808649999998,0.004398049980999999,3.0289250073244025e-05
2023-10-23 15:59:54.674927,10,False,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 500}",0.6828114126652749,0.688918,0.760958,0.167146,0.149888,0.202707,1.3639959999999998,0.0313094772851311,0.0001144617667383,0.000356103556,0.0022379400159999,0.0012860081239999,0.000844471516,0.0008836815009999,0.004073457724,2.418975520314073e-05
2023-10-23 15:59:45.061790,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 490, 'iter_2': 15}",0.6750173973556021,0.689574,0.750841,0.24005,0.1962759999999999,0.2671099999999999,1.494053,0.042748293073649,9.08488214593055e-05,0.0003660818239999,0.001372514029,0.00279938678,0.002066823344,0.0022873982199999,0.0125569452809999,6.943420389036667e-05
2023-10-23 15:59:32.026845,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 450, 'iter_2': 75}",0.6847599164926932,0.691171,0.768235,0.153415,0.146037,0.194444,1.345245,0.0302159015462217,0.0001631017221081,0.000450685449,0.000651285265,0.001267133245,0.001779941321,0.0015226440639999,0.0075105570049999,3.735457208753427e-05
2023-10-23 15:59:15.461740,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 400, 'iter_2': 150}",0.684481558803062,0.6916340000000001,0.764046,0.150769,0.129776,0.187063,1.333449,0.0288621766234747,0.000155663353784,0.000395466244,0.0006026759639999,0.0026741769289999,0.001887612984,0.0022827135609999,0.009291194209,5.438630238226849e-05
2023-10-23 15:58:53.904520,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 300, 'iter_2': 300}",0.6800278357689631,0.678759,0.787661,0.165355,0.146814,0.197517,1.343905,0.0310112161490075,5.954568809507549e-05,0.000286216669,0.001402796769,0.005832455585,0.003185217304,0.004895329441,0.022371501105,0.000130220194039
2023-10-23 15:58:35.865315,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 200, 'iter_2': 450}",0.6773834377174669,0.695236,0.739019,0.186785,0.1773829999999999,0.225684,1.422063,0.0349952469020116,8.253876934714276e-05,0.0001841028839999,0.0009716312089999,0.003017897605,0.002036146121,0.0021603722639999,0.011227645621,5.7478243097919725e-05
2023-10-23 15:58:17.605708,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 100, 'iter_2': 600}",0.6759916492693111,0.6840919999999999,0.744843,0.177339,0.168226,0.211483,1.398919,0.0330270333356094,0.0001423943894557,0.000161259876,0.001706022461,0.003916084149,0.003966484864,0.003832640541,0.021292288689,9.717291482388976e-05
2023-10-23 15:57:58.914565,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 30, 'iter_2': 705}",0.6860125260960335,0.692033,0.766412,0.171999,0.158957,0.2081179999999999,1.389832,0.032732355788392,4.676099253790229e-05,0.000418111521,0.0027596629959999,0.0057727531689999,0.004844516001,0.0048556233959999,0.0287344703759999,0.0001228818047005
2023-10-23 15:57:44.615201,10,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 2, 'iter_2': 747}",0.6842032011134307,0.692133,0.7774309999999999,0.147536,0.139233,0.188549,1.329648,0.0287512790748917,0.0002343667144639,0.0003752891209999,0.001282604049,0.003814430324,0.001720897821,0.0028643308489999,0.012349658956,6.598425987169558e-05
2023-10-23 15:57:28.497316,10,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 500}",0.8046675879011209,0.6420250000000001,0.46233,0.025396,0.040613,0.090091,0.5603589999999999,0.0199374202733674,9.513529131134124e-05,0.0029046525449999,0.0081463491999999,0.000307265124,0.0006223804209999,0.0005099986889999,0.001732049409,2.5438177888404747e-05
2023-10-23 15:56:13.876603,10,False,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 500}",0.8026408721019498,0.6617280000000001,0.4190669999999999,0.150461,0.21781,0.166478,0.215588,0.036692734362618,0.0001875246542429,0.0072637306559999,0.014414078041,0.003580821389,0.00681810754,0.003194021656,0.002924016056,0.0001558496701998
