timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-10-23 15:05:48.632097,1,True,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],0.6791927627000696,0.69625,0.75931,0.0745,0.05903,0.10613,1.17918,0.01582251355831492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:46.965787,1,True,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],0.6819763395963814,0.69718,0.76551,0.17009,0.16299,0.20372,1.35202,0.0303709159798524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:45.979175,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6604036186499652,0.67825,0.75062,0.18016,0.04021,0.17442,1.29617,0.0260032959332561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:45.283232,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6854558107167711,0.71585,0.72829,0.19588,0.18779,0.23103,1.43714,0.0344426478073036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:43.944432,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6798886569241476,0.69011,0.77916,0.10546,0.12333,0.1451,1.23912,0.0216318017364909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:09.377027,1,True,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],0.6743215031315241,0.69183,0.71851,0.19986,0.1405,0.22159,1.42662,0.0345758217193575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:08.568945,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6283924843423799,0.67681,0.60026,0.58749,0.77318,0.59534,0.0,0.0928924356733685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:07.039638,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6882393876130828,0.68374,0.7892,0.16985,0.08645,0.18854,1.32041,0.0294183593070888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:05:06.226293,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6910229645093946,0.68556,0.79306,0.16024,0.1111,0.18681,1.31655,0.0291491058703544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:03:12.932484,1,True,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],0.6931106471816284,0.72476,0.73988,0.17141,0.17341,0.21239,1.39692,0.0348237673301633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23 15:03:12.047401,1,True,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],0.6771050800278358,0.6935,0.77178,0.43123,0.25955,0.41823,1.76776,0.0685739107947867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
