time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-01-26 00:44:22.740263,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.61,0.6666666666666666,0.8529411764705882,-0.20220588235294118,-0.196078431372549,-0.20000000000000007,0.2777777777777779,0.03750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:44:22.705689,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.56,0.6935483870967742,0.6323529411764706,-0.2095588235294118,-0.2941176470588236,-0.24,0.5454545454545456,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:44:22.672663,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.61,0.6666666666666666,0.8529411764705882,-0.3247549019607842,-0.2745098039215685,-0.3066666666666666,0.4791666666666665,0.0574999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:44:22.640642,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.62,0.6744186046511628,0.8529411764705882,-0.3872549019607842,-0.2745098039215685,-0.3466666666666667,0.5777777777777777,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:44:22.630423,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1542, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.015960000000000002, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.0077, 'lr': 0.06, 'optimizer': 'Adam', 'layers': (60, 10, 10, 10), 'input_dim': 26, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1512000.0}, Reconstruction loss: {'weight': 13.35}, KL divergence loss: {'weight': 0.00285}""}",0.65,0.6853932584269663,0.8970588235294118,-0.0098039215686274,-0.0196078431372549,-0.0133333333333333,0.0151515151515151,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:43:28.505145,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1512, latent_dim=17, mask_values=None vae_layers=(100, 100, 30), lr=0.01904, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9900.0, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1092000.0}, Reconstruction loss: {'weight': 21.6}, KL divergence loss: {'weight': 0.0059}""}",0.61,0.6593406593406593,0.8823529411764706,-0.1409313725490196,-0.1568627450980392,-0.1466666666666666,0.1833333333333333,0.0274999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:42:52.430125,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1145, latent_dim=24, mask_values=None vae_layers=(150, 100), lr=0.03402, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1152000.0}, Reconstruction loss: {'weight': 20.1}, KL divergence loss: {'weight': 0.0066}""}",0.64,0.6818181818181818,0.8823529411764706,-0.0392156862745098,-0.0784313725490196,-0.0533333333333333,0.0634920634920634,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:42:34.084190,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1046, latent_dim=25, mask_values=None vae_layers=(100, 100, 30), lr=0.02758, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1144, 'lr': 0.0695, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 24}, Pos Y vec loss: {'weight': 1116000.0}, Reconstruction loss: {'weight': 20.1}, KL divergence loss: {'weight': 0.0058}""}",0.65,0.6813186813186813,0.9117647058823528,-0.1237745098039215,-0.0392156862745097,-0.0933333333333333,0.1111111111111111,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946879813355093859
2024-01-26 00:42:11.441755,2,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.8349708320540374,0.6848020186335404,0.6148118584666808,-0.1150507426714176,-0.1396161412492059,-0.1980196998611511,2.21394667276515,0.0439339505313371,1.7180350505545627e-05,0.000460015904696,0.0016980825791669,0.0025656803438189,0.0053265481010412,0.0015210659514047,0.2070281184051378,7.43663609445458e-05,9049994855040422129
2024-01-26 00:42:11.437349,2,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.8368130181148297,0.6860022596742303,0.6253959889746692,-0.0815766715429709,-0.0743894394005676,-0.1892432913556642,1.9273639193014296,0.0419859957283379,1.246694844641072e-05,0.0004060864376454,0.0018411547618446,0.0025092904971844,0.0044995300306756,0.0017821006762343,0.2289299919951755,8.720095251795654e-05,9049994855040422129
