timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-10-24 02:27:14.237649,1,False,Adult Dataset,Reweighing Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8086903116843237,0.72381,0.33778,0.04218,0.06741,0.0834,0.40556,0.01841747536355557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:26:52.045735,1,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.777214801166897,0.55202,0.51803,0.01765,0.01604,0.09879,0.62722,0.0220777309428197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:26:50.024907,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8003992015968064,0.81203,0.20917,0.02222,0.04575,0.02761,0.60771,0.006106979606319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:26:46.553964,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 6}",0.7710732381391064,0.58523,0.31383,0.00832,0.00459,0.05887,0.61815,0.0128905636977471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:23:15.211449,1,False,Adult Dataset,Reweighing Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8106863196683556,0.72111,0.30789,0.04754,0.09127,0.06912,0.43954,0.0155706727776774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:22:51.930577,1,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8000921234454169,0.62128,0.41672,0.01984,0.04441,0.06845,0.62655,0.0153218465925157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:22:49.766157,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.7784431137724551,0.62197,0.2122,0.0202,0.02613,0.04792,0.51169,0.0105484386080264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:22:46.162058,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 6}",0.7878089973898357,0.62016,0.30612,0.02496,0.01013,0.08081,0.44718,0.0180873415978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:18:33.149088,1,False,Adult Dataset,Reweighing Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8105327805926609,0.73978,0.34237,0.0275,0.03651,0.08193,0.41782,0.0184385743153054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:18:10.393666,1,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8025487486565331,0.66912,0.34955,0.02931,0.04745,0.04192,0.69885,0.0092885836589585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:18:08.648911,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.7815138952863504,0.61687,0.31664,0.02044,0.01698,0.07269,0.51849,0.0159124993702729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:18:05.360900,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 6}",0.7808997389835713,0.72872,0.17136,0.11817,0.20266,0.08584,0.0,0.0189067353016745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:16:42.628009,1,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.8093044679871028,0.68789,0.41136,0.00382,0.00035,0.07307,0.5732,0.0161591331503924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:16:40.815399,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.7673883003224321,0.59933,0.11309,0.00783,0.01322,0.02169,0.58834,0.004772724331304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:16:37.456734,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 6}",0.7812068171349609,0.65523,0.2273,0.05069,0.09755,0.02315,0.75022,0.0051105433017794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:15:25.190772,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 10}",0.7647781360356211,0.59921,0.09545,0.0296,0.05721,0.02485,0.46948,0.005478961645854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
