timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-10-23 19:41:07.847899,5,False,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{'save intermediate results to file': False},0.6847599164926932,0.695946,0.7698839999999999,0.028739999999999998,0.032546,0.038384,1.055476,0.00611534604151443,0.00011699933509897795,0.00019167786400000009,4.1987104000000346e-05,0.00024653536,0.0005621547839999999,0.0010741060240000001,0.004069221984000003,2.6760411026553943e-05
2023-10-23 19:41:07.325554,5,False,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 300}",0.6798886569241475,0.6952780000000001,0.7486839999999999,0.042778,0.025802,0.072906,1.125142,0.0114688404523264,0.0001185489951665,8.464629599999984e-05,0.000885942224,0.000565379936,0.0002614467759999,0.000407389304,0.001139638296,8.510083332326648e-06
2023-10-23 19:40:57.333485,5,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 250, 'iter_2': 100}",0.683785664578984,0.6942579999999999,0.7560439999999999,0.066026,0.078972,0.075352,1.073604,0.0116833715179259,0.0001025874964708,0.0001051191359999,0.000410239944,0.002638286824,0.0006922682559999,0.0027625134159999,0.0205238616639999,7.479450836412902e-05
2023-10-23 19:40:49.023453,5,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 200, 'iter_2': 200}",0.6723729993041058,0.674974,0.774344,0.058504,0.04542,0.0473799999999999,1.035206,0.0073446138900874,3.630078708203383e-05,6.524202400000016e-05,0.0002216617839999,0.000101202344,0.00051012328,0.00105149448,0.0074099047039999,2.38680293935864e-05
2023-10-23 19:40:36.592025,5,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 150, 'iter_2': 300}",0.6828114126652749,0.70145,0.7443120000000001,0.038544,0.051992,0.051496,1.072562,0.0074889259838767,5.818973553598167e-05,0.00014162788,0.0014683926159999,0.000283394864,0.0003780961359999,0.001861116424,0.009563469576,3.545510978516228e-05
2023-10-23 19:40:19.333709,5,False,Compas Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 100, 'iter_2': 400}",0.6864300626304802,0.7000759999999999,0.758934,0.126814,0.120018,0.171144,1.309,0.0274986210446742,0.0001502395435476,0.0002547313039999,0.000124458264,0.002717429944,0.002161663016,0.0029793675439999,0.01382773748,7.888930642311072e-05
2023-10-23 19:39:57.258169,5,False,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 300}",0.6797494780793321,0.690876,0.767742,0.19715,0.158,0.226374,1.396804,0.0360861591626799,3.571966455670742e-05,6.406894400000033e-05,0.000112667336,0.0010898874399999,0.00130702072,0.0010832895439999,0.0046289396239999,3.201325286212604e-05
2023-10-23 19:39:50.466345,5,False,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{'save intermediate results to file': False},0.8163058498387841,0.7143240000000001,0.3907159999999999,0.010018,0.020102,0.06891,0.552996,0.015224046468237,1.3631573027750806e-05,0.000143982824,0.0001140175439999,6.831601599999999e-05,0.000112289576,4.986092000000002e-05,0.001392390824,2.196926502094194e-06
2023-10-23 19:39:48.613009,5,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 300}",0.8096422539536313,0.696146,0.406006,0.0272299999999999,0.050256,0.076236,0.559328,0.0168566008447737,1.791077048209012e-05,0.0032102465839999,0.0078447789839999,0.00026955276,0.0009323808239999,0.000674357264,0.001728761496,3.286934209451968e-05
2023-10-23 19:39:23.301366,5,False,Adult Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 250, 'iter_2': 100}",0.8113004759711346,0.699636,0.395386,0.0856719999999999,0.1374119999999999,0.1145099999999999,0.355672,0.0252911508002431,2.9137770237790296e-05,0.0011275246639999,0.005296016184,0.001377078616,0.002079187336,0.00134105008,0.0127760585359999,6.433597713478663e-05
2023-10-23 19:38:58.248406,5,False,Adult Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 200, 'iter_2': 200}",0.8038384768923692,0.7068220000000001,0.33489,0.086816,0.14245,0.078038,0.562758,0.0171620618027665,0.000282462864843,0.0012165118959999,0.00510606848,0.004743504584,0.01125905516,0.004155512776,0.1242084325359999,0.000200918185726
2023-10-23 19:38:29.753519,5,False,Adult Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 150, 'iter_2': 300}",0.8150161216029479,0.731366,0.376028,0.0901879999999999,0.1516719999999999,0.109632,0.348222,0.0243784219346682,8.184413042131982e-05,0.0022303943039999,0.0049238559359999,0.0021665582159999,0.004012002856,0.001987398376,0.015749519976,9.75759763254302e-05
2023-10-23 19:37:50.678876,5,False,Adult Dataset,idk i am trying fyp,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 100, 'iter_2': 400}",0.8121295869798864,0.7231080000000001,0.391306,0.13024,0.205612,0.142944,0.210688,0.0317094330631512,0.0001038077855792,0.001022097736,0.005690178184,0.0021023583999999,0.005467118296,0.001166221304,0.011714867096,5.773788875775554e-05
2023-10-23 19:37:02.128052,5,False,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],"{'save intermediate results to file': False, 'iter_1': 300}",0.8114847228619684,0.6734340000000001,0.4362579999999999,0.11872,0.17645,0.1482139999999999,0.281964,0.0326911826113331,7.57242557014736e-05,0.000876575624,0.000804118616,0.0006468599599999,0.00156001668,0.000355789544,0.003866666504,1.7736155301257986e-05
