time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-03 05:35:33.292321,5,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6542420027816412,0.6561563212939607,0.7735202834168792,-0.09746255997423964,-0.044528326516283266,0.09746255997423964,0.044528326516283266,-0.11599551922528369,0.1915187512843431,0.025967142589092808,0.00021788877690967083,0.00010334810283468233,0.0014121459777465617,0.0008662078921119389,0.0013273636389205105,0.0008662078921119389,0.0013273636389205105,0.000991601613112216,0.002763221022868109,4.749116894688845e-05,7414435816803526667
2024-02-03 05:35:33.271730,5,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6495132127955493,0.6523696832041195,0.7699874391307506,-0.1171095805838199,-0.0677967577508101,0.1171095805838199,0.068707623072866,-0.1356111040123972,0.2274120080227319,0.0304301485024982,0.0001338592272918,9.691465667261388e-05,0.0008193731987734,0.0004172383986953,0.0014275901110532,0.0004172383986953,0.0013032530042522,0.0004079480850238,0.0016324246478381,2.1876422581336977e-05,7414435816803526667
2024-02-03 05:35:33.251387,5,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6484005563282336,0.6481785630357654,0.7941840245650404,-0.0732435499296694,-0.0665728134864353,0.0732435499296694,0.0665728134864353,-0.0979550326304373,0.159685853147089,0.0219428544899905,0.000366294556069,0.0007889727098281,0.0025191642115223,0.0013645969280955,0.0011391135287438,0.0013645969280955,0.0011391135287438,0.001599449642852,0.0058093986440611,7.772871090755937e-05,7414435816803526667
2024-02-03 05:35:33.230350,5,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6406119610570237,0.6387894144086383,0.7925887784848703,0.0226994727917228,0.0359794289855905,0.0374032883595044,0.0427580176124236,-0.0002276098286193,0.0650668784521528,0.0097999655680022,0.000408231955602,0.0003277864256454,0.0017602046957878,0.0020206367300542,0.0016570521500798,0.0011368968149722,0.0011233233900647,0.0023564326717527,0.0010909030991576,2.423494652451909e-05,7414435816803526667
2024-02-03 05:35:33.209881,5,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 7}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6342141863699583,0.6395030382321916,0.7647758873263284,0.002108899152837,0.0262066445888618,0.0270063749676531,0.0406243152715928,-0.017423948810734,0.044272797803593,0.0063157568946206,0.0002824197570029,0.000362533456981,0.0024688007432161,0.0012314692365565,0.0018961224964216,0.0005065724032999,0.0009325757257428,0.0014601451092963,0.0024380998765265,4.692909768607812e-05,7414435816803526667
2024-02-03 05:35:33.189662,5,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6753824756606398,0.6784800275793085,0.7748613035199857,-0.0010907991680945,0.0186254402676514,0.0276441128464742,0.0363526123922423,-0.0304885242472672,0.0751854410420638,0.0102328802366136,1.826056511032724e-05,0.0001783838253453,0.0005442396860912,0.0012465578018196,0.0018479296982829,0.0004835506695761,0.0008733242957061,0.0014595267938951,0.0009561210674267,1.4084082522250824e-05,7414435816803526667
2024-02-03 05:35:33.168043,5,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6687065368567454,0.6994346860647236,0.6938202255569446,0.0201091283871791,0.0672954725905535,0.0288785979239197,0.0672954725905535,-0.0054726949266809,0.0479720001711021,0.0057203541466377,0.0001473225252968,0.0001546408852608,0.0010445155708143,0.0007987533190175,0.0019681444699027,0.0003691569454581,0.0019681444699027,0.0010061561548396,0.0013258452780709,1.802332659127254e-05,7414435816803526667
2024-02-03 05:35:33.145847,5,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6798331015299027,0.6782313792214592,0.7910648669663434,-0.173911037403224,-0.1179768161334708,0.173911037403224,0.1179768161334708,-0.1974460152155473,0.3478127826440481,0.044308951739106,6.375722733436366e-05,0.0002524233251819,0.0003750481998089,0.0009906454350631,0.001003966864078,0.0009906454350631,0.001003966864078,0.0011013689967332,0.0045827182244741,5.572502079184226e-05,7414435816803526667
2024-02-03 05:35:33.123422,5,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6776077885952712,0.6791448552845731,0.7804917063921097,-0.1461907114269404,-0.0904856386378182,0.1461907114269404,0.0904856386378182,-0.1694981654537269,0.2985321177566464,0.0380550950651983,6.143596905762716e-05,0.000200394063505,0.0005778781681379,0.0012870872898638,0.0013264159689801,0.0012870872898638,0.0013264159689801,0.0012627023387224,0.0045672231122487,6.438361113092948e-05,7414435816803526667
2024-02-03 05:35:33.101063,5,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6773296244784422,0.6838964035835355,0.767014269922534,-0.1262578974182759,-0.0986347470950219,0.1262578974182759,0.0986347470950219,-0.1538546708456197,0.2826762509768141,0.0345325856302506,0.0001261216997026,0.0003966384931263,0.001125904749042,0.0028423110027932,0.0042321669627855,0.0028423110027932,0.0042321669627855,0.0033617459874695,0.0172845987102963,0.0001658079446553,7414435816803526667
