time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,race|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|race|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2024-01-04 18:08:26.072142,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.7009735744089013,0.6945701357466063,0.7932816537467701,0.10476354911286415,0.01308560441691592,0.031444906444906384,0.04576832416657306,0.004959235602638001,0.04344262295081969,0.9919446670321792,0.932484076433121,0.01579229380939759,0.24083302827069356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:08:26.050417,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6842837273991655,0.717391304347826,0.6821705426356589,0.0507281084335878,0.0254755542969643,0.0011137511137511,0.0107756201593893,0.036882692008101,0.0255306298533217,1.0730202791271497,0.9517095063239496,0.0141442004329146,0.2218927694125572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:08:26.022835,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.7051460361613352,0.7058823529411765,0.7751937984496124,0.0311641801367828,0.1740535554470784,0.064040689040689,0.1840273880345717,0.1172950096068962,0.2219154443485763,1.2058790019368806,0.6991812865497077,0.0549151676818947,0.4427636192431142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:08:25.982681,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6995827538247567,0.696551724137931,0.7829457364341085,0.1707560488382406,0.145584877484027,0.1113751113751113,0.1713155236277921,0.2216336916445968,0.1946591889559965,1.3925319599006714,0.7346545133784181,0.0625559761761525,0.4927740398177758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:08:25.924681,1,Compas Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, vae_layers=(75, 60, 30, 15), lr=0.011, losses_used=['POS Y VEC loss', 'Reconstruction loss', 'KL divergence loss'])POS Y VEC loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.2948539638386648,0.2857142857142857,0.2067183462532299,0.0496508212261636,0.0468222247246586,0.0116572616572616,0.0783477382422269,0.0468141455055304,0.0993874029335634,0.8823644548835388,1.3069686875416389,0.0294509643860948,0.3710529540215582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:02:23.764770,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6578581363004172,0.675990675990676,0.7304785894206549,0.0407581457372057,0.0286949888179423,0.053782120883098,0.0348043078539531,0.0083478045150087,0.0065165388105254,0.986046897352435,1.0109966592427615,0.0066523393447474,0.2151626629831968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:02:23.748210,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6481223922114048,0.6894736842105263,0.6599496221662469,0.0359060721089571,0.0487808365799351,0.0487875497647484,0.0616495928552666,0.0041304887124783,0.0278643900024746,0.99219647083636,1.0545172847874504,0.0046637947543431,0.1740045904896893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:02:23.713856,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.6689847009735744,0.6810933940774487,0.7531486146095718,0.0219644426717484,0.1481223103530388,0.0031125588128845,0.1563173102180194,0.0546762589928058,0.1728615029283181,1.091127098321343,0.7594195577801758,0.0402835030108654,0.302810954048081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:02:23.694881,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6717663421418637,0.6792873051224945,0.7682619647355163,0.1825103932828456,0.1173343987588038,0.1703583061889251,0.0995009193590753,0.2158025303894815,0.1387280376144518,1.3703120343961517,0.8049136971046771,0.0475374351256671,0.4432054360910115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:02:23.650163,1,Compas Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, vae_layers=(75, 60, 30, 15), lr=0.011, losses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 10000, 'sens_col_ids': [7, 8]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.3407510431154381,0.358974358974359,0.2468513853904282,0.0436641172797524,0.0421751986625719,0.0543612015924719,0.0522458628841607,0.0109030017365418,0.0206549533943743,1.028875529713216,0.9473883262596126,0.0033174649538359,0.1296778233085328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:56:26.719760,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6662030598052852,0.6778523489932886,0.7593984962406015,0.0320648061317726,0.0053172428681524,0.0009946949602122,0.0337225088243279,0.020464934047277,0.0324741240234197,1.0331149619611155,0.9495856256419636,0.0168832851994638,0.3228615795729544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:56:26.681471,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6522948539638387,0.6955380577427821,0.6641604010025063,0.0465881839454587,0.0504122583481197,0.0032051282051281,0.00328536519142,0.0104479561185842,0.0805554044990665,1.0197872866683155,0.8624361553939018,0.0226980371826888,0.2773382017022113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:56:26.644345,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.6731571627260083,0.6906976744186046,0.7443609022556391,0.0805367808223398,0.1842049596929375,0.0770335985853227,0.1632364919902253,0.1244482173174872,0.2230772019504413,1.2162241887905605,0.7034542584850421,0.0575768771725526,0.4197034375882005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:56:26.607113,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6648122392211405,0.6837209302325581,0.7368421052631579,0.1911922595530764,0.1266354941438659,0.1748452696728559,0.0775454792288895,0.2277393234948412,0.1579114325593198,1.4089587242026265,0.7767112227505159,0.0575768771725526,0.4748698188969086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:56:26.555470,1,Compas Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'my model config': ""VAEMaskConfig(epochs=1250, latent_dim=10, vae_layers=(75, 60, 30, 15), lr=0.011, losses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [7, 8]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.3337969401947149,0.3550724637681159,0.2456140350877192,0.0284822748900796,0.0834080482480035,0.0054155614500442,0.0499864241107792,0.0648165077706673,0.1187213370311961,0.8361505447342357,1.3933751764317246,0.0345577325949152,0.4525895306375777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:49:20.725467,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6689847009735744,0.665158371040724,0.765625,0.0629446844964086,0.0225832020787649,0.0055282555282555,0.0556904183921176,0.0944596987348918,0.0333952383342536,1.1581525241675616,0.9474930288840951,0.0221331976686829,0.2545973685944585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:49:20.697266,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6536856745479833,0.6790450928381963,0.6666666666666666,0.0486345279448727,2.158633762064377e-05,0.0245700245700245,0.0475224903612737,0.0762272575637044,0.0129163947865951,1.149395227198431,0.9757469133863214,0.0140513501018451,0.2189360434394445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:49:20.664403,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.6675938803894298,0.6682134570765661,0.75,0.1130913044706148,0.159305360391442,0.1031941031941032,0.1014422390404112,0.1593574379635094,0.1716943566062674,1.279591193552744,0.7577717455446714,0.0503364857310319,0.4595551826036024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:49:20.631858,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6689847009735744,0.665158371040724,0.765625,0.2284082672013706,0.1341055667045962,0.1713759213759214,0.0868770526917036,0.2605147681490415,0.1476768893573591,1.4598242594437902,0.7916558479877258,0.0582945328564437,0.509565603178264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
