time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2023-12-15 14:37:40.192575,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.655076495132128,0.6518847006651884,0.7636363636363637,0.1972544677231295,0.15816326530612246,0.21939389648091767,0.7172256445357061,0.04794945846978786,0.3323647814267893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 14:37:40.176301,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': '<src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x0000018CB7F0DF40>'},0.5354659248956884,0.5354659248956884,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 14:32:32.922162,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.8492477740251766,0.7120500782472613,0.5971128608923885,0.0392440992169445,0.032723130106851,0.0903646226278495,0.5681718033598817,0.0111780215193199,0.5653314352920099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 14:32:32.857687,1,Adult Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': '<src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x0000018CB7F0DF10>'},0.7660423702793983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14 01:28:52.014386,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6981919332406119,0.6951754385964912,0.8025316455696202,0.1657965671742923,0.0826896255766548,0.1904846878080283,0.7486798883370517,0.0433630389913359,0.2894437722178817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14 01:28:51.999976,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': '<src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x000001AC134CDF40>'},0.5493741307371349,0.5493741307371349,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14 01:24:33.312068,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.8452563708934603,0.7350689127105666,0.591861898890259,0.0301559312705142,0.0246030109300886,0.1028878858793593,0.5228338113975624,0.012906143250281,0.6484916256478012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14 01:24:33.287602,1,Adult Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': '<src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x000001AC134CDF10>'},0.750997850782929,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13 21:59:30.279520,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6703755215577191,0.6936542669584245,0.7657004830917874,0.1057597462349176,0.0981195756991321,0.1410861171730737,0.8056313598519889,0.0325150253113871,0.216129011011713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13 21:59:30.271832,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': '<src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000192F1A8DE80>'},0.6842837273991655,0.7120181405895691,0.7584541062801933,0.1082207891854885,0.0904532304725168,0.1456941413463153,0.793799002138275,0.0335770009729941,0.2309249957034065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
