time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute
2023-12-04 22:48:53.066462,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.08603470962895704,0.09775161632731832,0.12326964141079455,0.8138024996871914,0.22879937132704664,0.2517385257301808,0.02590717675027713,0.20603757179578072,0.6578581363004172,0.6497584541062802,0.727027027027027,0.6862244897959183,0.02590717675027713,0.025907176750277112,0.20603757179578072,0.3109661681023446,0.09775161632731832,0.0860347096289571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:53.051603,1,Compas Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['race'],{},0.0517988222571966,0.0714400591849206,0.0895552610264339,0.8556422658081363,0.1687127202108476,0.2698191933240612,0.0188215358605388,0.155902903966236,0.6536856745479833,0.6508728179551122,0.7054054054054054,0.6770428015564202,0.0188215358605388,0.0188215358605388,0.155902903966236,0.2118007953457827,0.0714400591849206,0.0517988222571966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:53.035958,1,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,['race'],{},0.0833268540452234,0.1076908231207179,0.1200022089684117,0.8121704555277034,0.2312686249467859,0.2795549374130737,0.0252204711767425,0.2080450402500855,0.6481223922114048,0.6466165413533834,0.6972972972972973,0.6710013003901171,0.0252204711767425,0.0252204711767425,0.2080450402500855,0.2869171370515204,0.1076908231207179,0.0833268540452234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:53.018681,1,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],{},0.1727445521887331,0.09884525073177,0.1940762830424858,0.727789109498851,0.3740244075493117,0.0,0.0407883766860556,0.31774395750651,0.6397774687065368,0.6337349397590362,0.7108108108108108,0.6700636942675159,0.0407883766860556,0.0407883766860556,0.31774395750651,0.5164915786960206,0.09884525073177,0.172744552188733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:53.003491,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.086034709628957,0.0977516163273183,0.1232696414107945,0.8138024996871914,0.2287993713270466,0.2517385257301808,0.0259071767502771,0.2060375717957807,0.6578581363004172,0.6497584541062802,0.727027027027027,0.6862244897959183,0.0259071767502771,0.0259071767502771,0.2060375717957807,0.3109661681023446,0.0977516163273183,0.0860347096289571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.986370,1,Compas Dataset,FYP VAE,RandomForestClassifier,,['race'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},0.014822206598551,0.0104538582778475,0.0431209042044031,0.932991976200352,0.0718205788570025,0.3087621696801113,0.0090625791887589,0.0693586781713962,0.6369958275382476,0.6235827664399093,0.7432432432432432,0.6781750924784217,0.0090625791887589,0.0090625791887589,0.0693586781713962,0.1141877237898178,0.0104538582778475,0.014822206598551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.972062,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.1503842812648257,0.1191418186496832,0.1886551063986451,0.7559910001071416,0.3227670697908793,0.0917941585535466,0.0396490257485574,0.2797258074936477,0.6898470097357441,0.6594360086767896,0.8216216216216217,0.7316486161251504,0.0396490257485574,0.0396490257485574,0.2797258074936477,0.6052021914386101,0.1191418186496832,0.1503842812648257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.956381,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.1408902381838803,0.1077873202740519,0.1774077755688092,0.7677570938008315,0.3024952919020713,0.0,0.0372852110700807,0.2642818799763349,0.6828929068150209,0.6543478260869565,0.8135135135135135,0.7253012048192771,0.0372852110700807,0.0372852110700807,0.2642818799763349,0.5604006845614181,0.1077873202740519,0.1408902381838803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.941646,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.1503842812648257,0.1191418186496832,0.1886551063986451,0.7559910001071416,0.3227670697908793,0.0917941585535466,0.0396490257485574,0.2797258074936477,0.6898470097357441,0.6594360086767896,0.8216216216216217,0.7316486161251504,0.0396490257485574,0.0396490257485574,0.2797258074936477,0.6052021914386101,0.1191418186496832,0.1503842812648257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.928180,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},0.0579177679657239,0.0677088359226736,0.0945070318827774,0.8813167506588376,0.1346658273003882,0.082058414464534,0.0198622333212756,0.1263381822957305,0.6592489568845619,0.6190476190476191,0.8783783783783784,0.7262569832402235,0.0198622333212756,0.0198622333212756,0.1263381822957305,0.3811338977624203,0.0677088359226736,0.057917767965724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.912749,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.0912866901807461,0.0773263855382931,0.1237850673735365,0.831839153756705,0.2021554834054835,0.0347705146036161,0.0260155021365248,0.1841161816622313,0.6536856745479833,0.6295503211991434,0.7945945945945946,0.7025089605734767,0.0260155021365248,0.0260155021365248,0.1841161816622313,0.3846365283136225,0.0773263855382931,0.091286690180746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.896697,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.0678442066879444,0.0112258355045192,0.0211508725425226,1.033105713544818,0.0320448460508702,0.1821974965229485,0.0044452095999504,0.0325695213437097,0.6689847009735744,0.6404255319148936,0.8135135135135135,0.7166666666666667,0.0044452095999504,0.0044452095999504,0.0325695213437097,0.060357032602506,0.0112258355045192,0.0678442066879444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.881170,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.0609918716071211,0.0066904692978223,0.011698328547235,1.0212339408924602,0.0207924355450856,0.1947148817802503,0.0024585993914434,0.021011642116134,0.6717663421418637,0.6666666666666666,0.7243243243243244,0.694300518134715,0.0024585993914434,0.0024585993914434,0.021011642116134,0.0263951945665955,0.0066904692978223,0.0609918716071211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
