time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-11-28 22:53:34.792034,3,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.6852109411219286,0.68642,0.7776299999999999,0.03265666666666667,0.047926666666666666,0.06798666666666667,1.1119233333333334,0.010143253875372965,8.167390232961806e-06,3.3034666666665834e-06,0.0007165372666666682,0.0003735821555555556,0.0012382118222222219,0.0006445531555555555,0.0017220752888888848,1.0737775282245407e-05
2023-11-28 22:53:34.781807,3,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.6861381548446918,0.6960466666666667,0.7520300000000001,0.0946133333333333,0.0524866666666666,0.1276966666666666,1.226103333333333,0.0192432311141459,8.29634902611392e-05,3.069375555555578e-05,0.0010626690666666,0.0001154574222222,0.0017866056222222,0.0003351004222222,0.0010367872222222,2.9827001578686296e-06
2023-11-28 22:53:34.764372,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.6879925822902179,0.6908033333333333,0.77345,0.2170566666666666,0.1381599999999999,0.2417966666666666,1.43159,0.0365675553861896,3.137997300032752e-05,1.601235555555566e-05,0.0005249774,0.0010860917555555,0.0033686572666666,0.0011436432888888,0.0063876552,2.1851206516236263e-05
2023-11-28 22:53:34.757706,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.6815020862308763,0.6875,0.74286,0.02046,0.08936,0.04082,1.07153,0.00636605082395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.675614,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.674547983310153,0.69114,0.70909,0.09464,0.01621,0.1127,1.21362,0.0175757939186901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.592360,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.6801112656467315,0.68585,0.74286,0.25768,0.12986,0.27097,1.51361,0.0422585069279887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.541348,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.6856745479833102,0.68386,0.78205,0.05994,0.05108,0.1019,1.16899,0.0143569824416155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.448354,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.6870653685674548,0.69321,0.75897,0.10776,0.11177,0.15347,1.27027,0.0216225208478009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.361466,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.6912378303198887,0.69091,0.77949,0.21653,0.21303,0.26003,1.45793,0.0366352587525945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.308152,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.6884561891515995,0.6879,0.80798,0.01757,0.00334,0.06124,1.09525,0.0097067283605533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.207827,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.6968011126564673,0.70379,0.78803,0.08144,0.02948,0.11692,1.19442,0.0185313785759467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28 22:53:34.115922,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.6926286509040334,0.69565,0.798,0.17696,0.07159,0.19439,1.32323,0.0308089004779857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
