timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness
2023-10-24 03:00:53.597110,1,False,Adult Dataset,Reweighing Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 70}",0.8205128205128205,0.67802,0.45407,0.02735,0.0278,0.10176,0.46989,0.0226805716066715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:58:07.843487,1,False,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],"{'save intermediate results to file': False, 'iter_1': 70}",0.8046982957162598,0.69099,0.39558,0.02933,0.0517,0.08369,0.51072,0.0186149332628369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:58:02.602910,1,False,Adult Dataset,No Bias Mitigation,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 70}",0.7776754183939812,0.66544,0.22236,0.0091,0.01946,0.03715,0.6138,0.0083437042342814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:57:59.048176,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 65, 'iter_2': 6, 'RW': True}",0.8000921234454169,0.73776,0.26811,0.1211,0.19399,0.11389,0.08453,0.0248316509925029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:55:06.664441,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 50, 'iter_2': 24, 'RW': True}",0.7899585444495624,0.70545,0.24341,0.01456,0.03423,0.04036,0.58742,0.0089414292863681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:52:07.072802,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 35, 'iter_2': 42, 'RW': True}",0.801320436050975,0.72886,0.31095,0.11811,0.17973,0.12816,0.13216,0.028353360717651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:48:59.738341,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 25, 'iter_2': 54, 'RW': True}",0.7951788730231844,0.67233,0.25764,0.03172,0.05767,0.02785,0.72086,0.0062058264271985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:45:45.919857,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 78, 'RW': True}",0.7982496545370796,0.77034,0.2641,0.16629,0.29114,0.12203,0.0118,0.026381657783065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:42:20.295203,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 65, 'iter_2': 6, 'RW': False}",0.7871948410870566,0.71341,0.21992,0.04637,0.09137,0.0257,0.69314,0.0055931081535331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:40:06.229141,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 50, 'iter_2': 24, 'RW': False}",0.7931828650391525,0.70032,0.27364,0.00427,0.00515,0.04366,0.60416,0.00967939753841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:37:52.139378,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 35, 'iter_2': 42, 'RW': False}",0.7890373099953938,0.8198,0.19865,0.0037,0.00675,0.04115,0.44365,0.0090641096717382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:35:26.268118,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 25, 'iter_2': 54, 'RW': False}",0.7835099032703823,0.67857,0.21509,0.0656,0.11302,0.004,0.94923,0.0008846707958847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:33:11.490913,1,False,Adult Dataset,idk i am trying fyp,nn keras,,['sex'],"{'save intermediate results to file': False, 'iter_1': 5, 'iter_2': 78, 'RW': False}",0.7733763242745278,0.65414,0.05735,0.097,0.17086,0.032,4.35408,0.0071807394435284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
