time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2023-12-15 22:48:59.501346,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6717663421418637,0.66,0.781578947368421,0.045079552725627,0.01392632524707993,0.09595433943260023,0.8603810454323401,0.02211385384971013,0.15037991177969073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:59.491314,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6717663421418637,0.6846153846153846,0.7026315789473684,0.0120096858913048,0.0537960467205749,0.0453416149068323,0.9206521739130434,0.010449531009109,0.0826729753910316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:59.481120,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6856745479833102,0.6638297872340425,0.8210526315789474,0.2039534187662611,0.1287061994609164,0.2516283364109452,0.6911291984339583,0.0579908348985707,0.3694284995601318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:59.470665,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6801112656467315,0.6637554585152838,0.8,0.1581658729787153,0.0810871518418687,0.2052962900788988,0.7328053310028402,0.0473130468255826,0.3108751908085577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:59.460665,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'my model config': ""VAEMaskConfig(epochs=12, latent_dim=10, vae_layers=(75, 60, 45, 30), lr=0.01, losses_used=['loss from an adversaty trying to predict z->s', 'Reconstruction loss', 'KL divergence loss'])loss from an adversaty trying to predict z->s: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Reconstruction loss: {'weight': 12}, KL divergence loss: {'weight': 0.005}""}",0.5285118219749653,0.5285118219749653,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:43.011356,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6842837273991655,0.6811926605504587,0.7714285714285715,0.0106200278587053,0.0101429230059935,0.0293768234944705,0.953075946364537,0.0065053263205541,0.0480606866201245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:43.001250,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6773296244784422,0.6987012987012987,0.6987012987012987,0.0248281515160432,0.0400818349469801,0.0097922744981567,0.981933633096424,0.0021684421068513,0.018231556316396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:42.991727,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6870653685674548,0.6801801801801802,0.7844155844155845,0.1374073011388716,0.1114280774550483,0.1697618756442285,0.7677969746935265,0.0375927777917483,0.2642299366504407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:42.975069,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6856745479833102,0.6802721088435374,0.7792207792207793,0.125143707758257,0.0975391885661595,0.1571568336274218,0.7812670970565708,0.0348014647139726,0.2468381939385714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15 22:48:42.968997,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'my model config': ""VAEMaskConfig(epochs=12, latent_dim=10, vae_layers=(75, 60, 45, 30), lr=0.01, losses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 12}, KL divergence loss: {'weight': 0.005}""}",0.5354659248956884,0.5354659248956884,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
