time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-01-25 07:38:27.526911,2,Adult Dataset,LFR,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.7514583972981271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8108659754493715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695422
2024-01-25 07:38:27.512305,2,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,"['sex', 'race']",{},0.8490942585201106,0.7267904590294109,0.6293081081411072,-0.1232120937599552,-0.0513901801933656,-0.1641716935207825,-0.0737422020289324,-0.2019507116316324,-0.105306776522715,2.51030467961144,0.8389418245954534,0.0465432899112739,2.3567010295680585e-08,1.5450832421956862e-06,7.803427600479635e-05,0.0002303336849351,0.0001014210675966,0.0009434653114325,0.0010845742019248,1.536345226061803e-05,7.841818516212464e-06,0.0459887006376432,2.4910382831038917e-05,1.3638493971750507e-06,1004695422
2024-01-25 07:38:27.496316,2,Adult Dataset,No Bias Mitigation,MLPClassifier,,"['sex', 'race']",{},0.8494012895302425,0.7248308794269798,0.6348482489797289,-0.093154357624354,-0.0742826478735727,-0.1083916302349359,-0.1122314753170774,-0.191194941891327,-0.1178780885530103,2.126947671563011,1.0230575490478044,0.0454296072727416,1.039305154039156e-05,0.0001112005078565,0.0001129655146896,0.0007592933948696,0.0003457317049281,0.0028107655789543,0.0013531847176668,6.612488001513755e-05,0.0002207302304879,0.0545220853756558,0.0451136517570288,5.5607065899082666e-08,1004695422
2024-01-25 07:38:27.481467,2,Adult Dataset,FYP VAE,MLPClassifier,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [33, 32]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7982806263432607,0.7641380698850164,0.2878003962040115,0.0136223494645776,0.0350895505876645,0.0384120219694207,0.0654155197630792,-0.0551372356247261,-0.0184321427640627,0.8845494106734376,0.2647298796536326,0.0111970165296182,9.426804118268825e-08,0.0048948651104498,0.0038233020353269,0.000548383585283,0.0017744292966839,0.0012313738321993,0.0069015493194944,0.0005111852275109,0.0005460178354303,0.0278969334829405,0.0380487783469135,3.321902930589822e-05,1004695422
2024-01-25 07:38:27.466374,2,Adult Dataset,FYP VAE,MLPClassifier,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7961314092723365,0.7299656968093899,0.2852874921018653,0.0987388468002371,0.0414442085876375,0.1834056276013705,0.0825475340437322,-0.0132192212258087,-0.0186867526456686,0.1433658164651144,0.2211028927881373,0.0036639630906682,0.0001154783504487,1.3912567021334543e-05,0.0026823242110064,7.720277317926492e-07,0.0002667182028268,2.0950990847404245e-05,0.0006563965119464,3.531138188188048e-05,0.0001255770662397,0.0022469420203831,0.0145274585424208,2.890261767538656e-06,1004695422
2024-01-25 07:38:27.452409,2,Adult Dataset,LFR,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.7514583972981271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.810865975449372e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695422
2024-01-25 07:38:27.436448,2,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.842800122812404,0.747864492331586,0.5546466977402941,0.0147265744715263,0.012780448813402,0.0525656914001045,0.0143275673444916,-0.1111699820787293,-0.0507592013174167,1.0128796071827246,0.371561298442851,0.024867767861932,7.635711335797749e-06,0.0002836324178513,2.521810969935636e-06,1.883187578309377e-05,0.0005478669601776,9.336754764072354e-06,0.0024461373748701,2.322207995916916e-05,0.0001782819755989,0.0099120935948591,0.0166207447561223,2.3328833632364086e-06,1004695422
2024-01-25 07:38:27.420526,2,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.8131716303346638,0.5880487851723806,0.8288424615929355,-0.0179210229095093,-0.0002438832531516,0.0251033507157567,0.0102147256580663,-0.1749476039549956,-0.0885726891146387,0.7494422805321985,0.3235520025205,0.0401821296262866,2.3567010295680585e-08,5.157474586341041e-06,3.746497109275714e-05,0.0002990902746906,0.0002368879196138,0.0005668157161408,0.0001908693859741,0.0001254365266563,3.874569654370483e-05,0.0038524728873472,0.0012066577664506,1.9853497923654626e-06,1004695422
2024-01-25 07:38:27.406070,2,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.8515505066011667,0.7456692053364401,0.6107371897597441,-0.1468450999358083,-0.0541350383868232,-0.2139489208737371,-0.0878445415175854,-0.2052427291773148,-0.0988583289236678,3.063962882965425,0.8515759218301908,0.0469291290038347,1.4729381434795254e-05,0.0001471778099101,0.0001621724027693,9.947232560078964e-05,0.0011873421839785,0.0004271027235848,0.0051447010872487,3.0855584795237576e-07,0.0003114815627645,0.004189465178519,0.0542130502379039,3.666675043786686e-07,1004695422
2024-01-25 07:38:27.387868,2,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.8510899600859687,0.7484941245013697,0.6033373625266705,-0.1623065172194885,-0.077965474421904,-0.243601759092323,-0.1274982058339919,-0.2094466816682837,-0.110923338980504,3.4438319375301627,1.0589940336557848,0.0492753662808307,1.1406432983105657e-05,0.0001282467150174,0.0001340283854183,3.368608931408937e-07,0.0006284502637189,6.634517429051471e-06,0.0032714307547197,1.81911620544516e-05,0.0001282318696908,0.0371392572736979,0.0301599288237021,7.596084226414717e-07,1004695422
2024-01-25 07:38:27.372850,2,Adult Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [33, 32]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.8065704636168254,0.6555570229676675,0.4675008928326145,0.0678927716780547,0.0099597500331471,0.1126976918951524,0.0206771954687088,-0.0435535561601288,-0.0461756896141981,0.2939882813562032,0.3354427852271792,0.0117501813952782,6.0331546356923215e-06,2.070533527734034e-05,4.660431798623833e-05,8.524063889575503e-05,0.0005353852908333,0.0005495861592961,0.0028147208760435,2.1045922358879407e-10,7.377805790040989e-05,0.0001091386405237,0.0043782022784128,9.100119077401396e-07,1004695422
2024-01-25 07:38:27.354695,2,Adult Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.8045747620509671,0.6618298166724317,0.4401390071701326,0.0789380327059898,0.0202458804500847,0.120525641025641,0.0277756202363756,-0.0267322034818709,-0.0314402840627243,0.1779919624350824,0.2321867866002044,0.0085876300156607,1.246694844641072e-05,0.0003154893566922,0.0005957831756347,0.0017558301188845,0.0009034515110482,0.0062187378369493,0.0024558309684779,0.0002851386722999,0.0005563859777768,0.0120156442303569,0.0315279288255958,2.71068499776858e-05,1004695422
2024-01-25 07:38:27.326064,1,Adult Dataset,LFR,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.7488486337120049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 07:38:27.289017,1,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,"['sex', 'race']",{},0.8492477740251766,0.7280334728033473,0.6381418092909535,-0.1080353455926071,-0.0614609829218822,-0.133455813077068,-0.1066750762115,-0.1980310876368316,-0.1081071012389243,2.295854917108323,0.8439328548328933,0.0453754502830822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 07:37:12.491002,1,Adult Dataset,No Bias Mitigation,MLPClassifier,,"['sex', 'race']",{},0.8526251151366288,0.7353760445682451,0.6454767726161369,-0.0655990787313793,-0.0928765098965141,-0.0553749764462031,-0.149017134447598,-0.1830632212852598,-0.1327350811991667,1.8934480240779328,1.2354572942383977,0.0451937957677231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 07:37:12.431206,1,Adult Dataset,FYP VAE,MLPClassifier,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [33, 32]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7979735953331286,0.6941747572815534,0.3496332518337408,-0.0097952418992469,-0.0070344247314328,0.0033210853589598,-0.0176600441501104,-0.0777466413557687,-0.0417991672950201,1.0515731619273851,0.459790840245222,0.0169606117015485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 07:12:19.846801,1,Adult Dataset,FYP VAE,MLPClassifier,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7853853239177156,0.7262357414448669,0.2334963325183374,0.0978601957137456,0.0577757180961578,0.1879828528358771,0.108167770419426,-0.0072768831437168,-0.0074806352877362,0.0959638964577656,0.1005729855351202,0.0019638861019589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:48.747318,1,Adult Dataset,LFR,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.7488486337120049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:48.708292,1,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.8455634019035922,0.7647058823529411,0.5562347188264058,0.0103870035499842,-0.0106261092457752,0.0495100810250612,-0.0351308735414694,-0.1159889114161619,-0.0641114286821266,1.112439104945917,0.5004827658411177,0.0263951457991945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:47.710477,1,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.8130181148295977,0.5903197925669835,0.8349633251833741,-0.0352152495383762,0.015147280432997,0.0012954588279631,0.0240302743614001,-0.1861474488939395,-0.0823480849871696,0.8115105726574636,0.2888150227086241,0.0415911540378442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:46.805257,1,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.855388394227817,0.7578008915304606,0.6234718826405868,-0.1368715185529354,-0.0885928703554568,-0.1932824571320896,-0.1595711132134973,-0.2046872511417883,-0.1165071691905118,2.9992368049248155,1.084412882465533,0.0475346597663717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:45.632982,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.854467301197421,0.7598187311178247,0.6149144254278729,-0.1628869144051648,-0.1030343847236898,-0.2410260033917467,-0.1846946284032377,-0.2137117915208492,-0.1222472901324161,3.636547420233805,1.232660175501863,0.0501469214555852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:40:32.136155,1,Adult Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [33, 32]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.8041142155357691,0.6510067114093959,0.4743276283618582,0.0771253573882312,-0.0131786442679568,0.1361409459204823,-0.0323767476085357,-0.0435390489473163,-0.0547651050716323,0.2835413372803623,0.4016107705253038,0.0127041268380264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 06:15:38.703520,1,Adult Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 28}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.8010439054344489,0.6440677966101694,0.4645476772616136,0.0370354060713203,-0.0098115896871076,0.0416666666666666,-0.0217807211184695,-0.043618253117588,-0.0550281194398166,0.2876078564940962,0.4097478432134038,0.0137940539301807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695421
2024-01-25 05:57:06.817618,1,Adult Dataset,LFR,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.7540681608842493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695420
2024-01-25 05:57:06.774939,1,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,"['sex', 'race']",{},0.8489407430150445,0.7255474452554744,0.6204744069912609,-0.1383888419273034,-0.041319377464849,-0.194887573964497,-0.0408093278463648,-0.2058703356264332,-0.1025064518065058,2.724754442114557,0.8339507943580136,0.0477111295394657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695420
2024-01-25 05:56:16.106591,1,Adult Dataset,No Bias Mitigation,MLPClassifier,,"['sex', 'race']",{},0.8461774639238563,0.7142857142857143,0.6242197253433208,-0.1207096365173288,-0.0556887858506313,-0.1614082840236687,-0.0754458161865568,-0.1993266624973942,-0.1030210959068539,2.360447319048089,0.8106578038572114,0.0456654187777601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695420
2024-01-25 05:56:16.049496,1,Adult Dataset,FYP VAE,MLPClassifier,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [33, 32]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7985876573533927,0.8341013824884793,0.2259675405742821,0.0370399408284023,0.0772135259067618,0.0735029585798816,0.1484910836762688,-0.0325278298936835,0.0049348817668947,0.7175256594194901,0.0696689190620432,0.0054334213576879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004695420
