time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2023-12-07 17:27:42.814724,4,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.6258692628650904,0.6605322301064125,0.658085780166401,0.10483670623727204,0.12478072196215978,0.130225162747272,0.8013498806378307,0.02838318557879609,0.22741461894210296,0.00025437121949238014,0.0003887994316068841,0.00020768211681263578,0.003440930302987915,0.0029252270578834995,0.003912422324646968,0.008013206737103035,0.00018957489088105496,0.01163820550163086
2023-12-07 17:27:42.790354,4,Compas Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['race'],{},0.6241307371349096,0.6586586131656307,0.6581635644155168,0.0885962251895488,0.1169918553440633,0.1088100365278836,0.8318256106784558,0.0237160056561326,0.1893027296351191,0.0001435069570044,0.0003250797729521,8.177327558517467e-05,0.0016999507625532,0.0028208520186294,0.0034021245053702,0.0074642203158956,0.0001652417925043,0.0101219540039351
2023-12-07 17:27:42.761017,4,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,['race'],{},0.6161335187760779,0.6559988242092564,0.6359728076473345,0.0852504949989471,0.113921853500341,0.1104153975694824,0.824375068485567,0.0240859561939875,0.198185430579707,7.447370304529778e-05,0.0003214875084706,9.043880455336288e-06,0.0024872900811677,0.003227638080314,0.0031887959058955,0.0070517141820188,0.000154912570359,0.0099794104322589
2023-12-07 17:27:42.730597,4,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],{},0.6196105702364396,0.6529392838774639,0.6585953191458404,0.0913262590899314,0.0805129252767909,0.1132734584277862,0.8245297881696162,0.024762022667087,0.1970904038395428,0.0002654939154017,0.0004693510968715,0.0001492816815539,0.002455472017081,0.0037581166659411,0.0027894502991256,0.005636981361587,0.0001365492286495,0.0082946712260078
2023-12-07 17:27:42.709652,4,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.6258692628650904,0.6605322301064125,0.658085780166401,0.104836706237272,0.1247807219621597,0.130225162747272,0.8013498806378307,0.028383185578796,0.2274146189421029,0.0002543712194923,0.0003887994316068,0.0002076821168126,0.0034409303029879,0.0029252270578834,0.0039124223246469,0.008013206737103,0.000189574890881,0.0116382055016308
2023-12-07 17:27:42.688348,4,Compas Dataset,FYP VAE,RandomForestClassifier,,['race'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x0000018D00983E20>},0.6185674547983311,0.643981536287202,0.6882677890764833,0.0579582105630368,0.0756486501515574,0.0719125869991684,0.9008184828530914,0.0156283549436031,0.1175790785690133,6.516449016463508e-05,0.0002735942258169,0.0004920279185481,9.110270493792884e-05,0.004766084657808,0.0016751793787072,0.0055329858299832,7.87876053883209e-05,0.0043235650662086
2023-12-07 17:27:42.667965,4,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6787204450625869,0.6836021105974622,0.7744350003212798,0.1268325187725449,0.132724676585219,0.1621843285737021,0.7807630882160199,0.0353914511926431,0.2503113530089874,6.867055735345595e-05,0.0002072265894047,0.0002387812364054,0.0016197856154365,0.0023515574942488,0.0023745674604583,0.0032876643928802,0.0001118601558706,0.0057906953403813
2023-12-07 17:27:42.646905,4,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6693324061196105,0.675492286640627,0.7679903722888889,0.1314258790266043,0.1102797959946315,0.1599708355152978,0.783970911943528,0.0349431581879484,0.2458402557491966,0.0001860633587446,0.0004383272279528,0.0002590870012748,0.001975832687327,0.0013180190357801,0.0020954045435922,0.0029622614014203,0.0001018221124368,0.0049609452647026
2023-12-07 17:27:42.625849,4,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6787204450625869,0.6836021105974622,0.7744350003212798,0.1268325187725449,0.132724676585219,0.1621843285737021,0.7807630882160199,0.0353914511926431,0.2503113530089874,6.867055735345595e-05,0.0002072265894047,0.0002387812364054,0.0016197856154365,0.0023515574942488,0.0023745674604583,0.0032876643928802,0.0001118601558706,0.0057906953403813
2023-12-07 17:27:42.604214,4,Compas Dataset,FYP VAE,MLPClassifier,,['race'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x0000018D00983E20>},0.6606397774687065,0.6545103864311022,0.8115371538590112,0.0653590122964333,0.0832097533353683,0.0945441907327561,0.8759372146954763,0.0207786467451123,0.1357310893596827,0.0001044566224531,0.0002836523444376,6.446407786447417e-05,0.0020231767005033,0.0019748285582443,0.0031963158734071,0.0051637815324153,0.0001538547182968,0.0064470032324306
2023-12-07 17:27:42.583858,4,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6703755215577191,0.6785797182670534,0.7618763471202479,0.1229461789571332,0.1361790708288529,0.1582991093001535,0.7844298963313684,0.0344876112511389,0.2454473548970871,0.000182799089293,0.0002860727608517,0.0001544062597201,0.0023713684192417,0.0015293680337052,0.0024165354665497,0.0032022684491561,0.0001123652423307,0.0053479294446531
2023-12-07 17:27:42.562603,4,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6655076495132128,0.6751446100236473,0.7553466351385087,0.034143305303609,0.033662483308688,0.034800890048157,0.960047909063998,0.0075373190627533,0.0560190316227286,0.000170709202435,0.0002175627438143,0.0001007242511128,0.0004728696856439,0.0006622234656217,0.0007194076097144,0.0029066804780562,3.345423221488504e-05,0.0018857722475191
2023-12-07 17:27:42.542332,4,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.661682892906815,0.6966203107761156,0.6820998635158035,0.0347665415612553,0.029108517848883,0.0311670850211681,0.9863338755820156,0.0068225649517081,0.0583809542262002,0.0003891734579591,0.0003764259896048,0.0002988787765295,0.0012259914503888,0.0002539928974827,0.0005631545120167,0.0049884517702085,2.6615203933690185e-05,0.0019944225234782
2023-12-07 17:27:42.517973,4,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6696801112656467,0.6762212887683138,0.7668882534063199,0.1436064988588035,0.1497902710050286,0.1772853406309019,0.7638318051371,0.0386818347999172,0.2715965243808907,0.0002345438050452,0.0003663769811981,0.0002297874845146,0.0020940862963511,0.0008231296806957,0.0020319684741722,0.0025161100470404,9.731669745153284e-05,0.0044105448316297
2023-12-07 17:27:42.496758,4,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6703755215577191,0.6785797182670534,0.7618763471202479,0.1229461789571332,0.1361790708288529,0.1582991093001535,0.7844298963313684,0.0344876112511389,0.2454473548970871,0.000182799089293,0.0002860727608517,0.0001544062597201,0.0023713684192417,0.0015293680337052,0.0024165354665497,0.0032022684491561,0.0001123652423307,0.0053479294446531
